OnHand,Complete,Sealed,Boxed,Item,Type,Property,Line,Wave,match_status,match_strategy,matched_catalog_item_id,matched_catalog_franchise,matched_catalog_property_name,matched_catalog_product_line,matched_catalog_manufacturer,matched_catalog_release_year,matched_catalog_wave,matched_catalog_item_name
1,1,1,0,Elkhorn Good Dwarf Fighter,Figure,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Mini,matched,property+line+wave+item,46742,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),LJN,1984,Miniature,Elkhorn
1,1,1,1,Ringlerun,Figure,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),Wave 1,matched,property+line+wave+item,46716,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),LJN,1983,Basic Series,Ringlerun
1,1,1,,Ogre King,Figure,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),Wave 1,matched,property+line+wave+item,46715,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),LJN,1983,Basic Series,Ogre King
1,1,1,0,Young Male Titan,Figure,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),Wave 1,matched,property+line+wave+item,46719,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),LJN,1983,Basic Series,Young Male Titan
1,1,1,1,Kelek,Figure,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),Wave 1,matched,property+line+wave+item,46711,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),LJN,1983,Basic Series,Kelek
1,1,1,1,Evil Nightmare,Vehicle,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),Wave 1,matched,line+item,46756,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),LJN,1984,Mounts,Evil Nightmare
1,1,1,1,Destrier,Vehicle,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),Wave 1,matched,line+item,46755,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),LJN,1984,Mounts,Destrier
1,1,1,1,Tiamat,Vehicle,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),Wave 2,matched,line+item,46753,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),LJN,1984,Monsters,Tiamat
1,1,1,0,Odious Ogre & Book of Magic,Figure,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),Wave 2,matched,line+item,46768,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),LJN,1984,PVC Figures,Odious Ogre & Book of Magic
1,0,0,0,Fortress of Fangs,Playset,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),Wave 2,matched,line+item,46760,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),LJN,1983,Playsets,Fortress of Fangs
1,1,1,0,Soldiers of Forture 4 Pack,Multi-Pack,A-Team,A-Team 3 3/4 Inch Line,Wave 1,matched,property+item,52377,A-Team,A-Team,"A-Team 3 3/4"" Scale - 4-Packs",Galoob,1984,1984,Soldiers of Fortune
1,1,0,1,Combat Headquarters Set,Playset,A-Team,A-Team 3 3/4 Inch Line,Wave 2,matched,property+item,52382,A-Team,A-Team,"A-Team 3 3/4"" Scale - Accessories",Galoob,1984,1984,Combat Headquarters Set
1,1,1,0,Murdock,Figure,A-Team,A-Team 6 Inch Line,Wave 1,matched,property+line+wave+item,52391,A-Team,A-Team,"A-Team 6"" Scale",Galoob,1984,1984,Murdock
1,1,1,0,John Hannibal Smith,Figure,A-Team,A-Team 6 Inch Line,Wave 1,matched,property+line+wave+item,52390,A-Team,A-Team,"A-Team 6"" Scale",Galoob,1984,1984,Hannibal
1,1,1,0,Bad Guys: Viper,Figure,A-Team,A-Team 6 Inch Line,Wave 1,matched,property+line+wave+item,52394,A-Team,A-Team,"A-Team 6"" Scale",Galoob,1984,1984,Viper
1,1,1,0,Bad Guys: Rattler,Figure,A-Team,A-Team 6 Inch Line,Wave 1,matched,property+line+wave+item,52393,A-Team,A-Team,"A-Team 6"" Scale",Galoob,1984,1984,Rattler
1,1,1,0,Bad Guys: Python,Figure,A-Team,A-Team 6 Inch Line,Wave 1,matched,property+line+wave+item,52392,A-Team,A-Team,"A-Team 6"" Scale",Galoob,1984,1984,Python
1,1,1,0,Bad Guys: Cobra,Figure,A-Team,A-Team 6 Inch Line,Wave 1,matched,property+line+wave+item,52388,A-Team,A-Team,"A-Team 6"" Scale",Galoob,1984,1984,Cobra
1,1,1,0,B.A. Baracus,Figure,A-Team,A-Team 6 Inch Line,Wave 1,matched,property+line+wave+item,52387,A-Team,A-Team,"A-Team 6"" Scale",Galoob,1984,1984,B.A. Baracus
1,1,1,0,Templeton Peck,Figure,A-Team,A-Team 6 Inch Line,Wave 1,matched,property+line+wave+item,52389,A-Team,A-Team,"A-Team 6"" Scale",Galoob,1984,1984,Face
1,1,0,1,Great Escape Stunt Set,Accessory,A-Team,Licensed Products,Licensed Products,matched,line+item,5702520,A-Team,A-Team,Licensed Products,LJN Toys,1983,1983,Great Escape Stunt Set
