"InventoryID","Item","Type","Property","Line","Wave","ReleaseYear","Complete","Sealed","Boxed","Condition","Notes"
"9","Toon Vernon","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 6","1993","True","True","False","Near Mint","Unpunched"
"12","Crazy Clownin' Mike","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 5","1992","True","True","False","Near Mint","Unpunched"
"14","Napoleon Bonafrog","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 3","1990","True","True","False","Near Mint","Unpunched"
"15","Ghengis Frog","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 2","1989","True","True","False","Near Mint","Unpunched"
"19","Heavy Metal Raph","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 4","1991","True","True","False","Near Mint","Unpunched"
"20","Rappin' Mike","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 4","1991","True","True","False","Near Mint","Unpunched"
"21","Classic Rocker Leo","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 4","1991","True","True","False","Near Mint","Unpunched"
"22","Punker Don","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 4","1991","True","True","False","Near Mint","Unpunched"
"23","Bandito Bashin' Mike","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 5","1992","True","True","False","Near Mint","Unpunched"
"24","Sewer Scout Raph","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 5","1992","True","True","False","Near Mint","Unpunched"
"25","Chief Leo","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 5","1992","True","True","False","Near Mint","Unpunched"
"26","Crazy Cowboy Don","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 5","1992","False","True","False","Near Mint","Unpunched"
"27","Rhinoman","Figure","Teenage Mutant Ninja Turtles","TMNT Vintage Playmates","Wave 6","1993","True","True","False","Near Mint","Small tear above unpunched tag"
