line,status,skipped,licensed,access_franchise,access_property,access_product_line,release_year,wave,item_name,normalized_franchise,normalized_property,normalized_product_line,normalized_item
3,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,12 inch: Batman,Mego Dolls,DC Comics,"WGSH - 12"" Figures",12 inch: Batman
4,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,12 inch: Captain America,Mego Dolls,Marvel Comics,"WGSH - 12"" Figures",12 inch: Captain America
5,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,12 inch: General Zodd,Mego Dolls,DC Comics,"WGSH - 12"" Figures",12 inch: General Zodd
6,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,12 inch: Hulk,Mego Dolls,Marvel Comics,"WGSH - 12"" Figures",12 inch: Hulk
7,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,12 inch: Jor-el,Mego Dolls,DC Comics,"WGSH - 12"" Figures",12 inch: Jor-el
8,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,12 inch: Lex Luthor,Mego Dolls,DC Comics,"WGSH - 12"" Figures",12 inch: Lex Luthor
9,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,12 inch: Nubia,Mego Dolls,DC Comics,"WGSH - 12"" Figures",12 inch: Nubia
10,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,12 inch: Queen Hippolyte,Mego Dolls,DC Comics,"WGSH - 12"" Figures",12 inch: Queen Hippolyte
11,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,12 inch: Robin,Mego Dolls,DC Comics,"WGSH - 12"" Figures",12 inch: Robin
12,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,12 inch: Spiderman,Mego Dolls,Marvel Comics,"WGSH - 12"" Figures",12 inch: Spiderman
13,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,12 inch: Steve Trevor,Mego Dolls,DC Comics,"WGSH - 12"" Figures",12 inch: Steve Trevor
14,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,12 inch: Superman,Mego Dolls,DC Comics,"WGSH - 12"" Figures",12 inch: Superman
15,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,12 inch: Superman (Movie Box),Mego Dolls,DC Comics,"WGSH - 12"" Figures",12 inch: Superman (Movie Box)
16,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,12 inch: Wonderwoman,Mego Dolls,DC Comics,"WGSH - 12"" Figures",12 inch: Wonderwoman
17,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,12 inch: Wonderwoman (TV Box),Mego Dolls,DC Comics,"WGSH - 12"" Figures",12 inch: Wonderwoman (TV Box)
18,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Americar,Mego Dolls,World's Greatest Super Heroes,"WGSH - Vehicles, Playsets, Accessories",Americar
19,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Aqualad,Mego Dolls,DC Comics,WGSH - DC,Aqualad
20,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Aquaman,Mego Dolls,DC Comics,WGSH - DC,Aquaman
21,skipped_replaced_or_intentional,True,False,World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,1972,World's Greatest Super Heros,Aquaman Vs. the Great White Shark,Mego Dolls,DC Comics,"WGSH - Vehicles, Playsets, Accessories",Aquaman Vs. the Great White Shark
