catalog_item_id,item,quantity_owned,complete,packaged,sealed,access_note_count
46742,Elkhorn Good Dwarf Fighter,1,1,1,1,0
46716,Ringlerun,1,1,1,1,0
46715,Ogre King,1,1,1,1,0
46719,Young Male Titan,1,1,1,1,0
46711,Kelek,1,1,1,1,0
46756,Evil Nightmare,1,1,1,1,0
46755,Destrier,1,1,1,1,0
46753,Tiamat,1,1,1,1,0
46768,Odious Ogre & Book of Magic,1,1,1,1,1
46760,Fortress of Fangs,1,0,0,0,1
52377,Soldiers of Forture 4 Pack,1,1,1,1,0
52382,Combat Headquarters Set,1,1,1,0,0
52391,Murdock,1,1,1,1,0
52390,John Hannibal Smith,1,1,1,1,0
52394,Bad Guys: Viper,1,1,1,1,0
52393,Bad Guys: Rattler,1,1,1,1,0
52392,Bad Guys: Python,1,1,1,1,0
52388,Bad Guys: Cobra,1,1,1,1,0
52387,B.A. Baracus,1,1,1,1,0
52389,Templeton Peck,1,1,1,1,0
5702520,Great Escape Stunt Set,1,1,1,0,0
52398,A-Team Colorforms,1,1,1,0,0
52399,A-Team Grenade Toss,1,1,1,0,1
14267,AMC Barbie Car,1,1,0,0,0
63585,Sergeant Shoat N. Sweet,1,1,1,1,0
63577,Major Legger Mutton,1,1,1,1,0
63576,General Hamfat Lardo,1,1,1,1,0
63575,Commodore Fleece Cardigan,1,1,1,1,0
85953,Vanishing Vault,1,1,1,1,0
85963,Spinhead Beatlejuice,1,1,1,1,0
85962,Showtime Beatlejuice,1,1,1,1,0
85965,Otho the Obnoxious,1,1,1,1,0
85964,Harry the Haunted,1,1,1,1,0
85968,Beatlejuice (12inch),1,1,1,0,0
85960,Adam Maitland,1,1,1,1,0
85961,Shish Kebab Beatlejuice,1,1,1,1,0
85955,Neighborhood Nasties: Old Buzzard,1,1,1,1,0
85954,Neighborhood Nasties: Hungry Hog,1,1,1,1,0
85958,Gross Out Meter,1,1,1,1,0
85966,Exploding Beatlejuice,1,1,1,1,0
85951,Creapy Cruiser,1,1,1,0,0
85956,Neighborhood Nasties: Street Rat,1,1,1,1,0
85957,Neighborhood Nasties: Teacher Creature,1,1,1,1,0
85952,Phantom Flyer,1,1,1,1,0
85967,Shipwreck Beatlejuice,1,1,1,1,0
85959,Snake Mask,1,1,1,1,0
192426,Super Bendable Vinnie,1,1,1,1,0
192424,Super Bendable Throttle,1,1,1,1,0
192421,Super Bendable Modo,1,1,1,1,0
192415,Home-Run Throttle,1,1,1,1,0
203655,Ted Theodore Logan,1,1,1,1,0
203654,Rufus,1,1,1,1,0
203646,Phone Booth,1,1,1,1,0
203653,Grim Reaper,1,1,1,1,0
203652,Ghengis Khan,1,1,1,1,0
203650,Bill S. Preston Esq.,1,1,1,1,0
203647,Bill and Ted's Jam Session,1,1,1,1,0
203649,Abe Lincoln,1,1,1,1,0
214882,Glove,1,1,1,1,0
214892,Secret Headquarters,1,1,1,0,0
226118,Warlock Dragon (Green and Yellow),1,1,1,1,0
226116,Trobbit Wind Machine,1,1,1,1,0
226114,Spaceship (Red),1,1,1,1,0
226125,Palace Guard,1,1,1,0,1
226136,Laser Light Klone Cloud Cat,1,1,0,0,0
226134,Laser Light Gargo,1,1,1,1,0
226138,Laser Light Muton,1,1,1,1,0
226143,Laser Light Vizir,1,1,1,1,0
226144,Laser Light White Knight,1,1,1,1,0
248595,Outlaw Skuzz,1,1,1,1,1
248602,Neutra Laser,2,0,0,0,2
248603,Lenticular Sheriff's Badge,1,1,0,0,1
248600,Laser-Fire Tex Hex,1,1,1,1,1
248599,Laser-Fire BraveStarr,1,1,1,1,0
248588,Heroic Laser-Fire Backpack,1,1,1,1,0
248584,Evil Laser-Fire Backpack,1,1,1,0,0
248593,Handle Bar,1,1,1,1,1
248587,Fort Kerium Command Center with Bank and Jail,1,1,1,1,0
248585,Fort Kerium Bank and Jail,1,1,1,1,0
248592,Deputy Fuzz,1,1,1,1,1
248591,Col. Borobot,1,1,1,0,0
248590,30-30 Robotic Stallion,1,1,1,1,0
248596,Sand Storm,1,1,1,1,1
6044823,Skull Walker,1,1,1,1,0
248589,Stratocoach,1,1,1,1,0
248598,Thunder Stick,1,1,1,1,0
271055,Willy DuWitt,1,1,1,1,0
271054,Toadborg,1,1,1,1,0
271053,Toad Double Bubble,1,1,1,1,0
271052,Toad Croaker,1,1,1,1,0
271051,Toad Air Marshall,1,1,1,1,0
271049,Dead-Eye Duck,1,1,1,0,0
271048,Commander Dogstar,1,1,1,1,0
271047,Bucky O'Hare,1,1,1,1,0
271046,Bruiser,1,1,1,1,0
271045,Al Negator,1,1,1,1,0
271044,A.F.C. Blinky,1,1,1,1,0
271050,Storm Toad Trooper,1,1,1,1,0
307858,Captain Planet (Arctic),1,1,1,1,0
307884,Hoggish Greedly,1,1,1,1,0
307889,Eco-Cycle,1,1,1,1,0
307894,Duke's Exploding Reactor,1,1,1,1,0
307886,Duke Nukem (Glows in the Dark),1,1,1,1,0
307883,Doctor Blight,1,1,1,1,0
307874,Commander Clash,1,1,1,1,0
318068,Walkie Talkies,1,1,1,0,0
317924,Power Base Fortress,1,1,1,1,0
317922,Phantom Striker,1,1,1,1,0
317919,Lord Dread,1,1,1,1,0
317916,Dread Stalker,1,1,1,1,0
317915,Captain Power,1,1,1,1,0
317913,Blast Starr Ground Guardian,1,1,1,1,0
317925,Power Jet XT-7,1,1,1,1,0
317927,Power On Energizer,1,1,1,1,0
317931,Tank Ellis,1,1,1,1,0
