Item,Type,Property,Line,Wave,OnHand
Elkhorn Good Dwarf Fighter,Figure,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Mini,1
Ringlerun,Figure,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),Wave 1,1
Ogre King,Figure,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),Wave 1,1
Young Male Titan,Figure,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),Wave 1,1
Kelek,Figure,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),Wave 1,1
Soldiers of Forture 4 Pack,Multi-Pack,A-Team,A-Team 3 3/4 Inch Line,Wave 1,1
Murdock,Figure,A-Team,A-Team 6 Inch Line,Wave 1,1
John Hannibal Smith,Figure,A-Team,A-Team 6 Inch Line,Wave 1,1
Bad Guys: Viper,Figure,A-Team,A-Team 6 Inch Line,Wave 1,1
Bad Guys: Rattler,Figure,A-Team,A-Team 6 Inch Line,Wave 1,1
Bad Guys: Python,Figure,A-Team,A-Team 6 Inch Line,Wave 1,1
Bad Guys: Cobra,Figure,A-Team,A-Team 6 Inch Line,Wave 1,1
B.A. Baracus,Figure,A-Team,A-Team 6 Inch Line,Wave 1,1
Templeton Peck,Figure,A-Team,A-Team 6 Inch Line,Wave 1,1
Great Escape Stunt Set,Accessory,A-Team,Licensed Products,Licensed Products,1
Spinhead Beatlejuice,Figure,Beatlejuice,Vintage Beatlejuice,Wave 1,1
Showtime Beatlejuice,Figure,Beatlejuice,Vintage Beatlejuice,Wave 1,1
Beatlejuice (12inch),Figure,Beatlejuice,Vintage Beatlejuice,Wave 1,1
Adam Maitland,Figure,Beatlejuice,Vintage Beatlejuice,Wave 1,1
Shish Kebab Beatlejuice,Figure,Beatlejuice,Vintage Beatlejuice,Wave 1,1
Exploding Beatlejuice,Figure,Beatlejuice,Vintage Beatlejuice,Wave 2,1
Creapy Cruiser,Vehicle,Beatlejuice,Vintage Beatlejuice,Wave 2,1
Shipwreck Beatlejuice,Figure,Beatlejuice,Vintage Beatlejuice,Wave 2,1
Super Bendable Vinnie,Figure,Biker Mice From Mars,Vintage Biker Mice,Wave 1,1
Super Bendable Throttle,Figure,Biker Mice From Mars,Vintage Biker Mice,Wave 1,1
Super Bendable Modo,Figure,Biker Mice From Mars,Vintage Biker Mice,Wave 1,1
Ghengis Khan,Figure,Bill and Ted's Excellent Adventure,Vintage Bill and Ted,Wave 1,1
Bill and Ted's Jam Session,Multi-Pack,Bill and Ted's Excellent Adventure,Vintage Bill and Ted,Wave 1,1
Warlock Dragon (Green and Yellow),Vehicle,Blackstar,Blackstar,Wave 1,1
Laser Light Klone Cloud Cat,Figure,Blackstar,Blackstar,Wave 2,1
Laser Light Muton,Figure,Blackstar,Blackstar,Wave 3,1
Lenticular Sheriff's Badge,Role Play,Bravestarr,Bravestarr,Bravestarr,1
Laser-Fire Backpack,Accessory,Bravestarr,Bravestarr,Bravestarr,3
30-30 Robotic Stallion,Vehicle,Bravestarr,Bravestarr,Bravestarr,1
Skull Walker,Vehicle,Bravestarr,Bravestarr,Bravestarr,1
Doctor Blight,Figure,Captain Planet,Vintage Captain Planet,Wave 1,1
Cozy Heart Penguin - Mini,Figure,Care Bears,Vintage Care Bears,Minis,1
Professor Coldheart,Figure,Care Bears,Vintage Care Bears,Wave 2,1
