catalog_item_id,franchise,property_name,product_line,release_year,wave,item_name,column,kind,old_url,new_url,source,source_title,source_page,confidence,downloaded,content_type,bytes,error,db_rows_updated
2406039,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Accessories,Fire Station Headquarters,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_FireStation-1.jpg,https://www.transformerland.com/image/reference_images/56540.jpg,Transformerland,Fire Station Headquarters,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-playsets-fire-station-headquarters/56538/,exact-normalized-title,True,image/jpeg,411452,,1
2406056,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Gobblin Goblins,Nasty Neck,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_NastyNeck.jpg,https://www.transformerland.com/image/reference_images/56708.jpg,Transformerland,Nasty Neck,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-gobblin-goblins-nasty-neck/56706/,exact-normalized-title,True,image/jpeg,281821,,1
2406058,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Gobblin Goblins,Terror Tongue,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_TerrorTongue1.jpg,https://www.transformerland.com/image/reference_images/56722.jpg,Transformerland,Terror Tongue,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-gobblin-goblins-terror-tongue/56720/,exact-normalized-title,True,image/jpeg,429107,,1
2406079,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Series 1,Green Ghost,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_GreenGhost-S1-1.jpg,https://www.transformerland.com/image/reference_images/56862.jpg,Transformerland,Green Ghost,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-ghosts-green-ghost/56860/,exact-normalized-title,True,image/jpeg,219541,,1
2406082,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Series 1,Stay-Puft Marshmallow Man,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_StayPuft-1.jpg,https://www.transformerland.com/image/reference_images/56883.jpg,Transformerland,Stay-Puft Marshmallow Man,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-ghosts-stay-puft-marshmallow-man/56881/,exact-normalized-title,True,image/jpeg,251259,,1
2406084,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Series 2,Bad-to-the-Bone Ghost,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_BadToTheBone-Loose.jpg,https://www.transformerland.com/image/reference_images/56897.jpg,Transformerland,Bad-to-the-Bone Ghost,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-ghosts-bad-to-the-bone-ghost/56895/,exact-normalized-title,True,image/jpeg,183045,,1
2406088,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Series 2,Sludge Bucket,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_SludgeBucket-1.jpg,https://www.transformerland.com/image/reference_images/56911.jpg,Transformerland,Sludge Bucket,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-gooper-ghosts-sludge-bucket/56909/,exact-normalized-title,True,image/jpeg,403395,,1
2406090,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Series 3,Air Sickness,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_AirSickness-Loose.jpg,https://www.transformerland.com/image/reference_images/56960.jpg,Transformerland,Air Sickness,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-haunted-humans-air-sickness/56958/,exact-normalized-title,True,image/jpeg,278603,,1
2406093,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Series 3,Granny Gross Ghost,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_GrannyGhost-Loose.jpg,https://www.transformerland.com/image/reference_images/56953.jpg,Transformerland,Granny Gross Ghost,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-haunted-humans-granny-gross-ghost/56951/,exact-normalized-title,True,image/jpeg,255317,,1
2406095,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Series 3,Hard Hat Horror Ghost,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_HardHat-Loose.jpg,https://www.transformerland.com/image/reference_images/56967.jpg,Transformerland,Hard Hat Horror Ghost,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-haunted-humans-hard-hat-horror-ghost/56965/,exact-normalized-title,True,image/jpeg,294682,,1
2406096,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Series 3,Mail Fraud,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_MailFraud-Loose.jpg,https://www.transformerland.com/image/reference_images/56974.jpg,Transformerland,Mail Fraud,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-haunted-humans-mail-fraud/56972/,exact-normalized-title,True,image/jpeg,226825,,1
2406099,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Series 3,Mini Traps,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_MiniTraps-Series3-1.jpg,https://www.transformerland.com/image/reference_images/56995.jpg,Transformerland,Mini Traps,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-mini-ghosts-mini-traps/56993/,exact-normalized-title,True,image/jpeg,305673,,1
2406100,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Series 3,Pull Speed Ahead Ghost,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_PullSpeed-Loose.jpg,https://www.transformerland.com/image/reference_images/57002.jpg,Transformerland,Pull Speed Ahead Ghost,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-ghosts-pull-speed-ahead-ghost/57000/,exact-normalized-title,True,image/jpeg,316803,,1
2406101,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Series 3,Terror Trash Ghost,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_TerrorTrash-Loose.jpg,https://www.transformerland.com/image/reference_images/57009.jpg,Transformerland,Terror Trash Ghost,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-haunted-humans-terror-trash-ghost/57007/,exact-normalized-title,True,image/jpeg,220546,,1
2406102,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Series 3,Tombstone Tackle Ghost,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_TombstoneTackle-Loose.jpg,https://www.transformerland.com/image/reference_images/57016.jpg,Transformerland,Tombstone Tackle Ghost,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-haunted-humans-tombstone-tackle-ghost/57014/,exact-normalized-title,True,image/jpeg,244906,,1
2406104,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Series 3,X-Cop,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_XCop-Loose.jpg,https://www.transformerland.com/image/reference_images/57030.jpg,Transformerland,X-Cop,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-haunted-humans-x-cop/57028/,exact-normalized-title,True,image/jpeg,222699,,1
2406112,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Super Fright Features,Fearsome Flush,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_FearsomeFlush-Loose.jpg,https://www.transformerland.com/image/reference_images/57121.jpg,Transformerland,Fearsome Flush,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-ghosts-fearsome-flush/57119/,exact-normalized-title,True,image/jpeg,299665,,1
2406113,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Super Fright Features,Ghost Trap,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_GhostTrap-1.jpg,https://www.transformerland.com/image/reference_images/56610.jpg,Transformerland,Ghost Trap,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-roleplay-ghost-trap/56608/,exact-normalized-title,True,image/jpeg,276445,,1
2406119,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Vehicles,Ecto-1,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_Ecto1-Loose.jpg,https://www.transformerland.com/image/reference_images/57128.jpg,Transformerland,Ecto-1,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-vehicles-ecto-1/57126/,exact-normalized-title,True,image/jpeg,302769,,1
2406122,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Vehicles,Ecto-3,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_Ecto3-Loose.jpg,https://www.transformerland.com/image/reference_images/57149.jpg,Transformerland,Ecto-3,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-vehicles-ecto-3/57147/,exact-normalized-title,True,image/jpeg,311206,,1
2406124,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Vehicles,Ecto-Bomber,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_EctoBomber-1.jpg,https://www.transformerland.com/image/reference_images/57170.jpg,Transformerland,Ecto-Bomber,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-vehicles-ecto-bomber/57168/,exact-normalized-title,True,image/jpeg,263495,,1
2406126,Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,1986,Vehicles,Highway Haunter,image_url,loose,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_HighwayHaunter-Loose.jpg,https://www.transformerland.com/image/reference_images/57177.jpg,Transformerland,Highway Haunter,https://www.transformerland.com/wiki/toy-info/ghostbusters-the-real-ghostbusters-vehicles-highway-haunter/57175/,exact-normalized-title,True,image/jpeg,376646,,1
