catalog_item_id,franchise,property_name,product_line,release_year,wave,item_name,column,kind,old_url,new_url,source,source_title,source_page,confidence,downloaded,content_type,bytes,error,db_rows_updated
872558,GoBots,GoBots,Go-Bots,1985,Monsterous,Fright Face,image_url,loose,https://www.figurerealm.com/galleries/gobots/thumb_FrightRace1-Monsterous.jpg,https://www.transformerland.com/image/reference_images/200179.jpg,Transformerland,Fright Face,https://www.transformerland.com/wiki/toy-info/gobots-tonka-gobots-combiners-monsterous-fright-face/200004/,exact-normalized-title,True,image/jpeg,382560,,1
872560,GoBots,GoBots,Go-Bots,1985,Monsterous,Heart Attack,image_url,loose,https://www.figurerealm.com/galleries/gobots/thumb_HeartAttack1-Monsterous.jpg,https://www.transformerland.com/image/reference_images/200183.jpg,Transformerland,Heart Attack,https://www.transformerland.com/wiki/toy-info/gobots-tonka-gobots-combiners-monsterous-heart-attack/200008/,exact-normalized-title,True,image/jpeg,346985,,1
872561,GoBots,GoBots,Go-Bots,1985,Monsterous,South Claw,image_url,loose,https://www.figurerealm.com/galleries/gobots/thumb_SouthClaw1-Monsterous.jpg,https://www.transformerland.com/image/reference_images/200209.jpg,Transformerland,South Claw,https://www.transformerland.com/wiki/toy-info/gobots-tonka-gobots-combiners-monsterous-south-claw/200034/,exact-normalized-title,True,image/jpeg,331913,,1
872576,GoBots,GoBots,Go-Bots,1983,Motorized,Zod,image_url,loose,https://www.figurerealm.com/galleries/gobots/thumb_Zod1.jpg,https://www.transformerland.com/image/reference_images/200228.jpg,Transformerland,Zod,https://www.transformerland.com/wiki/toy-info/gobots-tonka-gobots-tonka-zod/200053/,exact-normalized-title,True,image/jpeg,273662,,1
872608,GoBots,GoBots,Go-Bots,1984,Motorized,Scales,image_url,loose,https://www.figurerealm.com/galleries/gobots/thumb_Scales.jpg,https://www.transformerland.com/image/reference_images/200203.jpg,Transformerland,Scales,https://www.transformerland.com/wiki/toy-info/gobots-tonka-gobots-tonka-scales/200028/,exact-normalized-title,True,image/jpeg,381732,,1
872609,GoBots,GoBots,Go-Bots,1984,Playsets,Command Center,image_url,loose,https://www.figurerealm.com/galleries/gobots/thumb_CommandCenter1.jpg,https://www.transformerland.com/image/reference_images/200263.jpg,Transformerland,Command Center,https://www.transformerland.com/wiki/toy-info/gobots-tonka-gobots-playsets-command-center/200088/,exact-normalized-title,True,image/jpeg,306649,,1
872616,GoBots,GoBots,Super Go-Bots,1984,Super Go-Bots,Destroyer,image_url,loose,https://www.figurerealm.com/galleries/gobots/thumb_Destroyer1-Super.jpg,https://www.transformerland.com/image/reference_images/38507.jpg,Transformerland,Destroyer,https://www.transformerland.com/wiki/toy-info/gobots-tonka-gobots-arco-destroyer/38505/,exact-normalized-title,True,image/jpeg,65154,,1
872637,GoBots,GoBots,Go-Bots,1985,1985 Series,Creepy,image_url,loose,https://www.figurerealm.com/galleries/gobots/thumb_Creepy1.jpg,https://www.transformerland.com/image/reference_images/200324.jpg,Transformerland,Creepy,https://www.transformerland.com/wiki/toy-info/gobots-tonka-gobots-regular-mail-away-exclusive-creepy/200149/,exact-normalized-title,True,image/jpeg,359217,,1
872659,GoBots,GoBots,Go-Bots,1985,1985 Series,Space Hawk,image_url,loose,https://www.figurerealm.com/galleries/gobots/thumb_SpaceHawk1.jpg,https://www.transformerland.com/image/reference_images/42723.jpg,Transformerland,Space Hawk,https://www.transformerland.com/wiki/toy-info/gobots-tonka-gobots-tonka-space-hawk/42721/,exact-normalized-title,True,image/jpeg,28763,,1
872669,GoBots,GoBots,Go-Bots,1985,Mail-Order,Creepy,image_url,loose,https://www.figurerealm.com/galleries/gobots/thumb_Creepy1-Mail.jpg,https://www.transformerland.com/image/reference_images/200324.jpg,Transformerland,Creepy,https://www.transformerland.com/wiki/toy-info/gobots-tonka-gobots-regular-mail-away-exclusive-creepy/200149/,exact-normalized-title,True,image/jpeg,359217,,1
