catalog_item_id,franchise,property_name,product_line,release_year,wave,item_name,kind,column,old_url,new_url,source,source_title,source_clean_title,source_page,confidence
1785016,Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,1993,"8"" Scale",Billy (Blue Ranger) #2200,packaged,packaged_image_url,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_Billy-8-Front.jpg,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_3728.jpg?w=218,The Toy Collectors Guide,Power Rangers &#8211; Billy Blue Ranger 1993,Billy Blue Ranger,https://thetoycollectorsguide.com/1993-1995-mighty-morphin-power-rangers/,exact-normalized-title
1785017,Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,1993,"8"" Scale",Jason (Red Ranger) #2200,packaged,packaged_image_url,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_Jason-8-Front.jpg,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_3727.jpg?w=196,The Toy Collectors Guide,Power Rangers &#8211; Jason Red Ranger 1993,Jason Red Ranger,https://thetoycollectorsguide.com/1993-1995-mighty-morphin-power-rangers/,exact-normalized-title
1785018,Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,1993,"8"" Scale",Kimberly (Pink Ranger) #2200,packaged,packaged_image_url,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_Kimberly-8-Front.jpg,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_3729.jpg?w=222,The Toy Collectors Guide,Power Rangers &#8211; Kimberly Pink Ranger 1993,Kimberly Pink Ranger,https://thetoycollectorsguide.com/1993-1995-mighty-morphin-power-rangers/,exact-normalized-title
1785020,Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,1993,"8"" Scale",Trini (Yellow Ranger) #2200,packaged,packaged_image_url,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_Trini-8-Front.jpg,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_3730.jpg?w=501,The Toy Collectors Guide,Power Rangers &#8211; Trini Yellow Ranger 1993,Trini Yellow Ranger,https://thetoycollectorsguide.com/1993-1995-mighty-morphin-power-rangers/,exact-normalized-title
1785021,Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,1993,"8"" Scale",Zack (Black Ranger) #2200,packaged,packaged_image_url,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_Zack-8-Front.jpg,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_3714.jpg?w=248,The Toy Collectors Guide,Power Rangers &#8211; Zack Black Ranger 1993,Zack Black Ranger,https://thetoycollectorsguide.com/1993-1995-mighty-morphin-power-rangers/,exact-normalized-title
1785023,Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,1994,Accessories,Power Dome Morphin Playset #2290,packaged,packaged_image_url,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_PowerDome-Talking-Front.jpg,https://thetoycollectorsguide.com/wp-content/uploads/2022/08/img_3934-1.jpg?w=629,The Toy Collectors Guide,Power Rangers &#8211; Power Dome Playset,Power Dome Playset,https://thetoycollectorsguide.com/1993-1995-mighty-morphin-power-rangers/,token-contained-title
1785024,Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,1996,Alien Rangers,Black Ranger #2673,packaged,packaged_image_url,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_BlackRanger-Alien-Front.jpg,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9881.jpg?w=289,The Toy Collectors Guide,Mighty Morphin Power Rangers 2010 &#8211; Black Ranger,Mighty Morphin Power Rangers  – Black Ranger,https://thetoycollectorsguide.com/2010-mighty-morphin-power-rangers/,exact-normalized-title
1785027,Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,1996,Alien Rangers,White Ranger #2672,packaged,packaged_image_url,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_WhiteRanger-Alien-Front.jpg,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9908.jpg?w=304,The Toy Collectors Guide,Mighty Morphin Power Rangers 2010 &#8211; White Ranger,Mighty Morphin Power Rangers  – White Ranger,https://thetoycollectorsguide.com/2010-mighty-morphin-power-rangers/,exact-normalized-title
1785035,Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,1995,Auto Morphin - Series 2,Black Ranger (Adam) #2443,packaged,packaged_image_url,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_Adam-AutoMorphin-Front.jpg,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9881.jpg?w=289,The Toy Collectors Guide,Mighty Morphin Power Rangers 2010 &#8211; Black Ranger,Mighty Morphin Power Rangers  – Black Ranger,https://thetoycollectorsguide.com/2010-mighty-morphin-power-rangers/,token-contained-title
1785037,Power Rangers,Mighty Morphin Power Rangers,Mighty Morphin Power Rangers,1995,Auto Morphin - Series 2,White Ranger (Tommy) #2444,packaged,packaged_image_url,https://www.figurerealm.com/galleries/powerrangersmightymorphin/thumb_TommyWhite-AutoMorphin-Front.jpg,https://thetoycollectorsguide.com/wp-content/uploads/2022/11/img_9908.jpg?w=304,The Toy Collectors Guide,Mighty Morphin Power Rangers 2010 &#8211; White Ranger,Mighty Morphin Power Rangers  – White Ranger,https://thetoycollectorsguide.com/2010-mighty-morphin-power-rangers/,token-contained-title
