catalog_item_id,franchise,property_name,product_line,release_year,wave,item_name,column,old_url,new_url,old_host,new_host
786723,G.I. Joe,G.I. Joe,G.I. Joe vs. Cobra,2002,G.I. Joe vs. Cobra,Big Ben,image_url,https://www.yojoe.com/images/resize/w/MAX/action/02/allgearedup/bigben4.jpg,https://www.yojoe.com/images/resize/w/MAX/action/02/allgearedup/bigben5.jpg,www.yojoe.com,www.yojoe.com
786723,G.I. Joe,G.I. Joe,G.I. Joe vs. Cobra,2002,G.I. Joe vs. Cobra,Big Ben,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/02/images/bigben4.jpg,https://www.yojoe.com/images/resize/h/375/action/02/images/bigben5.jpg,www.yojoe.com,www.yojoe.com
786726,G.I. Joe,G.I. Joe,G.I. Joe vs. Cobra,2002,G.I. Joe vs. Cobra,Cobra Alley Viper,packaged_image_url,https://www.yojoe.com/images/resize/h/375/imagestore/684/68073.jpg,https://www.yojoe.com/images/resize/h/375/action/02/images/alleyviper6.jpg,www.yojoe.com,www.yojoe.com
786740,G.I. Joe,G.I. Joe,G.I. Joe vs. Cobra,2002,G.I. Joe vs. Cobra,Cobra Viper,image_url,https://www.yojoe.com/images/resize/w/MAX/action/02/allgearedup/viper8.jpg,https://www.yojoe.com/images/resize/w/MAX/action/02/allgearedup/viper6.jpg,www.yojoe.com,www.yojoe.com
786747,G.I. Joe,G.I. Joe,G.I. Joe vs. Cobra,2002,G.I. Joe vs. Cobra,Duke,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/02/images/duke10.jpg,https://www.yojoe.com/images/resize/h/375/action/02/images/duke11.jpg,www.yojoe.com,www.yojoe.com
786750,G.I. Joe,G.I. Joe,G.I. Joe vs. Cobra,2002,G.I. Joe vs. Cobra,Dusty,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/02/images/dusty8.jpg,https://www.yojoe.com/images/resize/h/375/action/02/images/dusty9.jpg,www.yojoe.com,www.yojoe.com
786755,G.I. Joe,G.I. Joe,G.I. Joe vs. Cobra,2002,G.I. Joe vs. Cobra,Frostbite,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/02/images/frostbite6.jpg,https://www.yojoe.com/images/resize/h/375/action/02/images/frostbite4.jpg,www.yojoe.com,www.yojoe.com
786762,G.I. Joe,G.I. Joe,G.I. Joe vs. Cobra,2002,G.I. Joe vs. Cobra,Mirage,image_url,https://www.yojoe.com/images/resize/w/MAX/action/02/allgearedup/mirage2.jpg,https://www.yojoe.com/images/resize/w/MAX/action/02/allgearedup/mirage3.jpg,www.yojoe.com,www.yojoe.com
786766,G.I. Joe,G.I. Joe,G.I. Joe vs. Cobra,2002,G.I. Joe vs. Cobra,Neo-Viper,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/02/images/neoviper4.jpg,https://www.yojoe.com/images/resize/h/375/action/02/images/neoviper.jpg,www.yojoe.com,www.yojoe.com
786773,G.I. Joe,G.I. Joe,G.I. Joe vs. Cobra,2002,G.I. Joe vs. Cobra,Skull Buster,image_url,https://www.yojoe.com/images/resize/w/MAX/action/02/allgearedup/skullbuster1.jpg,https://www.yojoe.com/images/resize/h/375/action/02/images/skullbuster.jpg,www.yojoe.com,www.yojoe.com
786785,G.I. Joe,G.I. Joe,G.I. Joe vs. Cobra,2002,G.I. Joe vs. Cobra,Zartan,packaged_image_url,https://www.yojoe.com/images/resize/h/375/action/02/images/zartan4.jpg,https://www.yojoe.com/images/resize/h/375/action/02/images/zartan5.jpg,www.yojoe.com,www.yojoe.com
