catalog_item_id,franchise,property_name,product_line,release_year,wave,item_name,kind,host,url,source_url,new_url,new_source_name,new_source_url,source_item_title,source_release_year,source_series,score,reasons
4210497,X-Men,X-Men,Toy Biz X-Men,1994,"10"" Deluxe Edition",Bishop,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Bishop10-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1630&figure=bishop,https://www.toymania.com/archives/xmen/bishop.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/bishop.shtml,Bishop,1993,Series IV - 1993,25,name;year_mismatch:1993;loose_for_packaged
4210499,X-Men,X-Men,Toy Biz X-Men,1994,"10"" Deluxe Edition",Gambit,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Gambit10.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1632&figure=gambit,https://www.toymania.com/archives/xmen/gambit.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/gambit.shtml,Gambit Gambit,1992,Series III - 1992,53,name;year_mismatch:1992;kind
4210499,X-Men,X-Men,Toy Biz X-Men,1994,"10"" Deluxe Edition",Gambit,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Gambit10-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1632&figure=gambit,https://www.toymania.com/archives/xmen/gambit.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/gambit.shtml,Gambit Gambit,1992,Series III - 1992,25,name;year_mismatch:1992;loose_for_packaged
4210501,X-Men,X-Men,Toy Biz X-Men,1994,"10"" Deluxe Edition",Mr. Sinister,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/MrSinister10-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1635&figure=mrsinister,https://www.toymania.com/archives/xmen/sinister.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/sinister.shtml,Mr. Sinister,1992,Series II - 1992,25,name;year_mismatch:1992;loose_for_packaged
4210503,X-Men,X-Men,Toy Biz X-Men,1994,"10"" Deluxe Edition",Omega Red,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/OmegaRed10-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1636&figure=omegared,https://www.toymania.com/archives/xmen/omega.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/omegared.shtml,Omega Red,1993,Series IV - 1993,25,name;year_mismatch:1993;loose_for_packaged
4210504,X-Men,X-Men,Toy Biz X-Men,1996,"10"" Deluxe Edition",Rogue,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Rogue-10Figures-1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1637&figure=rogue,https://www.toymania.com/archives/xmen/rogue.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/rogue.shtml,Rogue,1994,Series VII - 1994,53,name;year_mismatch:1994;kind
4210504,X-Men,X-Men,Toy Biz X-Men,1996,"10"" Deluxe Edition",Rogue,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Rogue10-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1637&figure=rogue,https://www.toymania.com/archives/xmen/rogue.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/rogue.shtml,Rogue,1994,Series VII - 1994,25,name;year_mismatch:1994;loose_for_packaged
4210516,X-Men,X-Men,Toy Biz X-Men,1994,"10"" Metallic Mutants",Omega Red,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/OmegaRed-10MetallicMutants-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=1644&figure=omegared,https://www.toymania.com/archives/xmen/omega.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/omegared.shtml,Omega Red,1993,Series IV - 1993,25,name;year_mismatch:1993;loose_for_packaged
4210520,X-Men,X-Men,Toy Biz X-Men,1996,"12"" Special Collector's Edition",Rogue,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Rogue-12CollectorHeroes-1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=9747&figure=rogue,https://www.toymania.com/archives/xmen/rogue.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/rogue.shtml,Rogue,1994,Series VII - 1994,53,name;year_mismatch:1994;kind
4210520,X-Men,X-Men,Toy Biz X-Men,1996,"12"" Special Collector's Edition",Rogue,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/xmen/Rogue-12CollectorHeroes-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=9747&figure=rogue,https://www.toymania.com/archives/xmen/rogue.jpg,Toymania X-Men Archive,https://www.toymania.com/archives/xmen/rogue.shtml,Rogue,1994,Series VII - 1994,25,name;year_mismatch:1994;loose_for_packaged
