status,host,item_id,item_name,kind,url,content_type,bytes,error
downloaded,www.actionfigure411.com,10141,Luke Skywalker,packaged,https://www.actionfigure411.com/star-wars/images/luke-skywalker-13177.jpg,image/jpeg,504243,
downloaded,www.actionfigure411.com,10144,Han Solo in Stormtrooper Disguise (Fruit Loops Mail Away),packaged,https://www.actionfigure411.com/star-wars/images/han-solo-in-stormtrooper-disguise-fruit-loops-mail-away-13355.jpg,image/jpeg,372570,
downloaded,www.actionfigure411.com,10142,Princess Leia Organa,packaged,https://www.actionfigure411.com/star-wars/images/princess-leia-organa-13178.jpg,image/jpeg,396766,
downloaded,www.actionfigure411.com,10138,Chewbacca,packaged,https://www.actionfigure411.com/star-wars/images/chewbacca-13174.jpg,image/jpeg,510327,
downloaded,www.actionfigure411.com,10140,Han Solo,packaged,https://www.actionfigure411.com/star-wars/images/han-solo-13176.jpg,image/jpeg,487240,
downloaded,www.actionfigure411.com,10136,Ben (Obi-Wan) Kenobi,packaged,https://www.actionfigure411.com/star-wars/images/ben-obi-wan-kenobi-13172.jpg,image/jpeg,436059,
downloaded,www.actionfigure411.com,10137,C-3PO,packaged,https://www.actionfigure411.com/star-wars/images/c-3po-13173.jpg,image/jpeg,415823,
downloaded,www.actionfigure411.com,10139,Darth Vader,packaged,https://www.actionfigure411.com/star-wars/images/darth-vader-13175.jpg,image/jpeg,374309,
downloaded,www.actionfigure411.com,10145,Imperial AT-ST (Scout Walker),packaged,https://www.actionfigure411.com/star-wars/images/imperial-at-st-scout-walker-13454.jpg,image/jpeg,595161,
downloaded,www.actionfigure411.com,10143,Classic Edition 4-Pack,packaged,https://www.actionfigure411.com/star-wars/images/classic-edition-4-pack-13354.jpg,image/jpeg,1061606,
downloaded,www.actionfigure411.com,10146,Imperial Speeder Bike,packaged,https://www.actionfigure411.com/star-wars/images/imperial-speeder-bike-13458.jpg,image/jpeg,997531,
downloaded,www.actionfigure411.com,10148,Millennium Falcon,packaged,https://www.actionfigure411.com/star-wars/images/millennium-falcon-13456.jpg,image/jpeg,708802,
downloaded,www.actionfigure411.com,10152,Yoda,packaged,https://www.actionfigure411.com/star-wars/images/yoda-13236.jpg,image/jpeg,779513,
downloaded,www.actionfigure411.com,10147,Landspeeder,packaged,https://www.actionfigure411.com/star-wars/images/landspeeder-13455.jpg,image/jpeg,871429,
downloaded,www.actionfigure411.com,10151,X-Wing Fighter,packaged,https://www.actionfigure411.com/star-wars/images/x-wing-fighter-13460.jpg,image/jpeg,810640,
downloaded,www.actionfigure411.com,10149,Rebel Snowspeeder,packaged,https://www.actionfigure411.com/star-wars/images/rebel-snowspeeder-13457.jpg,image/jpeg,824532,
downloaded,www.actionfigure411.com,10154,Luke Skywalker (Jedi Knight),packaged,https://www.actionfigure411.com/star-wars/images/luke-skywalker-jedi-knight-13231.jpg,image/jpeg,999104,
downloaded,www.actionfigure411.com,10150,TIE Fighter,packaged,https://www.actionfigure411.com/star-wars/images/tie-fighter-13459.jpg,image/jpeg,965285,
downloaded,www.actionfigure411.com,10156,R5-D4,packaged,https://www.actionfigure411.com/star-wars/images/r5-d4-13233.jpg,image/jpeg,1704211,
downloaded,www.actionfigure411.com,10155,Momaw Nadon (Hammerhead),packaged,https://www.actionfigure411.com/star-wars/images/momaw-nadon-hammerhead-13232.jpg,image/jpeg,1589345,
downloaded,www.actionfigure411.com,10160,Crowd Control Stormtrooper,packaged,https://www.actionfigure411.com/star-wars/images/crowd-control-stormtrooper-13351.jpg,image/jpeg,576152,
downloaded,www.actionfigure411.com,10153,Jawas,packaged,https://www.actionfigure411.com/star-wars/images/jawas-13230.jpg,image/jpeg,1602076,
downloaded,www.actionfigure411.com,10158,Boba Fett vs IG-88 (Shadows of the Empire),packaged,https://www.actionfigure411.com/star-wars/images/boba-fett-vs-ig-88-shadows-of-the-empire-13429.jpg,image/jpeg,652147,
downloaded,www.actionfigure411.com,10161,Han Solo with Smuggler Flight Pack,packaged,https://www.actionfigure411.com/star-wars/images/han-solo-with-smuggler-flight-pack-13352.jpg,image/jpeg,544456,
downloaded,www.actionfigure411.com,10159,Boba Fett with Wing-Blast Rocketpack and Overhead Cannon (Deluxe),packaged,https://www.actionfigure411.com/star-wars/images/boba-fett-with-wing-blast-rocketpack-and-overhead-cannon-deluxe-13356.jpg,image/jpeg,554276,
downloaded,www.actionfigure411.com,10162,Luke Skywalker with Desert Sport Skiff,packaged,https://www.actionfigure411.com/star-wars/images/luke-skywalker-with-desert-sport-skiff-13353.jpg,image/jpeg,590149,
downloaded,www.actionfigure411.com,10163,Prince Xizor vs Darth Vader (Shadows of the Empire),packaged,https://www.actionfigure411.com/star-wars/images/prince-xizor-vs-darth-vader-shadows-of-the-empire-13430.jpg,image/jpeg,561396,
downloaded,www.actionfigure411.com,10157,Tusken Raider,packaged,https://www.actionfigure411.com/star-wars/images/tusken-raider-13234.jpg,image/jpeg,1329396,
downloaded,www.actionfigure411.com,10164,Probe Droid (Deluxe),packaged,https://www.actionfigure411.com/star-wars/images/probe-droid-deluxe-13358.jpg,image/jpeg,592142,
