catalog_item_id,franchise,property_name,product_line,release_year,wave,item_name,kind,host,url,source_url
46749,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),1984,Miniature,Warduke,loose,www.toyarchive.com,https://www.toyarchive.com/Dungeons&Dragons/Minitures/WardukeLoose.jpg,https://www.toyarchive.com/Dungeons&Dragons/Minitures/MiniFigures.html
63583,Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,1990,Burger King,Major Legger Mutton,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/barnyardcommandos/thumb_Legger-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4432&figure=majorleggermutton5931
63588,Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,1990,Series 2,Captain Hogg Wilde,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/barnyardcommandos/thumb_HoggWilde-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4443&figure=captainhoggwilde5917
63589,Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,1990,Series 2,Commander Missiles Muttonchop,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/barnyardcommandos/thumb_Muttonchop-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4434&figure=commandermissilesmuttonchop5937
63590,Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,1990,Series 2,Corporal Hy Ondahog,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/barnyardcommandos/thumb_Ondahog-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4441&figure=corporalhyondahog5918
63591,Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,1990,Series 2,Lieutenant Sureshot Shearling,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/barnyardcommandos/thumb_LieutenantSureshotShearling-RAMS-1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=48250&figure=lieutenantsureshotshearling
63592,Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,1990,Series 2,Major Piggyback Gunner,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/barnyardcommandos/thumb_Gunner-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4442&figure=majorpiggybackgunner5916
63593,Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,1990,Series 2,Master Sergeant Cornelius Cannonfodder,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/barnyardcommandos/thumb_CorneliousCannonfodder-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=48251&figure=mastersergeantcorneliuscannonfodder
63594,Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,1990,Series 2,Pork Chopper,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/barnyardcommandos/thumb_PorkChopper-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=48248&figure=porkchopper
63595,Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,1990,Series 2,Pork-A-Pult,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/barnyardcommandos/thumb_PorkAPult-1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=48247&figure=porkapult
63596,Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,1990,Series 2,Private Bull Bellwether,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/barnyardcommandos/thumb_Bellwether-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4435&figure=privatebullbellwether5935
63597,Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,1990,Series 2,Staff Sergeant Blaster McBacon,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/barnyardcommandos/thumb_McBacon-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4440&figure=staffsergeantblastermcbacon5915
85951,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1990,Accessories,Creepy Cruiser,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_CreepyCruiser1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4646&figure=creepycruiser
85951,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1990,Accessories,Creepy Cruiser,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_CreepyCruiser-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4646&figure=creepycruiser
85952,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Accessories,Phantom Flyer,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_PhantomFlyer1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4645&figure=phantomflyer
85952,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Accessories,Phantom Flyer,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_PhantomFlyer-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4645&figure=phantomflyer
85953,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Accessories,Vanishing Vault,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_VanishingVault1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4644&figure=vanishingvault
85953,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Accessories,Vanishing Vault,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_VanishingVault-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4644&figure=vanishingvault
85954,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Neighborhood Nasties,Hungry Hog,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_HungryHog1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4650&figure=hungryhog
85954,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Neighborhood Nasties,Hungry Hog,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_HungryHog-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4650&figure=hungryhog
85955,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Neighborhood Nasties,Old Buzzard,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_OldBuzzard1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4651&figure=oldbuzzard
85955,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Neighborhood Nasties,Old Buzzard,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_OldBuzzard-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4651&figure=oldbuzzard
85956,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Neighborhood Nasties,Street Rat,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_StreetRat1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4652&figure=streetrat
85956,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Neighborhood Nasties,Street Rat,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_StreetRat-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4652&figure=streetrat
85957,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Neighborhood Nasties,Teacher Creature,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_TeacherCreature1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4653&figure=teachercreature
85957,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Neighborhood Nasties,Teacher Creature,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_TeacherCreature-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4653&figure=teachercreature
85958,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Role Play,Gross Out Meter,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_GrossOutMeter-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4647&figure=grossoutmeter
85959,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Role Play,Snake Mask,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_SnakeMask-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61779&figure=snakemask
85960,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Series 1,Adam Maitlan,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_AdamMaitlan1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4643&figure=adammaitlan
85960,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Series 1,Adam Maitlan,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_Adam-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4643&figure=adammaitlan
85961,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Series 1,Beetlejuice (Shish Kebab),loose,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_BeetlejuiceShishKebab1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4639&figure=beetlejuiceshishkebab
85961,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Series 1,Beetlejuice (Shish Kebab),packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_BeetlejuiceShishKebab-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4639&figure=beetlejuiceshishkebab
85962,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Series 1,Beetlejuice (Showtime),loose,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_BeetlejuiceShowtime1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4640&figure=beetlejuiceshowtime
85962,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Series 1,Beetlejuice (Showtime),packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_ShowtimeBeetlejuice-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4640&figure=beetlejuiceshowtime
85963,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Series 1,Beetlejuice (Spinhead),loose,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_BeetlejuiceSpinhead1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4638&figure=beetlejuicespinhead
85963,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Series 1,Beetlejuice (Spinhead),packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_SpinheadBeetlejuice-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4638&figure=beetlejuicespinhead
85964,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Series 1,Harry the Haunted,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_HarryHaunted1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4642&figure=harrythehaunted
85964,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Series 1,Harry the Haunted,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_Harry-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4642&figure=harrythehaunted
85965,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Series 1,Otho the Obnoxious,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_OthoObnoxious1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4641&figure=othotheobnoxious
85965,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Series 1,Otho the Obnoxious,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_Otho-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4641&figure=othotheobnoxious
85966,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Series 2,Beetlejuice (Exploding),loose,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_BeetlejuiceExploding1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4649&figure=beetlejuiceexploding
85966,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Series 2,Beetlejuice (Exploding),packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_BeetlejuiceExploding-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4649&figure=beetlejuiceexploding
85967,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Series 2,Beetlejuice (Shipwreck),loose,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_ShipwreckBeetlejuice1.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4648&figure=beetlejuiceshipwreck
85967,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Series 2,Beetlejuice (Shipwreck),packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_ShipwreckBeetlejuice-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4648&figure=beetlejuiceshipwreck
85968,Beetlejuice,Beetlejuice,Vintage Beetlejuice,1989,Talking,Beetlejuice (Spinning Head),packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_Beetlejuice-SpinningHead-Talking-Front.jpg,https://www.figurerealm.com/actionfigure?action=actionfigure&id=169435&figure=beetlejuicespinninghead
192355,Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,1993,Basic Series,Charley,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_Charley1.jpg,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=658&ssid=0
192355,Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,1993,Basic Series,Charley,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_Charley-Front.jpg,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=658&ssid=0
192356,Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,1993,Basic Series,Dr Karbunkle,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_DrKarbunkle1.jpg,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=658&ssid=0
192356,Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,1993,Basic Series,Dr Karbunkle,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_DrKarbunkle-Front.jpg,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=658&ssid=0
192358,Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,1995,Basic Series,Four-By,loose,www.figurerealm.com,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_FourBy1.jpg,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=658&ssid=0
192358,Biker Mice From Mars,Biker Mice From Mars,Vintage Biker Mice From Mars,1995,Basic Series,Four-By,packaged,www.figurerealm.com,https://www.figurerealm.com/galleries/bikermicefrommars/thumb_FourBy-Front.jpg,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=658&ssid=0
