id,franchise,property_name,product_line,item_name,owned,quantity_owned,complete_count,packaged_count,sealed_count,condition,storage_location,ownership_notes,inventory_source_name,inventory_updated_at
4,Star Wars,Star Wars,The Power Of The Force,Luke Skywalker,0,0,0,0,0,,,,,
20,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (1988 series),Leonardo,0,0,0,0,0,,,,,
21,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (1988 series),Shredder,0,0,0,0,0,,,,,
22,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (1988 series),April O'Neil,0,0,0,0,0,,,,,
23,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles (1988 series),"Leo, the Sewer Samurai",0,0,0,0,0,,,,,
10133,Star Wars,Shadows of the Empire,Power of the Force,Leia (In Boushh Disguise),0,0,0,0,0,,,,,
10134,Star Wars,Shadows of the Empire,Power of the Force,Luke Skywalker (In Imperial Guard Disguise),0,0,0,0,0,,,,,
10135,Star Wars,Shadows of the Empire,Power of the Force,Prince Xizor,0,0,0,0,0,,,,,
10136,Star Wars,Star Wars,Power of the Force,Ben (Obi-Wan) Kenobi,0,0,0,0,0,,,,,
10137,Star Wars,Star Wars,Power of the Force,C-3PO,0,0,0,0,0,,,,,
10138,Star Wars,Star Wars,Power of the Force,Chewbacca,0,0,0,0,0,,,,,
10139,Star Wars,Star Wars,Power of the Force,Darth Vader,0,0,0,0,0,,,,,
10140,Star Wars,Star Wars,Power of the Force,Han Solo,0,0,0,0,0,,,,,
10141,Star Wars,Star Wars,Power of the Force,Luke Skywalker,0,0,0,0,0,,,,,
10142,Star Wars,Star Wars,Power of the Force,Princess Leia Organa,0,0,0,0,0,,,,,
10143,Star Wars,Star Wars,Power of the Force,Classic Edition 4-Pack,0,0,0,0,0,,,,,
10144,Star Wars,Star Wars,Power of the Force,Han Solo in Stormtrooper Disguise (Fruit Loops Mail Away),0,0,0,0,0,,,,,
10145,Star Wars,Star Wars,Power of the Force,Imperial AT-ST (Scout Walker),0,0,0,0,0,,,,,
10146,Star Wars,Star Wars,Power of the Force,Imperial Speeder Bike,0,0,0,0,0,,,,,
10147,Star Wars,Star Wars,Power of the Force,Landspeeder,0,0,0,0,0,,,,,
10148,Star Wars,Star Wars,Power of the Force,Millennium Falcon,0,0,0,0,0,,,,,
10149,Star Wars,Star Wars,Power of the Force,Rebel Snowspeeder,0,0,0,0,0,,,,,
10150,Star Wars,Star Wars,Power of the Force,TIE Fighter,0,0,0,0,0,,,,,
10151,Star Wars,Star Wars,Power of the Force,X-Wing Fighter,0,0,0,0,0,,,,,
10152,Star Wars,Star Wars,Power of the Force,Yoda,0,0,0,0,0,,,,,
10153,Star Wars,Star Wars,Power of the Force,Jawas,0,0,0,0,0,,,,,
10154,Star Wars,Star Wars,Power of the Force,Luke Skywalker (Jedi Knight),0,0,0,0,0,,,,,
10155,Star Wars,Star Wars,Power of the Force,Momaw Nadon (Hammerhead),0,0,0,0,0,,,,,
10156,Star Wars,Star Wars,Power of the Force,R5-D4,0,0,0,0,0,,,,,
10157,Star Wars,Star Wars,Power of the Force,Tusken Raider,0,0,0,0,0,,,,,
10158,Star Wars,Star Wars,Power of the Force,Boba Fett vs IG-88 (Shadows of the Empire),0,0,0,0,0,,,,,
10159,Star Wars,Star Wars,Power of the Force,Boba Fett with Wing-Blast Rocketpack and Overhead Cannon (Deluxe),0,0,0,0,0,,,,,
