franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
A-Team,A-Team,"A-Team 3 3/4"" Scale",Galoob,1984,1984,B.A. Baracus,figure,ToyMania,https://www.toymania.com/334archives/ateam/ba.htm,https://www.toymania.com/334archives/ateam/ba.jpg,https://www.toymania.com/334archives/ateam/cardedateam.jpg,Vintage Galoob A-Team item sourced and photo-linked from ToyMania.
A-Team,A-Team,"A-Team 3 3/4"" Scale",Galoob,1984,1984,Cobra,figure,ToyMania,https://www.toymania.com/334archives/ateam/cobra.htm,https://www.toymania.com/334archives/ateam/cobra.jpg,https://www.toymania.com/334archives/ateam/cardedbadguys.jpg,Vintage Galoob A-Team item sourced and photo-linked from ToyMania.
A-Team,A-Team,"A-Team 3 3/4"" Scale",Galoob,1984,1984,Face,figure,ToyMania,https://www.toymania.com/334archives/ateam/face.htm,https://www.toymania.com/334archives/ateam/face.jpg,https://www.toymania.com/334archives/ateam/cardedateam.jpg,Vintage Galoob A-Team item sourced and photo-linked from ToyMania.
A-Team,A-Team,"A-Team 3 3/4"" Scale",Galoob,1984,1984,Hannibal,figure,ToyMania,https://www.toymania.com/334archives/ateam/hannibal.htm,https://www.toymania.com/334archives/ateam/hannibal.jpg,https://www.toymania.com/334archives/ateam/cardedateam.jpg,Vintage Galoob A-Team item sourced and photo-linked from ToyMania.
A-Team,A-Team,"A-Team 3 3/4"" Scale",Galoob,1984,1984,Murdock,figure,ToyMania,https://www.toymania.com/334archives/ateam/murdock.htm,https://www.toymania.com/334archives/ateam/murdock.jpg,https://www.toymania.com/334archives/ateam/cardedateam.jpg,Vintage Galoob A-Team item sourced and photo-linked from ToyMania.
A-Team,A-Team,"A-Team 3 3/4"" Scale",Galoob,1984,1984,Python,figure,ToyMania,https://www.toymania.com/334archives/ateam/python.htm,https://www.toymania.com/334archives/ateam/python.jpg,https://www.toymania.com/334archives/ateam/cardedbadguys.jpg,Vintage Galoob A-Team item sourced and photo-linked from ToyMania.
A-Team,A-Team,"A-Team 3 3/4"" Scale",Galoob,1984,1984,Rattler,figure,ToyMania,https://www.toymania.com/334archives/ateam/rattler.htm,https://www.toymania.com/334archives/ateam/rattler.jpg,https://www.toymania.com/334archives/ateam/cardedbadguys.jpg,Vintage Galoob A-Team item sourced and photo-linked from ToyMania.
A-Team,A-Team,"A-Team 3 3/4"" Scale",Galoob,1984,1984,Viper,figure,ToyMania,https://www.toymania.com/334archives/ateam/viper.htm,https://www.toymania.com/334archives/ateam/viper.jpg,https://www.toymania.com/334archives/ateam/cardedbadguys.jpg,Vintage Galoob A-Team item sourced and photo-linked from ToyMania.
A-Team,A-Team,"A-Team 3 3/4"" Scale - 4-Packs",Galoob,1984,1984,Soldiers of Fortune,multi-pack,ToyMania,https://www.toymania.com/334archives/ateam/pack.htm,https://www.toymania.com/334archives/ateam/cardedateam.jpg,https://www.toymania.com/334archives/ateam/cardedateam.jpg,Vintage Galoob A-Team item sourced and photo-linked from ToyMania.
A-Team,A-Team,"A-Team 3 3/4"" Scale - 4-Packs",Galoob,1984,1984,Bad Guys,multi-pack,ToyMania,https://www.toymania.com/334archives/ateam/pack.htm,https://www.toymania.com/334archives/ateam/cardedbadguys.jpg,https://www.toymania.com/334archives/ateam/cardedbadguys.jpg,Vintage Galoob A-Team item sourced and photo-linked from ToyMania.
A-Team,A-Team,"A-Team 3 3/4"" Scale - 4-Packs",Galoob,1984,1984,Bad Guys (Recolored Variant),multi-pack,ToyMania,https://www.toymania.com/334archives/ateam/pack.htm,https://www.toymania.com/334archives/ateam/badguyscarded-var.jpg,https://www.toymania.com/334archives/ateam/badguyscarded-var.jpg,Vintage Galoob A-Team item sourced and photo-linked from ToyMania.
A-Team,A-Team,"A-Team 3 3/4"" Scale - Accessories",Galoob,1984,1984,Action Corvette Play Set,vehicle,ToyMania,https://www.toymania.com/334archives/ateam/corvette.htm,https://www.toymania.com/334archives/ateam/corvette.jpg,,Vintage Galoob A-Team item sourced and photo-linked from ToyMania.
A-Team,A-Team,"A-Team 3 3/4"" Scale - Accessories",Galoob,1984,1984,Armored Attack Adventure Set,vehicle,ToyMania,https://www.toymania.com/334archives/ateam/car.htm,https://www.toymania.com/334archives/ateam/car.jpg,https://www.toymania.com/334archives/ateam/car_boxed.jpg,Vintage Galoob A-Team item sourced and photo-linked from ToyMania.
A-Team,A-Team,"A-Team 3 3/4"" Scale - Accessories",Galoob,1984,1984,Combat Headquarters Set,playset,ToyMania,https://www.toymania.com/334archives/ateam/headquarters.htm,https://www.toymania.com/334archives/ateam/headquarters.jpg,,Vintage Galoob A-Team item sourced and photo-linked from ToyMania.
A-Team,A-Team,"A-Team 3 3/4"" Scale - Accessories",Galoob,1984,1984,Patrol Boat Adventure Set,vehicle,ToyMania,https://www.toymania.com/334archives/ateam/boat.htm,https://www.toymania.com/334archives/ateam/boat_opened.jpg,https://www.toymania.com/334archives/ateam/boat_front.jpg,Vintage Galoob A-Team item sourced and photo-linked from ToyMania.
A-Team,A-Team,"A-Team 3 3/4"" Scale - Accessories",Galoob,1984,1984,Sky Patrol Jet Set,vehicle,ToyMania,https://www.toymania.com/334archives/ateam/jet.htm,https://www.toymania.com/334archives/ateam/jet_boxed.jpg,https://www.toymania.com/334archives/ateam/jet_boxed.jpg,Vintage Galoob A-Team item sourced and photo-linked from ToyMania.
A-Team,A-Team,"A-Team 3 3/4"" Scale - Accessories",Galoob,1984,1984,Tactical Van Play Set,vehicle,ToyMania,https://www.toymania.com/334archives/ateam/van.htm,https://www.toymania.com/334archives/ateam/van_boxed2.jpg,https://www.toymania.com/334archives/ateam/van_boxed2.jpg,Vintage Galoob A-Team item sourced and photo-linked from ToyMania.
A-Team,A-Team,"A-Team 6"" Scale",Galoob,1984,1984,Amy A. Allen,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&figure=amyallen&id=4226,https://www.figurerealm.com/galleries/ateam/thumb_AmyAllen1-6.jpg,,Photo sourced from Figure Realm 6-inch checklist thumbnail.
A-Team,A-Team,"A-Team 6"" Scale",Galoob,1984,1984,B.A. Baracus,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&figure=babaracus&id=4227,https://www.figurerealm.com/galleries/ateam/thumb_BABaracus-6-Front.jpg,,Photo sourced from Figure Realm 6-inch checklist thumbnail.
A-Team,A-Team,"A-Team 6"" Scale",Galoob,1984,1984,Cobra,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&figure=cobra&id=4231,https://www.figurerealm.com/galleries/ateam/thumb_Cobra-6-Front.jpg,,Photo sourced from Figure Realm 6-inch checklist thumbnail.
A-Team,A-Team,"A-Team 6"" Scale",Galoob,1984,1984,Face,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&figure=face8500&id=4228,https://www.figurerealm.com/galleries/ateam/thumb_Face-6-Front.jpg,,Photo sourced from Figure Realm 6-inch checklist thumbnail.
A-Team,A-Team,"A-Team 6"" Scale",Galoob,1984,1984,Hannibal,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&figure=hannibal&id=4229,https://www.figurerealm.com/galleries/ateam/thumb_Hannibal-6-Front.jpg,,Photo sourced from Figure Realm 6-inch checklist thumbnail.
A-Team,A-Team,"A-Team 6"" Scale",Galoob,1984,1984,Murdock,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&figure=murdock&id=4230,https://www.figurerealm.com/galleries/ateam/thumb_Murdock-6-Front.jpg,,Photo sourced from Figure Realm 6-inch checklist thumbnail.
A-Team,A-Team,"A-Team 6"" Scale",Galoob,1984,1984,Python,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&figure=python&id=4232,https://www.figurerealm.com/galleries/ateam/thumb_Python-6-Front.jpg,,Photo sourced from Figure Realm 6-inch checklist thumbnail.
A-Team,A-Team,"A-Team 6"" Scale",Galoob,1984,1984,Rattler,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&figure=rattler&id=4233,https://www.figurerealm.com/galleries/ateam/thumb_Rattler-6-Front.jpg,,Photo sourced from Figure Realm 6-inch checklist thumbnail.
A-Team,A-Team,"A-Team 6"" Scale",Galoob,1984,1984,Viper,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&figure=viper&id=4234,https://www.figurerealm.com/galleries/ateam/thumb_Viper-6-Front.jpg,,Photo sourced from Figure Realm 6-inch checklist thumbnail.
A-Team,A-Team,"A-Team 6"" Scale - Accessories",Galoob,1984,1984,Command Center,playset,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&figure=commandcenter&id=28921,https://www.figurerealm.com/galleries/ateam/thumb_CommandCenter1.jpg,,Photo sourced from Figure Realm accessory page.
A-Team,A-Team,"A-Team 6"" Scale - Accessories",Galoob,1984,1984,Gyrocopter Combat Attack,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&figure=gyrocoptercombatattack&id=28757,https://www.figurerealm.com/galleries/ateam/thumb_GyroCopter1.jpg,https://www.figurerealm.com/galleries/ateam/thumb_GyroCopter-Front.jpg,Photos sourced from Figure Realm accessory page.
A-Team,A-Team,"A-Team 6"" Scale - Accessories",Galoob,1984,1984,Off-Road Attack Cycle,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&figure=offroadattackcycle&id=28758,https://www.figurerealm.com/galleries/ateam/thumb_OffroadAttackCycle-Front.jpg,,Photo sourced from Figure Realm checklist thumbnail.
A-Team,A-Team,Licensed Products,Galoob,1984,1984,A-Team Colorforms,accessory,Dallas Vintage Toys,https://www.dallasvintagetoys.com/1983colorformsadventuresetthea-team1a.aspx,http://www.dallasvintagetoys.com/images/products/display/UNADJUSTEDNONRAW_thumb_ce2.jpg,http://www.dallasvintagetoys.com/images/products/display/UNADJUSTEDNONRAW_thumb_ce2.jpg,Licensed item photo sourced from Dallas Vintage Toys product archive.
A-Team,A-Team,Licensed Products,Galoob,1984,1984,A-Team Grenade Toss,role-play,2 Warp Stoneptune,https://2warpstoneptune.com/category/toy-gunsweapons/,https://2warpstoneptune.com/wp-content/uploads/2014/10/a-team-grenade-toss-1983.jpg?w=500&#038;h=375,https://2warpstoneptune.com/wp-content/uploads/2014/10/a-team-grenade-toss-1983.jpg?w=500&#038;h=375,Licensed item photo sourced from 2 Warp Stoneptune toy weapons archive.
A-Team,A-Team,Licensed Products,LJN Toys,1983,1983,Great Escape Stunt Set,playset,Kang's Collectibles,https://kangscollectibles.com/en-us/products/1983-a-team-roughriders-great-escape-stunt-set?srsltid=AfmBOoprch15hBx_WO4A935mOQhkWdqvL18kVODVIO-wMMzeUN87pdoU,,,A-Team Rough Riders licensed motorized van stunt set documented by retailer/archive listing.
A-Team,A-Team,Licensed Products,LJN Toys,1983,1983,Enforcer Van,vehicle,Vintage Toy Emporium,https://www.vintagetoyemporium.com/product-page/enforcer-vintage-1981-the-a-team-rough-riders-tri-ex-ljn-toys,,,A-Team Rough Riders licensed motorized van documented by Vintage Toy Emporium archive listing.
A-Team,A-Team,Licensed Products,LJN Toys,1982,1982,Battle Blaster,vehicle,Mercari,https://www.mercari.com/us/item/m17459886981/,,,A-Team Rough Riders licensed motorized vehicle documented by retailer/archive listing.
A-Team,A-Team,Licensed Products,LJN Toys,1983,1983,Command Chopper,vehicle,Captain Jacks Models,https://www.captainjacksmodels.co.uk/ourshop/prod_7876710-Vintage-1981-A-Team-Command-Chopper-Rough-Riders-A-Team-Van.html,,,A-Team licensed Command Chopper documented by collector retail archive listing.
