franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),LJN,1983,Basic Series,Elkhorn,figure,ToyArchive,https://www.toyarchive.com/Dungeons&Dragons/Figures/Elkhorn.html,https://www.toyarchive.com/Dungeons&Dragons/Figures/ElkhornLoose1a.jpg,https://www.toyarchive.com/Dungeons&Dragons/Figures/MOSC/ThumbElkhornMOSC1a.jpg,Checklist expanded from collector sources; photo sourced from ToyArchive.
Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),LJN,1983,Basic Series,Kelek,figure,ToyArchive,https://www.toyarchive.com/Dungeons&Dragons/Figures/Kelek.html,https://www.toyarchive.com/Dungeons&Dragons/Figures/KelekLoose1a.jpg,https://www.toyarchive.com/Dungeons&Dragons/Figures/MOSC/ThumbKelekMagicMOSC1a.jpg,Checklist expanded from collector sources; photo sourced from ToyArchive.
Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),LJN,1983,Basic Series,Melf / Peralay,figure,ToyArchive,https://www.toyarchive.com/Dungeons&Dragons/Figures/PeralayMelf.html,https://www.toyarchive.com/Dungeons&Dragons/Figures/MelfLoose1a.jpg,https://www.toyarchive.com/Dungeons&Dragons/Figures/MOSC/ThumbPeralayMOSC1a.jpg,Checklist expanded from collector sources; photo sourced from ToyArchive.
Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),LJN,1983,Basic Series,Mercion,figure,ToyArchive,https://www.toyarchive.com/Dungeons&Dragons/Figures/Mercion.html,https://www.toyarchive.com/Dungeons&Dragons/Figures/MercionLoose1a.jpg,https://www.toyarchive.com/Dungeons&Dragons/Figures/MOSC/ThumbMercionMOSC1a.jpg,Checklist expanded from collector sources; photo sourced from ToyArchive.
Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),LJN,1983,Basic Series,Northlord,figure,ToyArchive,https://www.toyarchive.com/Dungeons&Dragons/Figures/Northlord.html,https://www.toyarchive.com/Dungeons&Dragons/Figures/NorthlordLoose1a.jpg,,Checklist expanded from collector sources; photo sourced from ToyArchive.
Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),LJN,1983,Basic Series,Ogre King,figure,ToyArchive,https://www.toyarchive.com/Dungeons&Dragons/Figures/OgreKing.html,https://www.toyarchive.com/Dungeons&Dragons/Figures/OgreKingLoose1a.jpg,https://www.toyarchive.com/Dungeons&Dragons/Figures/MOSC/ThumbOgreKingMOSC1a.jpg,Checklist expanded from collector sources; photo sourced from ToyArchive.
Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),LJN,1983,Basic Series,Ringlerun,figure,ToyArchive,https://www.toyarchive.com/Dungeons&Dragons/Figures/Ringlerun.html,https://www.toyarchive.com/Dungeons&Dragons/Figures/RinglerunLoose1a.jpg,https://www.toyarchive.com/Dungeons&Dragons/Figures/MOSC/ThumbRinglerunMOSC1a.jpg,Checklist expanded from collector sources; photo sourced from ToyArchive.
Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),LJN,1983,Basic Series,Strongheart,figure,ToyArchive,https://www.toyarchive.com/Dungeons&Dragons/Figures/Strongheart.html,https://www.toyarchive.com/Dungeons&Dragons/Figures/StrongheartLoose1a.jpg,https://www.toyarchive.com/Dungeons&Dragons/Figures/Thumbnails/StrongheartMOSC1a.jpg,Checklist expanded from collector sources; photo sourced from ToyArchive.
Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),LJN,1983,Basic Series,Warduke,figure,ToyArchive,https://www.toyarchive.com/Dungeons&Dragons/Figures/Warduke.html,https://www.toyarchive.com/Dungeons&Dragons/Figures/WardukeLoose1a.jpg,https://www.toyarchive.com/Dungeons&Dragons/Figures/Thumbnails/WardukeMOSC1a.jpg,Checklist expanded from collector sources; photo sourced from ToyArchive.
Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),LJN,1983,Basic Series,Young Male Titan,figure,ToyArchive,https://www.toyarchive.com/Dungeons&Dragons/Figures/YoungMaleTitan.html,https://www.toyarchive.com/Dungeons&Dragons/Figures/YoungMaleTitanLoose1a.jpg,,Checklist expanded from collector sources; photo sourced from ToyArchive.
Advanced Dungeons and Dragons,Advanced Dungeons and Dragons,Advanced Dungeons and Dragons (LJN),LJN,1983,Basic Series,Zarak,figure,ToyArchive,https://www.toyarchive.com/Dungeons&Dragons/Figures/Zarak.html,https://www.toyarchive.com/Dungeons&Dragons/Figures/ZarakLoose1a.jpg,https://www.toyarchive.com/Dungeons&Dragons/Figures/Thumbnails/ZarakMOSC1a.jpg,Checklist expanded from collector sources; photo sourced from ToyArchive.
