franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,Playmates,1989,Series 1,Commodore Fleece Cardigan,figure,Figure Realm + Collector Archive,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4431&figure=commodorefleececardigan5932,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10211828_1_1.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10211828_1_1.jpg,Loose/front image sourced from Figure Realm; packaged image sourced from Collector Archive.
Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,Playmates,1989,Series 1,General Hamfat Lardo,figure,Figure Realm + Collector Archive,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4436&figure=generalhamfatlardo5911,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20223253_1_1.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20223253_1_1.jpg,Loose/front image sourced from Figure Realm; packaged image sourced from Collector Archive.
Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,Playmates,1989,Series 1,Major Legger Mutton,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4432&figure=majorleggermutton5931,https://www.figurerealm.com/galleries/barnyardcommandos/thumb_Legger-Front.jpg,,Loose/front image sourced from Figure Realm checklist.
Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,Playmates,1989,Series 1,Pilot Fluff Pendleton,figure,Figure Realm + Collector Archive,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4433&figure=pilotfluffpendleton5933,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10219979_1_1.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10219979_1_1.jpg,Loose/front image sourced from Figure Realm; packaged image sourced from Collector Archive.
Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,Playmates,1989,Series 1,Private Side O'Bacon,figure,Figure Realm + Collector Archive,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4437&figure=privatesideobacon5914,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10179594_1_1.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10219949_1_1.jpg,Loose/front image sourced from Figure Realm; packaged image sourced from Collector Archive.
Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,Playmates,1989,Series 1,Captain Tusker Chitlins,figure,Figure Realm + Collector Archive,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4439&figure=captaintuskerchitlins5912,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10219977_1_1.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10219977_1_1.jpg,Loose/front image sourced from Figure Realm; packaged image sourced from Collector Archive.
Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,Playmates,1989,Series 1,Sergeant Woolly Pullover,figure,Figure Realm + Collector Archive,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4430&figure=sergeantwoollypullover,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10219974_1_1.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10219974_1_1.jpg,Loose/front image sourced from Figure Realm; packaged image sourced from Collector Archive.
Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,Playmates,1989,Series 1,Sergeant Shoat N. Sweet,figure,Figure Realm + Collector Archive,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4438&figure=sergeantshoatnsweet5913,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10190258_1_1.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10190258_1_1.jpg,Loose/front image sourced from Figure Realm; packaged image sourced from Collector Archive.
Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,Playmates,1990,Burger King,Major Legger Mutton,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4432&figure=majorleggermutton5931,https://www.figurerealm.com/galleries/barnyardcommandos/thumb_Legger-Front.jpg,,Loose/front image sourced from Figure Realm checklist.
Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,Playmates,1990,Burger King,Private Side O'Bacon,figure,Figure Realm + Collector Archive,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4437&figure=privatesideobacon5914,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10179594_1_1.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10179594_1_1.jpg,Loose/front image sourced from Figure Realm; packaged image sourced from Collector Archive.
Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,Playmates,1990,Burger King,Sergeant Shoat N. Sweet,figure,Figure Realm + Collector Archive,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4438&figure=sergeantshoatnsweet5913,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10190258_1_1.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10190258_1_1.jpg,Loose/front image sourced from Figure Realm; packaged image sourced from Collector Archive.
Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,Playmates,1990,Burger King,Sergeant Woolly Pullover,figure,Figure Realm + Collector Archive,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4430&figure=sergeantwoollypullover,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10219974_1_1.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/1/0/10219974_1_1.jpg,Loose/front image sourced from Figure Realm; packaged image sourced from Collector Archive.
Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,Playmates,1990,Series 2,Bacon Bomber,vehicle,Figure Realm + Collector Archive,https://www.figurerealm.com/actionfigure?action=actionfigure&id=48249&figure=baconbomber,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20223384_1_1.jpg,https://collectorarchive.com/pub/media/catalog/product/cache/99714ade6c281579c1466b127cb69403/2/0/20223384_1_1.jpg,Loose/front image sourced from Figure Realm; packaged image sourced from Collector Archive.
Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,Playmates,1990,Series 2,Captain Hogg Wilde,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4443&figure=captainhoggwilde5917,https://www.figurerealm.com/galleries/barnyardcommandos/thumb_HoggWilde-Front.jpg,,Loose/front image sourced from Figure Realm checklist.
Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,Playmates,1990,Series 2,Commander Missiles Muttonchop,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4434&figure=commandermissilesmuttonchop5937,https://www.figurerealm.com/galleries/barnyardcommandos/thumb_Muttonchop-Front.jpg,,Loose/front image sourced from Figure Realm checklist.
Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,Playmates,1990,Series 2,Corporal Hy Ondahog,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4441&figure=corporalhyondahog5918,https://www.figurerealm.com/galleries/barnyardcommandos/thumb_Ondahog-Front.jpg,,Loose/front image sourced from Figure Realm checklist.
Barnyard Commandos,Barnyard Commandos,Vintage Barnyard Commandos,Playmates,1990,Series 2,Lieutenant Sureshot Shearling,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=48250&figure=lieutenantsureshotshearling,https://www.figurerealm.com/galleries/barnyardcommandos/thumb_LieutenantSureshotShearling-RAMS-1.jpg,,Loose/front image sourced from Figure Realm checklist.
