franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Beetlejuice,Beetlejuice,Vintage Beetlejuice,Kenner,1990,Accessories,Creepy Cruiser,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4646&figure=creepycruiser,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_CreepyCruiser1.jpg,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_CreepyCruiser-Front.jpg,Vintage Kenner Beetlejuice item sourced from Figure Realm checklist and detail pages.
Beetlejuice,Beetlejuice,Vintage Beetlejuice,Kenner,1989,Accessories,Phantom Flyer,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4645&figure=phantomflyer,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_PhantomFlyer1.jpg,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_PhantomFlyer-Front.jpg,Vintage Kenner Beetlejuice item sourced from Figure Realm checklist and detail pages.
Beetlejuice,Beetlejuice,Vintage Beetlejuice,Kenner,1989,Accessories,Vanishing Vault,playset,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4644&figure=vanishingvault,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_VanishingVault1.jpg,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_VanishingVault-Front.jpg,Vintage Kenner Beetlejuice item sourced from Figure Realm checklist and detail pages.
Beetlejuice,Beetlejuice,Vintage Beetlejuice,Kenner,1989,Neighborhood Nasties,Hungry Hog,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4650&figure=hungryhog,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_HungryHog1.jpg,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_HungryHog-Front.jpg,Vintage Kenner Beetlejuice item sourced from Figure Realm checklist and detail pages.
Beetlejuice,Beetlejuice,Vintage Beetlejuice,Kenner,1989,Neighborhood Nasties,Old Buzzard,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4651&figure=oldbuzzard,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_OldBuzzard1.jpg,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_OldBuzzard-Front.jpg,Vintage Kenner Beetlejuice item sourced from Figure Realm checklist and detail pages.
Beetlejuice,Beetlejuice,Vintage Beetlejuice,Kenner,1989,Neighborhood Nasties,Street Rat,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4652&figure=streetrat,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_StreetRat1.jpg,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_StreetRat-Front.jpg,Vintage Kenner Beetlejuice item sourced from Figure Realm checklist and detail pages.
Beetlejuice,Beetlejuice,Vintage Beetlejuice,Kenner,1989,Neighborhood Nasties,Teacher Creature,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4653&figure=teachercreature,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_TeacherCreature1.jpg,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_TeacherCreature-Front.jpg,Vintage Kenner Beetlejuice item sourced from Figure Realm checklist and detail pages.
Beetlejuice,Beetlejuice,Vintage Beetlejuice,Kenner,1989,Role Play,Gross Out Meter,role-play,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4647&figure=grossoutmeter,,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_GrossOutMeter-Front.jpg,Vintage Kenner Beetlejuice item sourced from Figure Realm checklist and detail pages.
Beetlejuice,Beetlejuice,Vintage Beetlejuice,Kenner,1989,Role Play,Snake Mask,role-play,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=61779&figure=snakemask,,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_SnakeMask-Front.jpg,Vintage Kenner Beetlejuice item sourced from Figure Realm checklist and detail pages.
Beetlejuice,Beetlejuice,Vintage Beetlejuice,Kenner,1989,Series 1,Adam Maitlan,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=4643&figure=adammaitlan,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_AdamMaitlan1.jpg,https://www.figurerealm.com/galleries/beetlejuicekenner/thumb_Adam-Front.jpg,Vintage Kenner Beetlejuice item sourced from Figure Realm checklist and detail pages.
