franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Ben 10,Ben 10,"Ben 10 (2005 TV Series) - 4"" Collection - Alien Collection",Bandai,2006,Wave 1,Heatblast,figure,Ben 10 Wiki,"https://ben10.fandom.com/wiki/Toy_Line/4""_Collection",https://static.wikia.nocookie.net/ben10/images/5/5a/Figure-ben10-heatblast.png/revision/latest?cb=20250924033448,,"Expanded Ben 10 catalog sourced from the Ben 10 Wiki subpage Toy Line/4"" Collection. Photo verified from the Ben 10 Wiki gallery."
Ben 10,Ben 10,"Ben 10 (2005 TV Series) - 4"" Collection - Alien Collection",Bandai,2006,Wave 1,Wildmutt,figure,Ben 10 Wiki,"https://ben10.fandom.com/wiki/Toy_Line/4""_Collection",https://static.wikia.nocookie.net/ben10/images/b/be/Wildmutt_OS_Figure.png/revision/latest?cb=20250901024309,,"Expanded Ben 10 catalog sourced from the Ben 10 Wiki subpage Toy Line/4"" Collection. Photo verified from the Ben 10 Wiki gallery."
Ben 10,Ben 10,"Ben 10 (2005 TV Series) - 4"" Collection - Alien Collection",Bandai,2006,Wave 1,Diamondhead (removable back spikes),figure,Ben 10 Wiki,"https://ben10.fandom.com/wiki/Toy_Line/4""_Collection",https://static.wikia.nocookie.net/ben10/images/e/ef/Ben10-4-1-diamond.png/revision/latest?cb=20250924033544,,"Expanded Ben 10 catalog sourced from the Ben 10 Wiki subpage Toy Line/4"" Collection. Photo verified from the Ben 10 Wiki gallery."
Ben 10,Ben 10,"Ben 10 (2005 TV Series) - 4"" Collection - Alien Collection",Bandai,2006,Wave 1,XLR8 (removable visor),figure,Ben 10 Wiki,"https://ben10.fandom.com/wiki/Toy_Line/4""_Collection",,https://static.wikia.nocookie.net/ben10/images/5/59/XLR8_Toy_Box.png/revision/latest?cb=20210202151028,"Expanded Ben 10 catalog sourced from the Ben 10 Wiki subpage Toy Line/4"" Collection. Photo verified from the Ben 10 Wiki gallery."
Ben 10,Ben 10,"Ben 10 (2005 TV Series) - 4"" Collection - Alien Collection",Bandai,2006,Wave 1,Grey Matter (mini Grey Matter figure),figure,Ben 10 Wiki,"https://ben10.fandom.com/wiki/Toy_Line/4""_Collection",,https://static.wikia.nocookie.net/ben10/images/7/7a/Grey_Matter_Toy_Box.png/revision/latest?cb=20250922025515,"Expanded Ben 10 catalog sourced from the Ben 10 Wiki subpage Toy Line/4"" Collection. Photo verified from the Ben 10 Wiki gallery."
Ben 10,Ben 10,"Ben 10 (2005 TV Series) - 4"" Collection - Alien Collection",Bandai,2006,Wave 1,Four Arms,figure,Ben 10 Wiki,"https://ben10.fandom.com/wiki/Toy_Line/4""_Collection",https://static.wikia.nocookie.net/ben10/images/7/7a/Ben10tenfigurefourarms.png/revision/latest?cb=20250901024326,,"Expanded Ben 10 catalog sourced from the Ben 10 Wiki subpage Toy Line/4"" Collection. Photo verified from the Ben 10 Wiki gallery."
Ben 10,Ben 10,"Ben 10 (2005 TV Series) - 4"" Collection - Alien Collection",Bandai,2006,Wave 1,Stinkfly,figure,Ben 10 Wiki,"https://ben10.fandom.com/wiki/Toy_Line/4""_Collection",,https://static.wikia.nocookie.net/ben10/images/4/4e/Stinkfly_Toy_Box.png/revision/latest?cb=20250922025632,"Expanded Ben 10 catalog sourced from the Ben 10 Wiki subpage Toy Line/4"" Collection. Photo verified from the Ben 10 Wiki gallery."
Ben 10,Ben 10,"Ben 10 (2005 TV Series) - 4"" Collection - Alien Collection",Bandai,2006,Wave 1,Ripjaws,figure,Ben 10 Wiki,"https://ben10.fandom.com/wiki/Toy_Line/4""_Collection",,https://static.wikia.nocookie.net/ben10/images/9/94/Ripjaws_Toy_Box.png/revision/latest?cb=20211123060551,"Expanded Ben 10 catalog sourced from the Ben 10 Wiki subpage Toy Line/4"" Collection. Photo verified from the Ben 10 Wiki gallery."
Ben 10,Ben 10,"Ben 10 (2005 TV Series) - 4"" Collection - Alien Collection",Bandai,2006,Wave 1,Upgrade,figure,Ben 10 Wiki,"https://ben10.fandom.com/wiki/Toy_Line/4""_Collection",https://static.wikia.nocookie.net/ben10/images/0/0d/Ben10-4-upgrade1.png/revision/latest?cb=20250922025747,,"Expanded Ben 10 catalog sourced from the Ben 10 Wiki subpage Toy Line/4"" Collection. Photo verified from the Ben 10 Wiki gallery."
Ben 10,Ben 10,"Ben 10 (2005 TV Series) - 4"" Collection - Alien Collection",Bandai,2006,Wave 1,Ghostfreak (stand accessory),figure,Ben 10 Wiki,"https://ben10.fandom.com/wiki/Toy_Line/4""_Collection",,https://static.wikia.nocookie.net/ben10/images/a/a3/Ghostfreak_Toy_Box.png/revision/latest?cb=20250922025843,"Expanded Ben 10 catalog sourced from the Ben 10 Wiki subpage Toy Line/4"" Collection. Photo verified from the Ben 10 Wiki gallery."
