franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Bill and Ted's Excellent Adventure,Bill and Ted's Excellent Adventure,Vintage Bill and Ted,Kenner,1991,Accessories,Phone Booth,playset,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=668,,https://www.figurerealm.com/galleries/billandtedsexcellentadventure/thumb_PhoneBooth-Front.jpg,Vintage Kenner Bill and Ted item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bill and Ted's Excellent Adventure,Bill and Ted's Excellent Adventure,Vintage Bill and Ted,Kenner,1991,Accessories,Wild Stallyns Jam Session,accessory,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=668,,https://www.figurerealm.com/galleries/billandtedsexcellentadventure/thumb_WildStallynsJamSession-Front.jpg,Vintage Kenner Bill and Ted item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bill and Ted's Excellent Adventure,Bill and Ted's Excellent Adventure,Vintage Bill and Ted,Kenner,1991,Accessories,Wild Stallyns Speaker & Tape,accessory,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=668,,https://www.figurerealm.com/galleries/billandtedsexcellentadventure/thumb_WildStallynsSpeakerTape-Front.jpg,Vintage Kenner Bill and Ted item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bill and Ted's Excellent Adventure,Bill and Ted's Excellent Adventure,Vintage Bill and Ted,Kenner,1991,Basic Series,Abe Lincoln,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=668,,https://www.figurerealm.com/galleries/billandtedsexcellentadventure/thumb_AbeLincoln-Front.jpg,Vintage Kenner Bill and Ted item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bill and Ted's Excellent Adventure,Bill and Ted's Excellent Adventure,Vintage Bill and Ted,Kenner,1991,Basic Series,Bill S. Preston Esq.,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=668,,https://www.figurerealm.com/galleries/billandtedsexcellentadventure/thumb_Bill-Front.jpg,Vintage Kenner Bill and Ted item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bill and Ted's Excellent Adventure,Bill and Ted's Excellent Adventure,Vintage Bill and Ted,Kenner,1991,Basic Series,Billy the Kid,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=668,,https://www.figurerealm.com/galleries/billandtedsexcellentadventure/thumb_BillyTheKid-Front.jpg,Vintage Kenner Bill and Ted item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bill and Ted's Excellent Adventure,Bill and Ted's Excellent Adventure,Vintage Bill and Ted,Kenner,1991,Basic Series,Genghis Khan,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&figure=genghiskhan&id=4698,https://www.figurerealm.com/galleries/billandtedsexcellentadventure/thumb_GenghisKhan1.jpg,https://www.figurerealm.com/galleries/billandtedsexcellentadventure/thumb_GenghisKhan-Front.jpg,Vintage Kenner Bill and Ted item sourced from Figure Realm. Both loose and packaged photos verified from the Figure Realm gallery.
Bill and Ted's Excellent Adventure,Bill and Ted's Excellent Adventure,Vintage Bill and Ted,Kenner,1991,Basic Series,Grim Reaper,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=668,,https://www.figurerealm.com/galleries/billandtedsexcellentadventure/thumb_GrimReaper-Front.jpg,Vintage Kenner Bill and Ted item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bill and Ted's Excellent Adventure,Bill and Ted's Excellent Adventure,Vintage Bill and Ted,Kenner,1991,Basic Series,Rufus,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=668,,https://www.figurerealm.com/galleries/billandtedsexcellentadventure/thumb_Rufus-Front.jpg,Vintage Kenner Bill and Ted item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bill and Ted's Excellent Adventure,Bill and Ted's Excellent Adventure,Vintage Bill and Ted,Kenner,1991,Basic Series,Ted "Theodore" Logan,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=668,,https://www.figurerealm.com/galleries/billandtedsexcellentadventure/thumb_Ted-Front.jpg,Vintage Kenner Bill and Ted item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
