franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Bionic Six,Bionic Six,Vintage Bionic Six,LJN,1986,Accessories,Bionic Dirt Bike,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=676,,https://www.figurerealm.com/galleries/bionicsix/thumb_BionicDirtBike-Front.jpg,Vintage LJN Bionic Six item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bionic Six,Bionic Six,Vintage Bionic Six,LJN,1986,Accessories,Bionic Quad Runner,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=676,,https://www.figurerealm.com/galleries/bionicsix/thumb_BionicQuadRunner-Front.jpg,Vintage LJN Bionic Six item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bionic Six,Bionic Six,Vintage Bionic Six,LJN,1986,Basic Series,Bunji,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&figure=bunji&id=4705,,https://www.figurerealm.com/galleries/bionicsix/thumb_Bunji-Front.jpg,Vintage LJN Bionic Six item sourced from Figure Realm. Packaged photo verified from Figure Realm gallery.
Bionic Six,Bionic Six,Vintage Bionic Six,LJN,1986,Basic Series,Chopper,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=676,,https://www.figurerealm.com/galleries/bionicsix/thumb_Chopper-Front.jpg,Vintage LJN Bionic Six item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bionic Six,Bionic Six,Vintage Bionic Six,LJN,1986,Basic Series,Dr. Scarab,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=676,,https://www.figurerealm.com/galleries/bionicsix/thumb_DrScarab-Front.jpg,Vintage LJN Bionic Six item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bionic Six,Bionic Six,Vintage Bionic Six,LJN,1986,Basic Series,Eric,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=676,,https://www.figurerealm.com/galleries/bionicsix/thumb_Eric-Front.jpg,Vintage LJN Bionic Six item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bionic Six,Bionic Six,Vintage Bionic Six,LJN,1986,Basic Series,F.L.U.F.F.I.,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=676,https://www.figurerealm.com/galleries/bionicsix/thumb_Fluffi1.jpg,https://www.figurerealm.com/galleries/bionicsix/thumb_Fluffi-Front.jpg,Vintage LJN Bionic Six item sourced from the Figure Realm checklist. Both loose and packaged photos verified from Figure Realm gallery.
Bionic Six,Bionic Six,Vintage Bionic Six,LJN,1986,Accessories,Flying Laser Throne,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=676,,https://www.figurerealm.com/galleries/bionicsix/thumb_FlyingLaserThrone-Front.jpg,Vintage LJN Bionic Six item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bionic Six,Bionic Six,Vintage Bionic Six,LJN,1986,Basic Series,Glove,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=676,,https://www.figurerealm.com/galleries/bionicsix/thumb_Glove-Front.jpg,Vintage LJN Bionic Six item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bionic Six,Bionic Six,Vintage Bionic Six,LJN,1986,Basic Series,Helen,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=676,,https://www.figurerealm.com/galleries/bionicsix/thumb_Helen-Front.jpg,Vintage LJN Bionic Six item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bionic Six,Bionic Six,Vintage Bionic Six,LJN,1986,Basic Series,J.D.,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&figure=jd&id=4710,,https://www.figurerealm.com/galleries/bionicsix/thumb_JD-Front.jpg,Vintage LJN Bionic Six item sourced from Figure Realm. Packaged photo verified from Figure Realm gallery; Figure Realm search snippet confirms a loose photo exists, but the loose image URL was not retrievable from this environment.
Bionic Six,Bionic Six,Vintage Bionic Six,LJN,1986,Basic Series,Jack,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=676,,https://www.figurerealm.com/galleries/bionicsix/thumb_Jack-Front.jpg,Vintage LJN Bionic Six item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bionic Six,Bionic Six,Vintage Bionic Six,LJN,1986,Basic Series,Klunk,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=676,,https://www.figurerealm.com/galleries/bionicsix/thumb_Klunk-Front.jpg,Vintage LJN Bionic Six item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bionic Six,Bionic Six,Vintage Bionic Six,LJN,1986,Accessories,Laser Aero Chair,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=676,,https://www.figurerealm.com/galleries/bionicsix/thumb_LaserAeroChair-Front.jpg,Vintage LJN Bionic Six item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bionic Six,Bionic Six,Vintage Bionic Six,LJN,1986,Accessories,M.U.L.E.S. Van,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=676,,https://www.figurerealm.com/galleries/bionicsix/thumb_MulesVan-Front.jpg,Vintage LJN Bionic Six item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bionic Six,Bionic Six,Vintage Bionic Six,LJN,1986,Basic Series,Madame O,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=676,,https://www.figurerealm.com/galleries/bionicsix/thumb_MadameO-Front.jpg,Vintage LJN Bionic Six item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bionic Six,Bionic Six,Vintage Bionic Six,LJN,1986,Basic Series,Mechanic,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=676,,https://www.figurerealm.com/galleries/bionicsix/thumb_Mechanic-Front.jpg,Vintage LJN Bionic Six item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bionic Six,Bionic Six,Vintage Bionic Six,LJN,1986,Basic Series,Meg,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=676,,https://www.figurerealm.com/galleries/bionicsix/thumb_Meg-Front.jpg,Vintage LJN Bionic Six item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Bionic Six,Bionic Six,Vintage Bionic Six,LJN,1986,Accessories,Secret Headquarters,playset,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=676,,https://www.figurerealm.com/galleries/bionicsix/thumb_SecretHeadquarters-Front.jpg,Vintage LJN Bionic Six item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
