franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Accessories,Battle Wagon,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=694,,https://www.figurerealm.com/galleries/blackstar/thumb_BattleWagon-Front.jpg,Vintage Galoob Blackstar item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Accessories,Ice Castle,playset,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=694,,https://www.figurerealm.com/galleries/blackstar/thumb_IceCastle-Front.jpg,Vintage Galoob Blackstar item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Accessories,Space Ship (Gray),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=694,,https://www.figurerealm.com/galleries/blackstar/thumb_SpaceShipGray-Front.jpg,Vintage Galoob Blackstar item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Accessories,Space Ship (Red),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=694,,https://www.figurerealm.com/galleries/blackstar/thumb_SpaceShipRed-Front.jpg,Vintage Galoob Blackstar item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Accessories,Triton Bull,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=694,,https://www.figurerealm.com/galleries/blackstar/thumb_TritonBull-Front.jpg,Vintage Galoob Blackstar item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Accessories,Trobbit Wind Machine,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=694,,https://www.figurerealm.com/galleries/blackstar/thumb_TrobbitWindMachine-Front.jpg,Vintage Galoob Blackstar item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Accessories,Warlock Dragon (Green),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=694,https://www.figurerealm.com/galleries/blackstar/thumb_WarlockDragonGreen1.jpg,https://www.figurerealm.com/galleries/blackstar/thumb_WarlockDragonGreen-Front.jpg,Vintage Galoob Blackstar item sourced from the Figure Realm checklist. Both loose and packaged photos verified from Figure Realm gallery.
Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Accessories,Warlock Dragon (Green / Yellow),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=694,,https://www.figurerealm.com/galleries/blackstar/thumb_WarlockDragonGreenYellow-Front.jpg,Vintage Galoob Blackstar item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Basic Series,Blackstar,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=694,https://www.figurerealm.com/galleries/blackstar/thumb_Blackstar1.jpg,,Vintage Galoob Blackstar item sourced from the Figure Realm checklist. Loose photo verified from Figure Realm gallery.
Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Basic Series,Gargo,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=694,https://www.figurerealm.com/galleries/blackstar/thumb_Gargo1.jpg,https://www.figurerealm.com/galleries/blackstar/thumb_Gargo-Front.jpg,Vintage Galoob Blackstar item sourced from the Figure Realm checklist. Both loose and packaged photos verified from Figure Realm gallery.
Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Basic Series,Kadray,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=694,https://www.figurerealm.com/galleries/blackstar/thumb_Kadray1.jpg,https://www.figurerealm.com/galleries/blackstar/thumb_Kadray-Front.jpg,Vintage Galoob Blackstar item sourced from the Figure Realm checklist. Both loose and packaged photos verified from Figure Realm gallery.
Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Basic Series,Mara,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=694,https://www.figurerealm.com/galleries/blackstar/thumb_Mara1.jpg,https://www.figurerealm.com/galleries/blackstar/thumb_Mara-Front.jpg,Vintage Galoob Blackstar item sourced from the Figure Realm checklist. Both loose and packaged photos verified from Figure Realm gallery.
Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Basic Series,Neptul,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=694,https://www.figurerealm.com/galleries/blackstar/thumb_Neptul1.jpg,https://www.figurerealm.com/galleries/blackstar/thumb_Neptul-Front.jpg,Vintage Galoob Blackstar item sourced from the Figure Realm checklist. Both loose and packaged photos verified from Figure Realm gallery.
Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Basic Series,Overlord,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=694,,https://www.figurerealm.com/galleries/blackstar/thumb_Overlord-Front.jpg,Vintage Galoob Blackstar item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Basic Series,Palace Guard,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=694,,https://www.figurerealm.com/galleries/blackstar/thumb_PalaceGuard-Front.jpg,Vintage Galoob Blackstar item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Basic Series,Tongo,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=694,https://www.figurerealm.com/galleries/blackstar/thumb_Tongo1.jpg,https://www.figurerealm.com/galleries/blackstar/thumb_Tongo-Front.jpg,Vintage Galoob Blackstar item sourced from the Figure Realm checklist. Both loose and packaged photos verified from Figure Realm gallery.
Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Basic Series,Trobbit: Balkar,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=694,,https://www.figurerealm.com/galleries/blackstar/thumb_TrobbitBalkar-Front.jpg,Vintage Galoob Blackstar item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Basic Series,Trobbit: Carpo,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=694,,https://www.figurerealm.com/galleries/blackstar/thumb_TrobbitCarpo-Front.jpg,Vintage Galoob Blackstar item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Basic Series,Trobbit: Gossamear,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=694,,https://www.figurerealm.com/galleries/blackstar/thumb_TrobbitGossamear-Front.jpg,Vintage Galoob Blackstar item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
Blackstar,Blackstar,Vintage Blackstar,Galoob,1983,Basic Series,Trobbit: Paulo,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=seriesitemlist&id=694,,https://www.figurerealm.com/galleries/blackstar/thumb_TrobbitPaulo-Front.jpg,Vintage Galoob Blackstar item sourced from the Figure Realm checklist. Packaged photo verified from Figure Realm gallery.
