franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,2-Packs,BraveStarr and Thirty/Thirty,multi-pack,Toyzinger; Figure Realm,https://toyzinger.com/en/bravestarr/checklist-bravestarr/bravestarr-and-thirty-thirty/,https://image.toyzinger.com/bravestarr-marshal-thirty-thirty-pack.webp,https://image.toyzinger.com/bravestarr-marshal-thirty-thirty-pack-box.webp,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source: Toyzinger detail page.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,2-Packs,Laser-Fire BraveStarr & Tex Hex,multi-pack,Toyzinger; Figure Realm,https://toyzinger.com/en/bravestarr/checklist-bravestarr/laser-fire-bravestarr-tex-hex/,https://image.toyzinger.com/bravestarr-laser-fire-tex-hex-complete.webp,https://image.toyzinger.com/bravestarr-laser-fire-pack-box.webp,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source: Toyzinger detail page.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Accessories,Evil Laser-Fire Backpack,accessory,Toyzinger; Figure Realm,https://toyzinger.com/en/bravestarr/checklist-bravestarr/evil-laser-fire-backpack/,https://image.toyzinger.com/bravestarr-laser-fire-diana.webp,https://image.toyzinger.com/bravestarr-evil-laser-fire-backpack-box.webp,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source: Toyzinger detail page.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Accessories,Fort Kerium - Bank & Jail,playset,Toyzinger; Figure Realm,https://toyzinger.com/en/bravestarr/checklist-bravestarr/bank-jail/,https://image.toyzinger.com/bravestarr-bank-and-jail-fort-kerium-pack.webp,https://image.toyzinger.com/bravestarr-bank-and-jail-fort-kerium-box.webp,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source: Toyzinger detail page.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Accessories,Fort Kerium - Command Center,playset,Toyzinger; Figure Realm,https://toyzinger.com/en/bravestarr/checklist-bravestarr/command-center/,https://image.toyzinger.com/bravestarr-command-center-fort-kerium-instructions.webp,https://image.toyzinger.com/bravestarr-command-center-fort-kerium-box.webp,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source: Toyzinger detail page.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Accessories,Fort Kerium - Command Center (with Bank & Jail),playset,Toyzinger; Figure Realm,https://toyzinger.com/en/bravestarr/checklist-bravestarr/fort-kerium/,https://image.toyzinger.com/bravestarr-bank-and-jail-fort-kerium-pack.webp,https://image.toyzinger.com/bravestarr-fort-kerium-box.webp,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source: Toyzinger detail page.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Accessories,Heroic Laser-Fire Backpack,accessory,Toyzinger; Figure Realm,https://toyzinger.com/en/bravestarr/checklist-bravestarr/heroic-laser-fire-backpack/,https://image.toyzinger.com/bravestarr-laser-fire-diana.webp,https://image.toyzinger.com/bravestarr-heroic-laser-fire-backpack-box.webp,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source: Toyzinger detail page.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Accessories,Stratocoach,vehicle,Toyzinger; Figure Realm,https://toyzinger.com/en/bravestarr/checklist-bravestarr/stratocoach/,https://image.toyzinger.com/bravestarr-stratocoach-bottom.webp,https://image.toyzinger.com/bravestarr-stratocoach-box.webp,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source: Toyzinger detail page.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Accessories,Skull Walker,vehicle,Toyzinger; Access import,https://toyzinger.com/en/bravestarr/checklist-bravestarr/,,,Vintage Mattel BraveStarr vehicle retained from legacy Access inventory; source-specific detail page still needs verification.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Accessories,Thirty/Thirty Robotic Stallion,vehicle,Toyzinger; Figure Realm,https://toyzinger.com/en/bravestarr/checklist-bravestarr/thirty-thirty/,https://image.toyzinger.com/bravestarr-vintage-thirty-thirty-accesories.webp,https://image.toyzinger.com/bravestarr-vintage-thirty-thirty-box.webp,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source: Toyzinger detail page.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Basic Series,Col. Borobot,figure,Toyzinger; Figure Realm,https://toyzinger.com/en/bravestarr/checklist-bravestarr/col-borobot/,https://image.toyzinger.com/bravestarr-colection-col-borobot-vehicle.webp,https://image.toyzinger.com/bravestarr-colection-col-borobot-box.webp,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source: Toyzinger detail page.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Basic Series,Deputy Fuzz,figure,Toyzinger; Figure Realm,https://toyzinger.com/en/bravestarr/checklist-bravestarr/deputy-fuzz/,https://image.toyzinger.com/bravestarr-vintage-collection-deputy-fuzz-figure.webp,https://image.toyzinger.com/bravestarr-vintage-collection-deputy-fuzz-box.webp,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source: Toyzinger detail page.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Basic Series,Handle Bar,figure,Toyzinger; Figure Realm,https://toyzinger.com/en/bravestarr/checklist-bravestarr/handle-bar/,https://image.toyzinger.com/bravestarr-vintage-collection-handle-bar-accesories.webp,https://image.toyzinger.com/bravestarr-vintage-collection-handle-bar-box.webp,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source: Toyzinger detail page.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Basic Series,Marshal BraveStarr,figure,Toyzinger; Figure Realm,https://toyzinger.com/en/bravestarr/checklist-bravestarr/marshal-bravestarr/,https://image.toyzinger.com/bravestarr-marshal-vintage-collection-complete.webp,https://image.toyzinger.com/bravestarr-marshal-vintage-collection-box.webp,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source: Toyzinger detail page.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Basic Series,Outlaw Skuzz,figure,Toyzinger; Figure Realm,https://toyzinger.com/en/bravestarr/checklist-bravestarr/outlaw-skuzz/,https://image.toyzinger.com/bravestarr-vintage-collection-outlaw-scuzz-back.webp,https://image.toyzinger.com/bravestarr-vintage-collection-outlaw-scuzz-box.webp,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source: Toyzinger detail page.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Basic Series,Sand Storm,figure,Toyzinger; Figure Realm,https://toyzinger.com/en/bravestarr/checklist-bravestarr/sand-storm/,https://image.toyzinger.com/bravestarr-vintage-collection-sand-storm-accesories.webp,https://image.toyzinger.com/bravestarr-vintage-collection-sand-storm-box.webp,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source: Toyzinger detail page.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Basic Series,Tex Hex,figure,Toyzinger; Figure Realm,https://toyzinger.com/en/bravestarr/checklist-bravestarr/tex-hex/,https://image.toyzinger.com/bravestarr-vintage-collection-tex-malone-back.webp,https://image.toyzinger.com/bravestarr-vintage-collection-tex-malone-box.webp,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source: Toyzinger detail page.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Basic Series,Thunder Stick,figure,Toyzinger; Figure Realm,https://toyzinger.com/en/bravestarr/checklist-bravestarr/thunder-stick/,https://image.toyzinger.com/bravestarr-vintage-thunder-stick-mask.webp,https://image.toyzinger.com/bravestarr-vintage-thunder-stick-box.webp,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source: Toyzinger detail page.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Role Play,Laser-Fire BraveStarr,figure,Toyzinger; Figure Realm,https://toyzinger.com/en/bravestarr/checklist-bravestarr/laser-fire-bravestarr/,https://image.toyzinger.com/bravestarr-laser-fire-marshal.webp,https://image.toyzinger.com/bravestarr-laser-fire-marshal-box.webp,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source: Toyzinger detail page.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Role Play,Laser-Fire Tex Hex,figure,Toyzinger; Figure Realm,https://toyzinger.com/en/bravestarr/checklist-bravestarr/laser-fire-tex-hex/,https://image.toyzinger.com/bravestarr-laser-fire-tex-hex-figure.webp,https://image.toyzinger.com/bravestarr-laser-fire-tex-hex-box.webp,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source: Toyzinger detail page.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Role Play,Marshal Cassette,role-play,Toyzinger; Figure Realm,https://toyzinger.com/en/bravestarr/checklist-bravestarr/marshall-casette/,,https://image.toyzinger.com/bravestarr-marshall-with-tape-casette-france.webp,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source: Toyzinger detail page.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Role Play,Neutra-Laser,role-play,Toyzinger; Figure Realm,https://toyzinger.com/en/bravestarr/checklist-bravestarr/neutra-laser/,https://image.toyzinger.com/bravestarr-neutra-laser-box-complete.webp,https://image.toyzinger.com/bravestarr-neutra-laser-box.webp,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source: Toyzinger detail page.
BraveStarr,BraveStarr,Vintage BraveStarr,Mattel,1986,Role Play,Sheriff's Badge,role-play,Figure Realm,https://figure.figurerealm.com/actionfigure?action=seriesitemlist&id=801,,,Vintage Mattel BraveStarr item sourced from Figure Realm checklist. Photo source not yet verified.
