franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Basic Series,A.F.C. Blinky,figure,Bucky O'Hare Fan Site; Figure Realm,http://buckyohare.org/toys.shtml,http://buckyohare.org/merch/toys/blinky1.jpg,http://buckyohare.org/merch/toys/blinky1.jpg,Vintage Hasbro Bucky O'Hare item sourced from the Bucky O'Hare fan site checklist and Figure Realm packaged gallery.
Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Basic Series,Al Negator,figure,Bucky O'Hare Fan Site; Figure Realm,http://buckyohare.org/toys.shtml,http://buckyohare.org/merch/toys/negator1.jpg,http://buckyohare.org/merch/toys/negator1.jpg,Vintage Hasbro Bucky O'Hare item sourced from the Bucky O'Hare fan site checklist and Figure Realm packaged gallery.
Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Basic Series,Bruiser,figure,Bucky O'Hare Fan Site; Figure Realm,http://buckyohare.org/toys.shtml,http://buckyohare.org/merch/toys/bruiser1.jpg,http://buckyohare.org/merch/toys/bruiser1.jpg,Vintage Hasbro Bucky O'Hare item sourced from the Bucky O'Hare fan site checklist and Figure Realm packaged gallery.
Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Basic Series,Bucky O'Hare,figure,Bucky O'Hare Fan Site,http://buckyohare.org/toys.shtml,http://buckyohare.org/merch/toys/bucky1.jpg,,Vintage Hasbro Bucky O'Hare item sourced from the Bucky O'Hare fan site checklist. Loose photo verified from the fan site; packaged photo not yet verified.
Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Basic Series,Commander Dogstar,figure,Bucky O'Hare Fan Site; Figure Realm,http://buckyohare.org/toys.shtml,http://buckyohare.org/merch/toys/dogstar1.jpg,http://buckyohare.org/merch/toys/dogstar1.jpg,Vintage Hasbro Bucky O'Hare item sourced from the Bucky O'Hare fan site checklist and Figure Realm packaged gallery.
Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Basic Series,Dead-Eye Duck,figure,Bucky O'Hare Fan Site; Figure Realm,http://buckyohare.org/toys.shtml,http://buckyohare.org/merch/toys/deadeye1.jpg,http://buckyohare.org/merch/toys/deadeye1.jpg,Vintage Hasbro Bucky O'Hare item sourced from the Bucky O'Hare fan site checklist and Figure Realm packaged gallery.
Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Basic Series,Storm Toad Trooper,figure,Bucky O'Hare Fan Site; Figure Realm,http://buckyohare.org/toys.shtml,http://buckyohare.org/merch/toys/storm1.jpg,,Vintage Hasbro Bucky O'Hare item sourced from the Bucky O'Hare fan site checklist. Loose photo verified from the fan site; packaged photo not yet verified from an accessible source.
Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Basic Series,Toad Air Marshall,figure,Bucky O'Hare Fan Site; Figure Realm,http://buckyohare.org/toys.shtml,http://buckyohare.org/merch/toys/marshal1.jpg,http://buckyohare.org/merch/toys/marshal1.jpg,Vintage Hasbro Bucky O'Hare item sourced from the Bucky O'Hare fan site checklist and Figure Realm packaged gallery.
Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Vehicles,Toad Croaker,vehicle,Bucky O'Hare Fan Site; Figure Realm,http://buckyohare.org/toys.shtml,http://buckyohare.org/merch/toys/croaker1.jpg,http://buckyohare.org/merch/toys/croaker1.jpg,Vintage Hasbro Bucky O'Hare item sourced from the Bucky O'Hare fan site checklist and Figure Realm packaged gallery.
Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Vehicles,Toad Double Bubble,vehicle,Bucky O'Hare Fan Site; Figure Realm,http://buckyohare.org/toys.shtml,http://buckyohare.org/merch/toys/bubble1.jpg,http://buckyohare.org/merch/toys/bubble1.jpg,Vintage Hasbro Bucky O'Hare item sourced from the Bucky O'Hare fan site checklist and Figure Realm packaged gallery.
Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Basic Series,Toadborg,figure,Bucky O'Hare Fan Site; Figure Realm,http://buckyohare.org/toys.shtml,http://buckyohare.org/merch/toys/toadborg1.jpg,http://buckyohare.org/merch/toys/toadborg1.jpg,Vintage Hasbro Bucky O'Hare item sourced from the Bucky O'Hare fan site checklist and Figure Realm packaged gallery.
Bucky O'Hare,Bucky O'Hare,Vintage Bucky O'Hare,Hasbro,1990,Basic Series,Willy DuWitt,figure,Bucky O'Hare Fan Site; Figure Realm,http://buckyohare.org/toys.shtml,http://buckyohare.org/merch/toys/willy1.jpg,http://buckyohare.org/merch/toys/willy1.jpg,Vintage Hasbro Bucky O'Hare item sourced from the Bucky O'Hare fan site checklist and Figure Realm packaged gallery.
