franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Captain Planet,Captain Planet,Vintage Captain Planet - Captain Planet Variants,Tiger Toys,1991,Wave 1,Captain Planet (All American),figure,Toyzinger,https://toyzinger.com/en/captain-planet/checklist-captain-planet/captain-planet-flying/,https://image.toyzinger.com/captain-planet-figure-all-american-loose.jpg,https://image.toyzinger.com/captain-planet-figure-all-american-carded.jpg,Captain Planet checklist and photos sourced from Toyzinger.
Captain Planet,Captain Planet,Vintage Captain Planet - Captain Planet Variants,Tiger Toys,1991,Wave 1,Captain Planet (Arctic),figure,Toyzinger,https://toyzinger.com/en/captain-planet/checklist-captain-planet/captain-planet-artic/,,https://image.toyzinger.com/captain-planet-figure-artic-moc.jpg,Captain Planet checklist and photos sourced from Toyzinger.
Captain Planet,Captain Planet,Vintage Captain Planet - Captain Planet Variants,Tiger Toys,1991,Wave 1,Captain Planet (Exploding Meteor),figure,Toyzinger,https://toyzinger.com/en/captain-planet/checklist-captain-planet/captain-planet-meteor/,https://image.toyzinger.com/captain-planet-figure-meteor-complete.jpg,https://image.toyzinger.com/captain-planet-figure-meteor-moc.jpg,Captain Planet checklist and photos sourced from Toyzinger.
Captain Planet,Captain Planet,Vintage Captain Planet - Captain Planet Variants,Tiger Toys,1991,Wave 1,Captain Planet (Flying),figure,Toyzinger,https://toyzinger.com/en/captain-planet/checklist-captain-planet/captain-planet-flying-2/,https://image.toyzinger.com/captain-planet-figure-flying-open.jpg,https://image.toyzinger.com/captain-planet-figure-flying-moc.jpg,Captain Planet checklist and photos sourced from Toyzinger.
Captain Planet,Captain Planet,Vintage Captain Planet - Captain Planet Variants,Tiger Toys,1991,Wave 1,Captain Planet (Light and Thunder),figure,Toyzinger,https://toyzinger.com/en/captain-planet/checklist-captain-planet/captain-planet-lightnight-and-thunder/,https://image.toyzinger.com/captain-planet-figure-light-thunder-open.jpg,https://image.toyzinger.com/captain-planet-figure-light-thunder-carded.jpg,Captain Planet checklist and photos sourced from Toyzinger.
Captain Planet,Captain Planet,Vintage Captain Planet - Captain Planet Variants,Tiger Toys,1991,Wave 1,Captain Planet (Pollution Armor),figure,Toyzinger,https://toyzinger.com/en/captain-planet/checklist-captain-planet/captain-planet-pollution-armor/,,https://image.toyzinger.com/captain-planet-figure-pollution-armor-moc.jpg,Captain Planet checklist and photos sourced from Toyzinger.
Captain Planet,Captain Planet,Vintage Captain Planet - Captain Planet Variants,Tiger Toys,1991,Wave 1,Captain Planet (Power Commands),figure,Toyzinger,https://toyzinger.com/en/captain-planet/checklist-captain-planet/captain-planet-power-commands/,https://image.toyzinger.com/captain-planet-figure-power-commands-open.jpg,https://image.toyzinger.com/captain-planet-figure-power-commands-moc.jpg,Captain Planet checklist and photos sourced from Toyzinger.
Captain Planet,Captain Planet,Vintage Captain Planet - Captain Planet Variants,Tiger Toys,1991,Wave 1,Captain Planet (Tornado),figure,Toyzinger,https://toyzinger.com/en/captain-planet/checklist-captain-planet/captain-planet-tornado/,https://image.toyzinger.com/captain-planet-figure-tornado-accesories.jpg,https://image.toyzinger.com/captain-planet-figure-tornado-carded.jpg,Captain Planet checklist and photos sourced from Toyzinger.
Captain Planet,Captain Planet,Vintage Captain Planet - Captain Planet Variants,Tiger Toys,1991,Wave 1,Captain Planet (Color Change),figure,Toyzinger,https://toyzinger.com/en/captain-planet/checklist-captain-planet/captain-planet-toxic-grime/,https://image.toyzinger.com/captain-planet-figure-toxic-color-change-open.jpg,https://image.toyzinger.com/captain-planet-figure-toxic-color-change-moc.jpg,Captain Planet checklist and photos sourced from Toyzinger.
Captain Planet,Captain Planet,Vintage Captain Planet - Captain Planet Variants,Tiger Toys,1994,Wave 4,Captain Planet (Firestorm),figure,Toyzinger,https://toyzinger.com/en/captain-planet/checklist-captain-planet/captain-planet-firestorm/,,https://image.toyzinger.com/captain-planet-firestorm-carded.jpg,Captain Planet checklist and photos sourced from Toyzinger.
