franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Care Bears,Care Bears,Vintage Care Bears - Poseable Figures,Kenner,1982,1982 Assortment,Bedtime Bear,figure,Wharble,https://wharble.com/Poseable_Care_Bears.htm,https://wharble.com/sites/default/files/Poseable_Bedtime_Bear.jpg,,Vintage Kenner poseable Care Bear figure documented by Wharble.
Care Bears,Care Bears,Vintage Care Bears - Poseable Figures,Kenner,1982,1982 Assortment,Birthday Bear,figure,Wharble,https://wharble.com/Poseable_Care_Bears.htm,https://wharble.com/sites/default/files/Poseable_Birthday_Bear.jpg,,Vintage Kenner poseable Care Bear figure documented by Wharble.
Care Bears,Care Bears,Vintage Care Bears - Poseable Figures,Kenner,1982,1982 Assortment,Cheer Bear,figure,Wharble,https://wharble.com/Poseable_Care_Bears.htm,https://wharble.com/sites/default/files/Poseable_Cheer_Bear.jpg,,Vintage Kenner poseable Care Bear figure documented by Wharble.
Care Bears,Care Bears,Vintage Care Bears - Poseable Figures,Kenner,1982,1982 Assortment,Friend Bear,figure,Wharble,https://wharble.com/Poseable_Care_Bears.htm,https://wharble.com/sites/default/files/Poseable_Friend_Bear.jpg,,Vintage Kenner poseable Care Bear figure documented by Wharble.
Care Bears,Care Bears,Vintage Care Bears - Poseable Figures,Kenner,1982,1982 Assortment,Funshine Bear,figure,Wharble,https://wharble.com/Poseable_Care_Bears.htm,https://wharble.com/sites/default/files/Poseable_Funshine_Bear.jpg,,Vintage Kenner poseable Care Bear figure documented by Wharble.
Care Bears,Care Bears,Vintage Care Bears - Poseable Figures,Kenner,1982,1982 Assortment,Good Luck Bear,figure,Wharble,https://wharble.com/Poseable_Care_Bears.htm,https://wharble.com/sites/default/files/Poseable_Good_Luck_Bear.jpg,,Vintage Kenner poseable Care Bear figure documented by Wharble.
Care Bears,Care Bears,Vintage Care Bears - Poseable Figures,Kenner,1982,1982 Assortment,Grumpy Bear,figure,Wharble,https://wharble.com/Poseable_Care_Bears.htm,https://wharble.com/sites/default/files/Poseable_Grumpy_Bear.jpg,,Vintage Kenner poseable Care Bear figure documented by Wharble.
Care Bears,Care Bears,Vintage Care Bears - Poseable Figures,Kenner,1982,1982 Assortment,Love-a-Lot Bear,figure,Wharble,https://wharble.com/Poseable_Care_Bears.htm,https://wharble.com/sites/default/files/Poseable_Love-A-Lot_Bear.jpg,,Vintage Kenner poseable Care Bear figure documented by Wharble.
Care Bears,Care Bears,Vintage Care Bears - Poseable Figures,Kenner,1982,1982 Assortment,Tenderheart Bear,figure,Wharble,https://wharble.com/Poseable_Care_Bears.htm,https://wharble.com/sites/default/files/Poseable_Tenderheart_Bear.jpg,,Vintage Kenner poseable Care Bear figure documented by Wharble.
Care Bears,Care Bears,Vintage Care Bears - Poseable Figures,Kenner,1982,1982 Assortment,Wish Bear,figure,Wharble,https://wharble.com/Poseable_Care_Bears.htm,https://wharble.com/sites/default/files/Poseable_Wish_Bear.jpg,,Vintage Kenner poseable Care Bear figure documented by Wharble.
