franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Centurions,Centurions,Centurions Power Xtreme,Kenner,1986,Wave 1,Ace McCloud with Sky Knight,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/965-x,https://6533-43952.el-alt.com/images/items/The-Centurions-Power-Xtreme-Ace-McCloud-Air-Operations-Expert-and-Sky-Knight-Assault-Weapon-System-1986-Kenner-Action-Figure.jpg,,Vintage Kenner Centurions figure documented by Wheeljack's Lab as Ace McCloud with the Sky Knight Assault Weapon System.
Centurions,Centurions,Centurions Power Xtreme,Kenner,1986,Wave 1,Doc Terror,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/966-x,https://6533-43952.el-alt.com/images/items/The-Centurions-Power-Xtreme-Doc-Terror-1986-Kenner-Action-Figure.jpg,,Vintage Kenner Centurions villain figure documented by Wheeljack's Lab.
Centurions,Centurions,Centurions Power Xtreme,Kenner,1986,Wave 1,Doom Drone Strafer,vehicle,Wheeljack's Lab,https://wheeljackslab.com/toys/968-x,https://6533-43952.el-alt.com/images/items/The-Centurions-Power-Xtreme-Doom-Drone-Strafer-1986-Kenner-Vehicle.jpg,,Vintage Kenner Centurions vehicle documented by Wheeljack's Lab.
Centurions,Centurions,Centurions Power Xtreme,Kenner,1986,Wave 1,Doom Drone Traumatizer,vehicle,Wheeljack's Lab,https://wheeljackslab.com/toys/967-x,https://6533-43952.el-alt.com/images/items/The-Centurions-Power-Xtreme-Doom-Drone-Traumatizer-1986-Kenner-Vehicle.jpg,,Vintage Kenner Centurions vehicle documented by Wheeljack's Lab.
Centurions,Centurions,Centurions Power Xtreme,Kenner,1986,Wave 1,Hacker,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/969-x,https://6533-43952.el-alt.com/images/items/The-Centurions-Power-Xtreme-Hacker-1986-Kenner-Action-Figure.jpg,,Vintage Kenner Centurions villain figure documented by Wheeljack's Lab.
Centurions,Centurions,Centurions Power Xtreme,Kenner,1986,Wave 1,Jake Rockwell with Fireforce,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/970-x,https://6533-43952.el-alt.com/images/items/The-Centurions-Power-Xtreme-Jake-Rockwell-Land-Operations-Expert-and-Fireforce-Assault-Weapon-System-1986-Kenner-Action-Figure.jpg,,Vintage Kenner Centurions figure documented by Wheeljack's Lab as Jake Rockwell with the Fireforce Assault Weapon System.
Centurions,Centurions,Centurions Power Xtreme,Kenner,1986,Wave 1,Max Ray with Cruiser,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/971-x,https://6533-43952.el-alt.com/images/items/The-Centurions-Power-Xtreme-Max-Ray-Sea-Operations-Expert-and-Cruiser-Assault-Weapon-System-1986-Kenner-Action-Figure.jpg,,Vintage Kenner Centurions figure documented by Wheeljack's Lab as Max Ray with the Cruiser Assault Weapon System.
Centurions,Centurions,Centurions Power Xtreme,Kenner,1986,Wave 1,Depth Charger,vehicle,Wheeljack's Lab,https://wheeljackslab.com/toys/972-x,https://6533-43952.el-alt.com/images/items/The-Centurions-Power-Xtreme-Depth-Charger-Sea-Assault-Weapon-System-1986-Kenner-Assault-Weapon-System.jpg,,Vintage Kenner Centurions assault weapon system documented by Wheeljack's Lab.
Centurions,Centurions,Centurions Power Xtreme,Kenner,1986,Wave 1,Detonator,vehicle,Wheeljack's Lab,https://wheeljackslab.com/toys/974-x,https://6533-43952.el-alt.com/images/items/The-Centurions-Power-Xtreme-Detonator-Land-Assault-Weapon-System-1986-Kenner-Assault-Weapon-System.jpg,,Vintage Kenner Centurions assault weapon system documented by Wheeljack's Lab.
Centurions,Centurions,Centurions Power Xtreme,Kenner,1986,Wave 1,Hornet,vehicle,Wheeljack's Lab,https://wheeljackslab.com/toys/976-x,https://6533-43952.el-alt.com/images/items/The-Centurions-Power-Xtreme-Hornet-Land-Assault-Weapon-System-1986-Kenner-Assault-Weapon-System.jpg,,Vintage Kenner Centurions assault weapon system documented by Wheeljack's Lab.
