franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Barbie,Barbie,Barbie,Mattel,1950,Licensed Products,AMC Barbie Car,vehicle,Collectables Access DB,,,,Imported from C:/Collectables/Collectables.accdb. Web source mapping pending for this set.
World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,Mego,1972,World's Greatest Super Heros,12 inch: Batman,figure,Collectables Access DB,,,,Imported from C:/Collectables/Collectables.accdb. Web source mapping pending for this set.
World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,Mego,1972,World's Greatest Super Heros,12 inch: Captain America,figure,Collectables Access DB,,,,Imported from C:/Collectables/Collectables.accdb. Web source mapping pending for this set.
World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,Mego,1972,World's Greatest Super Heros,12 inch: General Zodd,figure,Collectables Access DB,,,,Imported from C:/Collectables/Collectables.accdb. Web source mapping pending for this set.
World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,Mego,1972,World's Greatest Super Heros,12 inch: Hulk,figure,Collectables Access DB,,,,Imported from C:/Collectables/Collectables.accdb. Web source mapping pending for this set.
World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,Mego,1972,World's Greatest Super Heros,12 inch: Jor-el,figure,Collectables Access DB,,,,Imported from C:/Collectables/Collectables.accdb. Web source mapping pending for this set.
World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,Mego,1972,World's Greatest Super Heros,12 inch: Lex Luthor,figure,Collectables Access DB,,,,Imported from C:/Collectables/Collectables.accdb. Web source mapping pending for this set.
World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,Mego,1972,World's Greatest Super Heros,12 inch: Nubia,figure,Collectables Access DB,,,,Imported from C:/Collectables/Collectables.accdb. Web source mapping pending for this set.
World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,Mego,1972,World's Greatest Super Heros,12 inch: Queen Hippolyte,figure,Collectables Access DB,,,,Imported from C:/Collectables/Collectables.accdb. Web source mapping pending for this set.
World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,Mego,1972,World's Greatest Super Heros,12 inch: Robin,figure,Collectables Access DB,,,,Imported from C:/Collectables/Collectables.accdb. Web source mapping pending for this set.
World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,Mego,1972,World's Greatest Super Heros,12 inch: Spiderman,figure,Collectables Access DB,,,,Imported from C:/Collectables/Collectables.accdb. Web source mapping pending for this set.
World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,Mego,1972,World's Greatest Super Heros,12 inch: Steve Trevor,figure,Collectables Access DB,,,,Imported from C:/Collectables/Collectables.accdb. Web source mapping pending for this set.
World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,Mego,1972,World's Greatest Super Heros,12 inch: Superman,figure,Collectables Access DB,,,,Imported from C:/Collectables/Collectables.accdb. Web source mapping pending for this set.
World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,Mego,1972,World's Greatest Super Heros,12 inch: Superman (Movie Box),figure,Collectables Access DB,,,,Imported from C:/Collectables/Collectables.accdb. Web source mapping pending for this set.
World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,Mego,1972,World's Greatest Super Heros,12 inch: Wonderwoman,figure,Collectables Access DB,,,,Imported from C:/Collectables/Collectables.accdb. Web source mapping pending for this set.
World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,Mego,1972,World's Greatest Super Heros,12 inch: Wonderwoman (TV Box),figure,Collectables Access DB,,,,Imported from C:/Collectables/Collectables.accdb. Web source mapping pending for this set.
World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,Mego,1972,World's Greatest Super Heros,Americar,vehicle,Collectables Access DB,,,,Imported from C:/Collectables/Collectables.accdb. Web source mapping pending for this set.
World's Greatest Super Heroes,World's Greatest Super Heroes,World's Greatest Super Heroes,Mego,1972,World's Greatest Super Heros,Aqualad,figure,Collectables Access DB,,,,Imported from C:/Collectables/Collectables.accdb. Web source mapping pending for this set.
