Item,ReleaseType,WaveName,ReleaseYear,ProductLine,PropertyName,Manufacturer
AMC Barbie Car,Vehicle,Licensed Products,1950,Barbie,Barbie,Mattel
12 inch: Batman,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
12 inch: Captain America,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
12 inch: General Zodd,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
12 inch: Hulk,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
12 inch: Jor-el,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
12 inch: Lex Luthor,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
12 inch: Nubia,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
12 inch: Queen Hippolyte,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
12 inch: Robin,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
12 inch: Spiderman,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
12 inch: Steve Trevor,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
12 inch: Superman,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
12 inch: Superman (Movie Box),Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
12 inch: Wonderwoman,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
12 inch: Wonderwoman (TV Box),Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Americar,Vehicle,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Aqualad,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Aquaman,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Aquaman Vs. the Great White Shark,Accessory,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Bat Cave,Playset,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Batcopter,Vehicle,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Batcycle,Vehicle,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Batgirl,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Batman (Non-Removable Cowl),Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Batman (Removable Cowl),Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Batmobile,Vehicle,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Bruce Wayne,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Captain America,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Carrying Case,Accessory,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Catwoman,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Clark Kent,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Command Console,Role Play,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Conan,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Dick Grayson,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Exploding Bridge,Playset,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Falcon,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Green Arrow,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Green Arrowcar,Vehicle,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Green Goblin,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Hall of Justice,Playset,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Hulk,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Human Torch,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Invisible Girl,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Iron Man,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Isis,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Joker,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Jokermobile,Vehicle,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Kid Flash,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Lizard,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Mobile Batlab,Vehicle,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Mr. Fantastic,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Mr. Mxyzptlk,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Penguin,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Peter Parker,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Riddler,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Robin (Non-Removable Mask),Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Robin (Removable Mask),Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Sears Exclusive: Incredible Hulk Hide-A-Way Playcase,Playset,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Shazam,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Speedy,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Spider Car,Vehicle,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Spiderman,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Supergirl,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Superman,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Supervator,Accessory,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Tarzan,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
The Thing,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Thor,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Wayne Foundation,Playset,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Wondergirl,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Wonderwoman,Figure,World's Greatest Super Heros,1972,World's Greatest Superheros,World's Greatest Super Heros,Mego
Captain Kirk,Figure,Wave 1,1974,Star Trek,Star Trek,Mego
Doctor McCoy,Figure,Wave 1,1974,Star Trek,Star Trek,Mego
Klingon,Figure,Wave 1,1974,Star Trek,Star Trek,Mego
Mr. Scott,Figure,Wave 1,1974,Star Trek,Star Trek,Mego
Mr. Spock,Figure,Wave 1,1974,Star Trek,Star Trek,Mego
USS Enterprise Action Playset,Playset,Wave 1,1974,Star Trek,Star Trek,Mego
Cheron,Figure,Wave 2,1975,Star Trek,Star Trek,Mego
Gorn,Figure,Wave 2,1975,Star Trek,Star Trek,Mego
Keeper,Figure,Wave 2,1975,Star Trek,Star Trek,Mego
Lt. Uhura,Figure,Wave 2,1975,Star Trek,Star Trek,Mego
Neptunian,Figure,Wave 2,1975,Star Trek,Star Trek,Mego
Hypnos,Figure,Pulsar,1976,Pulsar,Pulsar,Mattel
Life Systems Center,Playset,Pulsar,1976,Pulsar,Pulsar,Mattel
Pulsar,Figure,Pulsar,1976,Pulsar,Pulsar,Mattel
Acroyear (Blue),Figure,Wave 1,1976,Vintage Micronauts,Micronauts,Mego
Acroyear (Red),Figure,Wave 1,1976,Vintage Micronauts,Micronauts,Mego
Acroyear (Yellow),Figure,Wave 1,1976,Vintage Micronauts,Micronauts,Mego
Astro Station,Vehicle,Wave 1,1976,Vintage Micronauts,Micronauts,Mego
Biotron,Vehicle,Wave 1,1976,Vintage Micronauts,Micronauts,Mego
Crater Cruncher,Vehicle,Wave 1,1976,Vintage Micronauts,Micronauts,Mego
Galactic Cruiser,Vehicle,Wave 1,1976,Vintage Micronauts,Micronauts,Mego
Galactic Warrior (Blue),Figure,Wave 1,1976,Vintage Micronauts,Micronauts,Mego
Galactic Warrior (Green),Figure,Wave 1,1976,Vintage Micronauts,Micronauts,Mego
Galactic Warrior (Red),Figure,Wave 1,1976,Vintage Micronauts,Micronauts,Mego
Hydra,Vehicle,Wave 1,1976,Vintage Micronauts,Micronauts,Mego
Hydro Copter,Vehicle,Wave 1,1976,Vintage Micronauts,Micronauts,Mego
Microtron,Vehicle,Wave 1,1976,Vintage Micronauts,Micronauts,Mego
Mobile Exploration Lab,Vehicle,Wave 1,1976,Vintage Micronauts,Micronauts,Mego
Space Glider (Blue),Figure,Wave 1,1976,Vintage Micronauts,Micronauts,Mego
Space Glider (Gold),Figure,Wave 1,1976,Vintage Micronauts,Micronauts,Mego
Space Glider (Green),Figure,Wave 1,1976,Vintage Micronauts,Micronauts,Mego
Stratastation,Playset,Wave 1,1976,Vintage Micronauts,Micronauts,Mego
Time Traveler (Blue),Figure,Wave 1,1976,Vintage Micronauts,Micronauts,Mego
