franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Computer Warriors,Computer Warriors,Computer Warriors Basic Series,Mattel,1989,Wave 1,Romm,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1926-x,https://6533-43952.el-alt.com/images/items/Computer-Warriors-Basic-Series-Romm-1989-Mattel-Figure.jpg,,Vintage Mattel Computer Warriors figure documented by Wheeljack's Lab.
Computer Warriors,Computer Warriors,Computer Warriors Basic Series,Mattel,1989,Wave 1,AdAll Techno Tank,vehicle,Wheeljack's Lab,https://wheeljackslab.com/toys/1927-x,https://6533-43952.el-alt.com/images/items/Computer-Warriors-Basic-Series-AdAll-Techno-Tank-1989-Mattel-Vehicle.jpg,,Vintage Mattel Computer Warriors vehicle documented by Wheeljack's Lab. Corresponds to the calculator disguise with Dekodar.
Computer Warriors,Computer Warriors,Computer Warriors Basic Series,Mattel,1989,Wave 1,Beamer Flash Craft,vehicle,Wheeljack's Lab,https://wheeljackslab.com/toys/1928-x,https://6533-43952.el-alt.com/images/items/Computer-Warriors-Basic-Series-Beamer-Flash-Craft-1989-Mattel-Vehicle.jpg,,Vintage Mattel Computer Warriors vehicle documented by Wheeljack's Lab. Corresponds to the flashlight disguise with Skannar.
Computer Warriors,Computer Warriors,Computer Warriors Basic Series,Mattel,1989,Wave 1,Timetel Syncro-Blaster,vehicle,Wheeljack's Lab,https://wheeljackslab.com/toys/1929-x,https://6533-43952.el-alt.com/images/items/Computer-Warriors-Basic-Series-Timetel-Syncro-Blaster-1989-Mattel-Vehicle.jpg,,Vintage Mattel Computer Warriors vehicle documented by Wheeljack's Lab. Corresponds to the digital clock disguise with Micronn.
Computer Warriors,Computer Warriors,Computer Warriors Basic Series,Mattel,1989,Wave 1,Parallax Desktop Computer,playset,Wheeljack's Lab,https://wheeljackslab.com/toys/1930-x,https://6533-43952.el-alt.com/images/items/Computer-Warriors-Basic-Series-Parallax-Desktop-Computer-1989-Mattel-Play-Set.jpg,,Vintage Mattel Computer Warriors playset documented by Wheeljack's Lab. Corresponds to the computer disguise with Chip.
Computer Warriors,Computer Warriors,Computer Warriors Basic Series,Mattel,1989,Wave 1,Invasion of the Viruses Evil Rocket Base,playset,Wheeljack's Lab,https://wheeljackslab.com/toys/1931-x,https://6533-43952.el-alt.com/images/items/Computer-Warriors-Basic-Series-Invasion-Of-The-Viruses-Evil-Rocket-Base-1989-Mattel-Play-Set.jpg,,Vintage Mattel Computer Warriors playset documented by Wheeljack's Lab. Corresponds to the book disguise with Indexx.
Computer Warriors,Computer Warriors,Computer Warriors Basic Series,Mattel,1989,Wave 1,LeadHead Techno-Jet,vehicle,Wheeljack's Lab,https://wheeljackslab.com/toys/1932-x,https://6533-43952.el-alt.com/images/items/Computer-Warriors-Basic-Series-LeadHead-Techno-Jet-1989-Mattel-Vehicle.jpg,,Vintage Mattel Computer Warriors vehicle documented by Wheeljack's Lab. Corresponds to the pencil sharpener disguise with Minus.
Computer Warriors,Computer Warriors,Computer Warriors Basic Series,Mattel,1989,Wave 1,Soccer MVP Radar Over,vehicle,Wheeljack's Lab,https://wheeljackslab.com/toys/1933-x,https://6533-43952.el-alt.com/images/items/Computer-Warriors-Basic-Series-Soccer-MVP-Radar-Over-1989-Mattel-Vehicle.jpg,,Vintage Mattel Computer Warriors vehicle documented by Wheeljack's Lab. Corresponds to the soccer trophy disguise with Null.
Computer Warriors,Computer Warriors,Computer Warriors Basic Series,Mattel,1989,Wave 1,Pepsi Can Hyper Hoverjet,vehicle,Wheeljack's Lab,https://wheeljackslab.com/toys/1934-x,https://6533-43952.el-alt.com/images/items/Computer-Warriors-Basic-Series-Pepsi-Can-Hyper-Hoverjet-1989-Mattel-Vehicle.jpg,,Vintage Mattel Computer Warriors vehicle documented by Wheeljack's Lab. Corresponds to the Pepsi can disguise with Gridd.
Computer Warriors,Computer Warriors,Computer Warriors Vintage Figures,Mattel,1989,Wave 1,Asynk,figure,Collectables Access DB,C:/Collectables/Collectables.accdb,,,Present in the local Collectables database. Matching sourced item page and photo still pending.
Computer Warriors,Computer Warriors,Computer Warriors Vintage Figures,Mattel,1989,Wave 1,Debugg,figure,Collectables Access DB,C:/Collectables/Collectables.accdb,,,Present in the local Collectables database. Matching sourced item page and photo still pending.
Computer Warriors,Computer Warriors,Computer Warriors Vintage Figures,Mattel,1989,Wave 1,Megahert,figure,Collectables Access DB,C:/Collectables/Collectables.accdb,,,Present in the local Collectables database. Matching sourced item page and photo still pending.
