franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
COPS 'N Crooks,COPS 'N Crooks,COPS 'N Crooks,Hasbro,1988,Series 1,Barricade,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1087-x,https://6533-43952.el-alt.com/images/items/COPS-N-Crooks-Series-1-COPS-Barricade-1988-Hasbro-Figure.jpg,,Vintage Hasbro C.O.P.S. figure documented by Wheeljack's Lab.
COPS 'N Crooks,COPS 'N Crooks,COPS 'N Crooks,Hasbro,1988,Series 1,Bullet-Proof,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1088-x,https://6533-43952.el-alt.com/images/items/COPS-N-Crooks-Series-1-COPS-Bullet-Proof-1988-Hasbro-Figure.jpg,,Vintage Hasbro C.O.P.S. figure documented by Wheeljack's Lab.
COPS 'N Crooks,COPS 'N Crooks,COPS 'N Crooks,Hasbro,1988,Series 1,Highway,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1089-x,https://6533-43952.el-alt.com/images/items/COPS-N-Crooks-Series-1-COPS-Highway-1988-Hasbro-Figure.jpg,,Vintage Hasbro C.O.P.S. figure documented by Wheeljack's Lab.
COPS 'N Crooks,COPS 'N Crooks,COPS 'N Crooks,Hasbro,1988,Series 1,Longarm,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1090-x,https://6533-43952.el-alt.com/images/items/COPS-N-Crooks-Series-1-COPS-Longarm-1988-Hasbro-Figure.jpg,,Vintage Hasbro C.O.P.S. figure documented by Wheeljack's Lab.
COPS 'N Crooks,COPS 'N Crooks,COPS 'N Crooks,Hasbro,1988,Series 1,Officer Bowzer and Blitz,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1091-x,https://6533-43952.el-alt.com/images/items/COPS-N-Crooks-Series-1-COPS-Officer-Bowzer-And-Blitz-1988-Hasbro-Figure.jpg,,Vintage Hasbro C.O.P.S. figure documented by Wheeljack's Lab.
COPS 'N Crooks,COPS 'N Crooks,COPS 'N Crooks,Hasbro,1988,Series 1,Sgt. Mace,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1092-x,https://6533-43952.el-alt.com/images/items/COPS-N-Crooks-Series-1-COPS-Sgt.-Mace-1988-Hasbro-Figure.jpg,,Vintage Hasbro C.O.P.S. figure documented by Wheeljack's Lab.
COPS 'N Crooks,COPS 'N Crooks,COPS 'N Crooks,Hasbro,1988,Series 1,Sundown,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1093-x,https://6533-43952.el-alt.com/images/items/COPS-N-Crooks-Series-1-COPS-Sundown-1988-Hasbro-Figure.jpg,,Vintage Hasbro C.O.P.S. figure documented by Wheeljack's Lab.
COPS 'N Crooks,COPS 'N Crooks,COPS 'N Crooks,Hasbro,1988,Series 1,Berserko,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1094-x,https://6533-43952.el-alt.com/images/items/COPS-N-Crooks-Series-1-Crooks-Berserko-1988-Hasbro-Figure.jpg,,Vintage Hasbro Crooks figure documented by Wheeljack's Lab.
COPS 'N Crooks,COPS 'N Crooks,COPS 'N Crooks,Hasbro,1988,Series 1,Big Boss,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1095-x,https://6533-43952.el-alt.com/images/items/COPS-N-Crooks-Series-1-Crooks-Big-Boss-1988-Hasbro-Figure.jpg,,Vintage Hasbro Crooks figure documented by Wheeljack's Lab.
COPS 'N Crooks,COPS 'N Crooks,COPS 'N Crooks,Hasbro,1988,Series 1,Buttons McBoomboom,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1096-x,https://6533-43952.el-alt.com/images/items/COPS-N-Crooks-Series-1-Crooks-Buttons-McBoom-Boom-1988-Hasbro-Figure.jpg,,Vintage Hasbro Crooks figure documented by Wheeljack's Lab.
COPS 'N Crooks,COPS 'N Crooks,COPS 'N Crooks,Hasbro,1988,Series 1,Dr. Badvibes,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1097-x,https://6533-43952.el-alt.com/images/items/COPS-N-Crooks-Series-1-Crooks-Dr.-Badvibes-1988-Hasbro-Figure.jpg,,Vintage Hasbro Crooks figure documented by Wheeljack's Lab.
COPS 'N Crooks,COPS 'N Crooks,COPS 'N Crooks,Hasbro,1988,Series 1,Rock Krusher,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1098-x,https://6533-43952.el-alt.com/images/items/COPS-N-Crooks-Series-1-Crooks-Rock-Krusher-1988-Hasbro-Figure.jpg,,Vintage Hasbro Crooks figure documented by Wheeljack's Lab.
COPS 'N Crooks,COPS 'N Crooks,COPS 'N Crooks,Hasbro,1988,Series 2,A.P.E.S.,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1099-x,https://6533-43952.el-alt.com/images/items/COPS-N-Crooks-Series-2-COPS-A.P.E.S.-1988-Hasbro-Figure.jpg,,Vintage Hasbro C.O.P.S. figure documented by Wheeljack's Lab.
COPS 'N Crooks,COPS 'N Crooks,COPS 'N Crooks,Hasbro,1988,Series 2,Airwave,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1100-x,https://6533-43952.el-alt.com/images/items/COPS-N-Crooks-Series-2-COPS-Airwave-1988-Hasbro-Figure.jpg,,Vintage Hasbro C.O.P.S. figure documented by Wheeljack's Lab.
COPS 'N Crooks,COPS 'N Crooks,COPS 'N Crooks,Hasbro,1988,Series 2,Checkpoint,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1101-x,https://6533-43952.el-alt.com/images/items/COPS-N-Crooks-Series-2-COPS-Checkpoint-1988-Hasbro-Figure.jpg,,Vintage Hasbro C.O.P.S. figure documented by Wheeljack's Lab.
COPS 'N Crooks,COPS 'N Crooks,COPS 'N Crooks,Hasbro,1988,Series 2,Inferno,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1102-x,https://6533-43952.el-alt.com/images/items/COPS-N-Crooks-Series-2-COPS-Inferno-1988-Hasbro-Figure.jpg,,Vintage Hasbro C.O.P.S. figure documented by Wheeljack's Lab.
COPS 'N Crooks,COPS 'N Crooks,COPS 'N Crooks,Hasbro,1988,Series 2,Nightstick,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1103-x,https://6533-43952.el-alt.com/images/items/COPS-N-Crooks-Series-2-COPS-Nightstick-1988-Hasbro-Figure.jpg,,Vintage Hasbro C.O.P.S. figure documented by Wheeljack's Lab.
