franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Crystar,Crystar,The Saga of Crystar,Remco,1982,Series 1,Feldspar,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1061-x,https://6533-43952.el-alt.com/images/items/The-Saga-of-Crystar-Crystal-Warrior-Feldspar-Forces-of-Chaos-1982-Remco-Action-Figure.jpg,,Vintage Remco Crystar figure documented by Wheeljack's Lab.
Crystar,Crystar,The Saga of Crystar,Remco,1982,Series 1,Magma Man,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1062-x,https://6533-43952.el-alt.com/images/items/The-Saga-of-Crystar-Crystal-Warrior-Magma-Man-Forces-of-Chaos-1982-Remco-Action-Figure.jpg,,Vintage Remco Crystar figure documented by Wheeljack's Lab.
Crystar,Crystar,The Saga of Crystar,Remco,1982,Series 1,Moltar,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1063-x,https://6533-43952.el-alt.com/images/items/The-Saga-of-Crystar-Crystal-Warrior-Moltar-Forces-of-Chaos-1982-Remco-Action-Figure.jpg,,Vintage Remco Crystar figure documented by Wheeljack's Lab.
Crystar,Crystar,The Saga of Crystar,Remco,1982,Series 1,Zardeth,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1064-x,https://6533-43952.el-alt.com/images/items/The-Saga-of-Crystar-Crystal-Warrior-Zardeth-Forces-of-Chaos-1982-Remco-Action-Figure.jpg,,Vintage Remco Crystar figure documented by Wheeljack's Lab.
Crystar,Crystar,The Saga of Crystar,Remco,1982,Series 1,Crystar,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1065-x,https://6533-43952.el-alt.com/images/items/The-Saga-of-Crystar-Crystal-Warrior-Crystar-Forces-of-Order-1982-Remco-Action-Figure.jpg,,Vintage Remco Crystar figure documented by Wheeljack's Lab.
Crystar,Crystar,The Saga of Crystar,Remco,1982,Series 1,Ogeode,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1066-x,https://6533-43952.el-alt.com/images/items/The-Saga-of-Crystar-Crystal-Warrior-Ogeode-Forces-of-Order-1982-Remco-Action-Figure.jpg,,Vintage Remco Crystar figure documented by Wheeljack's Lab.
Crystar,Crystar,The Saga of Crystar,Remco,1982,Series 1,Warbow,figure,Wheeljack's Lab,https://wheeljackslab.com/toys/1067-x,https://6533-43952.el-alt.com/images/items/The-Saga-of-Crystar-Crystal-Warrior-Warbow-Forces-of-Order-1982-Remco-Action-Figure.jpg,,Vintage Remco Crystar figure documented by Wheeljack's Lab.
Crystar,Crystar,The Saga of Crystar Vehicles and Creatures,Remco,1982,Series 1,Crystal Dragon,vehicle,Wheeljack's Lab,https://wheeljackslab.com/toys/1068-x,https://6533-43952.el-alt.com/images/items/The-Saga-of-Crystar-Crystal-Warrior-Series-1-Crystal-Dragon-and-Crystal-Dragon-Warrior-1982-Remco-Action-Figure.jpg,,Vintage Remco Crystar creature pack documented by Wheeljack's Lab. Includes Crystal Dragon Warrior.
Crystar,Crystar,The Saga of Crystar Vehicles and Creatures,Remco,1982,Series 1,Lava Dragon,vehicle,Wheeljack's Lab,https://wheeljackslab.com/toys/1069-x,https://6533-43952.el-alt.com/images/items/The-Saga-of-Crystar-Crystal-Warrior-Series-1-Lava-Dragon-and-Lava-Dragon-Warrior-1982-Remco-Action-Figure.jpg,,Vintage Remco Crystar creature pack documented by Wheeljack's Lab. Includes Lava Dragon Warrior.
Crystar,Crystar,The Saga of Crystar Vehicles and Creatures,Remco,1982,Series 1,Crystal Warrior Catapult,vehicle,Wheeljack's Lab,https://wheeljackslab.com/toys/1070-x,https://6533-43952.el-alt.com/images/items/The-Saga-of-Crystar-Crystal-Warrior-Crystal-Catapult-Shatterpult-Forces-of-Order-1982-Remco-Vehicle.jpg,,Vintage Remco Crystar vehicle documented by Wheeljack's Lab under the Crystal Catapult Shatterpult name.
