franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Darkwing Duck,Darkwing Duck,Vintage Darkwing Duck,Playmates,1991,Wave 1,Darkwing Duck,figure,Figure Realm + Action Toys,https://www.figurerealm.com/actionfigure?action=actionfigure&id=5578,,https://actiontoys.com/wp-content/uploads/2017/10/products-wDarkwing.jpg,Vintage Playmates Darkwing Duck basic figure. Figure Realm confirms the item, but only a front/package-style image was available there from this environment. Packaged card photo verified from Action Toys.
Darkwing Duck,Darkwing Duck,Vintage Darkwing Duck,Playmates,1991,Wave 1,Launchpad McQuack,figure,Figure Realm + Action Toys,https://www.figurerealm.com/actionfigure?action=actionfigure&id=5577,,https://actiontoys.com/wp-content/uploads/2005/08/products-DKW-02.jpg,Vintage Playmates Darkwing Duck basic figure. Figure Realm confirms the item, but only a front/package-style image was available there from this environment. Packaged card photo verified from Action Toys.
Darkwing Duck,Darkwing Duck,Vintage Darkwing Duck,Playmates,1991,Wave 1,Gosalyn Mallard,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=5576,,,Vintage Playmates Darkwing Duck basic figure. Figure Realm confirms the item, but a clearly loose item-specific photo was not available from this environment. Packaged photo still pending a clean carded source.
Darkwing Duck,Darkwing Duck,Vintage Darkwing Duck,Playmates,1991,Wave 1,Honker Muddlefoot,figure,Figure Realm + Action Toys,https://www.figurerealm.com/actionfigure?action=actionfigure&id=5579,,https://actiontoys.com/wp-content/uploads/2021/08/DarkwingHonkerW.jpg,Vintage Playmates Darkwing Duck basic figure. Figure Realm confirms the item, but only a front/package-style image was available there from this environment. Packaged card photo verified from Action Toys.
Darkwing Duck,Darkwing Duck,Vintage Darkwing Duck,Playmates,1991,Wave 1,Steelbeak,figure,Figure Realm + Mr. Joe,https://www.figurerealm.com/actionfigure?action=actionfigure&id=5581,,http://mrjoe.com/cdn/shop/products/STEELBEAK-DISNEY_SDARKWINGDUCK.jpg?v=1662155489,Vintage Playmates Darkwing Duck basic figure. Figure Realm confirms the item, but only a front/package-style image was available there from this environment. Packaged card photo verified from Mr. Joe.
Darkwing Duck,Darkwing Duck,Vintage Darkwing Duck,Playmates,1991,Wave 1,Tuskerninni,figure,Figure Realm + Action Toys,https://www.figurerealm.com/actionfigure?action=actionfigure&id=5582,,https://actiontoys.com/wp-content/uploads/2021/08/DKW-OTUSK.jpg,Vintage Playmates Darkwing Duck basic figure. Figure Realm confirms the item, but only a front/package-style image was available there from this environment. Packaged/opened-card photo verified from Action Toys.
Darkwing Duck,Darkwing Duck,Vintage Darkwing Duck,Playmates,1991,Wave 1,Bushroot,figure,Figure Realm + Action Toys,https://www.figurerealm.com/actionfigure?action=actionfigure&id=5580,,https://actiontoys.com/wp-content/uploads/2021/08/DKW-05.jpg,Vintage Playmates Darkwing Duck basic figure. Figure Realm confirms the item, but the available image was not reliable enough to treat as a verified loose photo. Packaged card photo verified from Action Toys.
Darkwing Duck,Darkwing Duck,Vintage Darkwing Duck,Playmates,1991,Wave 1,Megavolt,figure,Figure Realm + Action Toys,https://www.figurerealm.com/actionfigure?action=actionfigure&id=5583,,https://actiontoys.com/wp-content/uploads/2011/10/products-DWING-VOLT.jpg,Vintage Playmates Darkwing Duck basic figure. Figure Realm confirms the item, but the available image was not reliable enough to treat as a verified loose photo. Packaged card photo verified from Action Toys.
Darkwing Duck,Darkwing Duck,Vintage Darkwing Duck Vehicles,Playmates,1991,Wave 1,Ratcatcher,vehicle,Figure Realm + Darkwing Duck Wiki,https://www.figurerealm.com/actionfigure?action=actionfigure&id=19992,,https://static.wikia.nocookie.net/darkwingduck/images/8/8c/Merch_-_Ratcatcher_Playmates.jpeg/revision/latest?cb=20200708184151,Vintage Playmates Darkwing Duck vehicle. Figure Realm confirms the item, but only a front/package-style image was available there from this environment. Packaged photo verified from the Ratcatcher merchandise page on the Darkwing Duck Wiki.
Darkwing Duck,Darkwing Duck,Vintage Darkwing Duck Vehicles,Playmates,1991,Wave 1,Thunderquack,vehicle,Figure Realm + Darkwing Duck Wiki,https://www.figurerealm.com/actionfigure?action=actionfigure&id=19984,,https://static.wikia.nocookie.net/darkwingduck/images/2/28/Merch_-_Thunderquack_Playmates.jpeg/revision/latest?cb=20200708184054,Vintage Playmates Darkwing Duck vehicle. Figure Realm confirms the item, but only a front/package-style image was available there from this environment. Packaged photo verified from the Thunderquack merchandise page on the Darkwing Duck Wiki.
Darkwing Duck,Darkwing Duck,Vintage Darkwing Duck Role Play,Playmates,1991,Wave 1,Gas Gun,role-play,Figure Realm + Darkwing Duck Wiki,https://www.figurerealm.com/actionfigure?action=actionfigure&id=20047,,https://static.wikia.nocookie.net/darkwingduck/images/a/ac/Merch_-_Gas_Gun.jpeg/revision/latest?cb=20200708184422,Vintage Playmates Darkwing Duck role-play item. Figure Realm confirms the item, but only a front/package-style image was available there from this environment. Packaged photo verified from the Darkwing Duck Wiki toy-line gallery.
Darkwing Duck,Darkwing Duck,Vintage Darkwing Duck Collector Figure,Playmates,1991,Wave 1,Darkwing Duck (Large Collector Figurine),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=5956,,,Vintage Playmates Darkwing Duck large collector figurine. Figure Realm confirms the item, but a clearly loose item-specific photo was not available from this environment. Packaged photo still pending.
