franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Defenders of the Earth,Defenders of the Earth,Vintage Defenders of the Earth Figures,Galoob,1986,Wave 1,Flash Gordon,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=5893,,https://www.figurerealm.com/galleries/defendersoftheearth/thumb_FlashGordon-Front.jpg,Vintage Galoob Defenders of the Earth figure. Figure Realm confirms the item, and the available front image is being used conservatively as the package-front photo until a clearly loose image is verified.
Defenders of the Earth,Defenders of the Earth,Vintage Defenders of the Earth Figures,Galoob,1986,Wave 1,Garax,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=35954,,https://www.figurerealm.com/galleries/defendersoftheearth/thumb_Garax-Front.jpg,Vintage Galoob Defenders of the Earth figure. Figure Realm confirms the item, and the available front image is being used conservatively as the package-front photo until a clearly loose image is verified.
Defenders of the Earth,Defenders of the Earth,Vintage Defenders of the Earth Figures,Galoob,1986,Wave 1,Lothar,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=5895,,https://www.figurerealm.com/galleries/defendersoftheearth/thumb_Lothar-Front.jpg,Vintage Galoob Defenders of the Earth figure. Figure Realm confirms the item, and the available front image is being used conservatively as the package-front photo until a clearly loose image is verified.
Defenders of the Earth,Defenders of the Earth,Vintage Defenders of the Earth Figures,Galoob,1986,Wave 1,Mandrake the Magician,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=5894,,https://www.figurerealm.com/galleries/defendersoftheearth/thumb_Mandrake-Front.jpg,Vintage Galoob Defenders of the Earth figure. Figure Realm confirms the item, and the available front image is being used conservatively as the package-front photo until a clearly loose image is verified.
Defenders of the Earth,Defenders of the Earth,Vintage Defenders of the Earth Figures,Galoob,1986,Wave 1,Ming the Merciless,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=5899,,https://www.figurerealm.com/galleries/defendersoftheearth/thumb_Ming-Front.jpg,Vintage Galoob Defenders of the Earth figure. Figure Realm confirms the item, and the available front image is being used conservatively as the package-front photo until a clearly loose image is verified.
Defenders of the Earth,Defenders of the Earth,Vintage Defenders of the Earth Figures,Galoob,1986,Wave 1,Phantom,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=5892,,https://www.figurerealm.com/galleries/defendersoftheearth/thumb_Phantom-Front.jpg,Vintage Galoob Defenders of the Earth figure. Figure Realm confirms the item, and the available front image is being used conservatively as the package-front photo until a clearly loose image is verified.
Defenders of the Earth,Defenders of the Earth,Vintage Defenders of the Earth Vehicles,Galoob,1986,Wave 1,Defenders Claw Copter,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=5897,,https://www.figurerealm.com/galleries/defendersoftheearth/thumb_ClawCopter-Front.jpg,Vintage Galoob Defenders of the Earth vehicle. Figure Realm confirms the item, and the available front image is being used conservatively as the package-front photo until a clearly loose image is verified.
Defenders of the Earth,Defenders of the Earth,Vintage Defenders of the Earth Vehicles,Galoob,1986,Wave 1,Flash Swordship,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=5898,,https://www.figurerealm.com/galleries/defendersoftheearth/thumb_FlashSwordship-Front.jpg,Vintage Galoob Defenders of the Earth vehicle. Figure Realm confirms the item, and the available front image is being used conservatively as the package-front photo until a clearly loose image is verified.
Defenders of the Earth,Defenders of the Earth,Vintage Defenders of the Earth Vehicles,Galoob,1986,Wave 1,Garax Swordship,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=5901,,https://www.figurerealm.com/galleries/defendersoftheearth/thumb_GaraxSwordship-Front.jpg,Vintage Galoob Defenders of the Earth vehicle. Figure Realm confirms the item, and the available front image is being used conservatively as the package-front photo until a clearly loose image is verified.
Defenders of the Earth,Defenders of the Earth,Vintage Defenders of the Earth Vehicles,Galoob,1986,Wave 1,Grip Jaw,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=56760,,https://www.figurerealm.com/galleries/defendersoftheearth/thumb_GripJaw-Front.jpg,Vintage Galoob Defenders of the Earth vehicle. Figure Realm confirms the item, and the available front image is being used conservatively as the package-front photo until a clearly loose image is verified.
Defenders of the Earth,Defenders of the Earth,Vintage Defenders of the Earth Vehicles,Galoob,1986,Wave 1,Mongor,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=5900,,https://www.figurerealm.com/galleries/defendersoftheearth/thumb_Mongor-Front.jpg,Vintage Galoob Defenders of the Earth vehicle. Figure Realm confirms the item, and the available front image is being used conservatively as the package-front photo until a clearly loose image is verified.
Defenders of the Earth,Defenders of the Earth,Vintage Defenders of the Earth Vehicles,Galoob,1986,Wave 1,Phantom Skull Copter,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=5896,,https://www.figurerealm.com/galleries/defendersoftheearth/thumb_PhantomSkullCopter-Front.jpg,Vintage Galoob Defenders of the Earth vehicle. Figure Realm confirms the item, and the available front image is being used conservatively as the package-front photo until a clearly loose image is verified.
