franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Food Fighters,Food Fighters,Kitchen Commandos,Mattel,1988,Series 1,Burgerdier General,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7109,,https://www.figurerealm.com/galleries/foodfighters/thumb_Burgerdier-Front.jpg,Vintage Mattel Food Fighters figure. Figure Realm confirms the item. The available front image is being used conservatively as the package-front photo until a clearly loose image is verified.
Food Fighters,Food Fighters,Kitchen Commandos,Mattel,1988,Series 1,Lieutenant Legg,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7110,https://www.figurerealm.com/galleries/foodfighters/thumb_Legg.jpg,https://www.figurerealm.com/galleries/foodfighters/thumb_Legg-Front.jpg,Vintage Mattel Food Fighters figure. Figure Realm provides both a loose and front/package image.
Food Fighters,Food Fighters,Kitchen Commandos,Mattel,1988,Series 1,Major Munch (Chocolate Frosting),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7111,,https://www.figurerealm.com/galleries/foodfighters/thumb_MajorMunch-Front.jpg,Vintage Mattel Food Fighters figure. Figure Realm confirms the item. The available front image is being used conservatively as the package-front photo until a clearly loose image is verified.
Food Fighters,Food Fighters,Kitchen Commandos,Mattel,1988,Series 1,Major Munch (Red Frosting),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7112,https://www.figurerealm.com/galleries/foodfighters/thumb_MajorMunchRed.jpg,https://www.figurerealm.com/galleries/foodfighters/thumb_MajorMunchRed-Front.jpg,Vintage Mattel Food Fighters figure. Figure Realm provides both a loose and front/package image.
Food Fighters,Food Fighters,Kitchen Commandos,Mattel,1988,Series 1,Private Pizza,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7113,https://www.figurerealm.com/galleries/foodfighters/thumb_PrivatePizza-2.jpg,https://www.figurerealm.com/galleries/foodfighters/thumb_Pizza-Front.jpg,Vintage Mattel Food Fighters figure. Figure Realm provides both a loose and front/package image.
Food Fighters,Food Fighters,Kitchen Commandos,Mattel,1988,Series 1,Sergeant Scoop (Chocolate),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7115,https://www.figurerealm.com/galleries/foodfighters/thumb_ScoopChocolate.jpg,https://www.figurerealm.com/galleries/foodfighters/thumb_Scoop-Front.jpg,Vintage Mattel Food Fighters figure. Figure Realm provides both a loose and front/package image.
Food Fighters,Food Fighters,Kitchen Commandos,Mattel,1988,Series 1,Sergeant Scoop (Sherbert),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7114,https://www.figurerealm.com/galleries/foodfighters/thumb_ScoopSherbert.jpg,https://www.figurerealm.com/galleries/foodfighters/thumb_ScoopSherbert-Front.jpg,Vintage Mattel Food Fighters figure. Figure Realm provides both a loose and front/package image.
Food Fighters,Food Fighters,Refrigerator Rejects,Mattel,1988,Series 1,Chip the Ripper (Chocolate Chip),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7102,https://www.figurerealm.com/galleries/foodfighters/thumb_Chip.jpg,https://www.figurerealm.com/galleries/foodfighters/thumb_Chip-Front.jpg,Vintage Mattel Food Fighters figure. Figure Realm provides both a loose and front/package image.
Food Fighters,Food Fighters,Refrigerator Rejects,Mattel,1988,Series 1,Chip the Ripper (Macadamia Nut),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7103,https://www.figurerealm.com/galleries/foodfighters/thumb_ChipMacadamia.jpg,https://www.figurerealm.com/galleries/foodfighters/thumb_ChipMacadamia-Front.jpg,Vintage Mattel Food Fighters figure. Figure Realm provides both a loose and front/package image.
Food Fighters,Food Fighters,Refrigerator Rejects,Mattel,1988,Series 1,Fat Frenchy,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7104,,https://www.figurerealm.com/galleries/foodfighters/thumb_FatFrenchy-Front.jpg,Vintage Mattel Food Fighters figure. Figure Realm confirms the item. The available front image is being used conservatively as the package-front photo until a clearly loose image is verified.
