franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Ghostbusters,Filmation Ghostbusters,Accessories,Schaper,1986,Accessories,Bone Troller,accessory,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7231&figure=bonetroller,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/ghostbustersfilmation/thumb_BoneTroller-Front-2.jpg
Ghostbusters,Filmation Ghostbusters,Accessories,Schaper,1986,Accessories,Ghost Buggy,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7234&figure=ghostbuggy,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustersfilmation/thumb_GhostBuggy1.jpg,https://www.figurerealm.com/galleries/ghostbustersfilmation/thumb_GhostBuggy-Front.jpg
Ghostbusters,Filmation Ghostbusters,Accessories,Schaper,1986,Accessories,Ghost Command,accessory,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=24267&figure=ghostcommand,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustersfilmation/thumb_GhostCommand1.jpg,https://www.figurerealm.com/galleries/ghostbustersfilmation/thumb_GhostCommand-Front.jpg
Ghostbusters,Filmation Ghostbusters,Accessories,Schaper,1986,Accessories,Scare Scooter,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7232&figure=scarescooter,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/ghostbustersfilmation/thumb_ScareScooter-Front.jpg
Ghostbusters,Filmation Ghostbusters,Accessories,Schaper,1986,Accessories,Time Hopper,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7233&figure=timehopper,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/ghostbustersfilmation/thumb_TimeHopper-Front.jpg
Ghostbusters,Filmation Ghostbusters,Basic Series,Schaper,1986,Basic Series,Belfry & Brat-A-Rat,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7219&figure=belfryampbratarat,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustersfilmation/thumb_BelfryBratARat-1.jpg,https://www.figurerealm.com/galleries/ghostbustersfilmation/thumb_BelfryBratARat-Front.jpg
Ghostbusters,Filmation Ghostbusters,Basic Series,Schaper,1986,Basic Series,Edi Spenser,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7220&figure=edispenser,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/ghostbustersfilmation/thumb_EdiSpenser-Front.jpg
Ghostbusters,Filmation Ghostbusters,Basic Series,Schaper,1986,Basic Series,Fangster,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7225&figure=fangster,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustersfilmation/thumb_Fangster1.jpg,https://www.figurerealm.com/galleries/ghostbustersfilmation/thumb_Fangster-Front.jpg
Ghostbusters,Filmation Ghostbusters,Basic Series,Schaper,1986,Basic Series,Fib Face,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7226&figure=fibface,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustersfilmation/thumb_FibFace1.jpg,https://www.figurerealm.com/galleries/ghostbustersfilmation/thumb_FibFace-Front.jpg
Ghostbusters,Filmation Ghostbusters,Basic Series,Schaper,1986,Basic Series,Futura,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7221&figure=futura,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustersfilmation/thumb_Futura1.jpg,https://www.figurerealm.com/galleries/ghostbustersfilmation/thumb_Futura-Front.jpg
