franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Ghostbusters,Ghostbusters,Mattel Ghostbusters,Mattel,2009,"12"" Scale",Egon Spengler,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=26588&figure=egonspengler,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustersmattel/thumb_Egon1-12.jpg,https://www.figurerealm.com/galleries/ghostbustersmattel/thumb_EgonSpengler-12-Front.jpg
Ghostbusters,Ghostbusters,Mattel Ghostbusters,Mattel,2010,"12"" Scale",Egon Spengler / Ray Stantz,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=57248&figure=egonspenglerraystantz,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/ghostbustersmattel/thumb_EgonRay-12-Front.jpg
Ghostbusters,Ghostbusters,Mattel Ghostbusters,Mattel,2010,"12"" Scale",Peter Venkman,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=28832&figure=petervenkman,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/ghostbustersmattel/thumb_PeterVenkman-12-Front.jpg
Ghostbusters,Ghostbusters,Mattel Ghostbusters,Mattel,2010,"12"" Scale",Peter Venkman / Winston Zeddemore,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=57247&figure=petervenkmanwinstonzeddemore,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/ghostbustersmattel/thumb_PeterWinston-12-Front.jpg
Ghostbusters,Ghostbusters,Mattel Ghostbusters,Mattel,2009,"12"" Scale",Ray Stantz,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=26589&figure=raystantz,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/ghostbustersmattel/thumb_RayStantz-12-Front.jpg
Ghostbusters,Ghostbusters,Mattel Ghostbusters,Mattel,2010,"12"" Scale",Winston Zeddemore,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=31121&figure=winstonzeddemore,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/ghostbustersmattel/thumb_WindstonZeddemore-12-Front.jpg
Ghostbusters,Ghostbusters,Mattel Ghostbusters,Mattel,2012,"6"" Scale",Dana as Zuul,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=34935&figure=danaaszuul,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustersmattel/thumb_DanaZuul1-SDCC.jpg,https://www.figurerealm.com/galleries/ghostbustersmattel/thumb_DanaZuul-SDCC-Front.jpg
Ghostbusters,Ghostbusters,Mattel Ghostbusters,Mattel,2011,"6"" Scale",Dana Barrett as Zuul,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=31119&figure=danabarrettaszuul,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/ghostbustersmattel/thumb_DanaZuul-Front.jpg
Ghostbusters,Ghostbusters,Mattel Ghostbusters,Mattel,2015,"6"" Scale",Egon Spengler (Courtroom Battle),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=56602&figure=egonspenglercourtroombattle,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/ghostbustersmattel/thumb_Egon-CourtroomBattle-Front.jpg
Ghostbusters,Ghostbusters,Mattel Ghostbusters,Mattel,2011,"6"" Scale",Egon Spengler (Lab Coat) (with Library Ghost),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=31115&figure=egonspenglerlabcoatwithlibraryghost,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustersmattel/thumb_EgonSpenglerLabCoat1.jpg,https://www.figurerealm.com/galleries/ghostbustersmattel/thumb_EgonLabCoat-Front.jpg
