franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Ghostbusters,The Real Ghostbusters,Hasbro Retro Ghostbusters,Hasbro,2021,Classic Retro,Bug-Eye Ghost,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91885&figure=bugeyeghost,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_BugEyeGhost-ClassicRetro-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Retro Ghostbusters,Hasbro,2021,Classic Retro,Ecto-1,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=96856&figure=ecto1,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Ecto1-ClassicRetro-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Retro Ghostbusters,Hasbro,2020,Classic Retro,Egon Spengler,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=72192&figure=egonspengler,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_EgonSpengler-ClassicRetro-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Retro Ghostbusters,Hasbro,2024,Classic Retro,Egon Spengler (Fright Features),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=125478&figure=egonspenglerfrightfeatures,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_EgonSpengler-FrightFeatures-ClassicRetro-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_EgonSpengler-FrightFeatures-ClassicRetro-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Retro Ghostbusters,Hasbro,2021,Classic Retro,Fearsome Flush,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91886&figure=fearsomeflush,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_FearsomeFlush-ClassicRetro-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Retro Ghostbusters,Hasbro,2021,Classic Retro,Ghostpopper,role-play,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=91887&figure=ghostpopper,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Ghostpopper-ClassicRetro-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Retro Ghostbusters,Hasbro,2020,Classic Retro,Green Ghost,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=72196&figure=greenghost,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_GreenGhost-ClassicRetro-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Retro Ghostbusters,Hasbro,2020,Classic Retro,Peter Venkman,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=72193&figure=petervenkman,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_PeterVenkman-ClassicRetro-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Retro Ghostbusters,Hasbro,2024,Classic Retro,Peter Venkman (Fright Features),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=125477&figure=petervenkmanfrightfeatures,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_PeterVenkman-FrightFeatures-ClassicRetro-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_PeterVenkman-FrightFeatures-ClassicRetro-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Retro Ghostbusters,Hasbro,2020,Classic Retro,Ray Stantz,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=72194&figure=raystantz,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_RayStantz-ClassicRetro-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Retro Ghostbusters,Hasbro,2024,Classic Retro,Ray Stantz (Fright Features),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=125476&figure=raystantzfrightfeatures,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_RayStantz-FrightFeatures-ClassicRetro-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_RayStantz-FrightFeatures-ClassicRetro-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Retro Ghostbusters,Hasbro,2020,Classic Retro,Stay Puft,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=72197&figure=staypuft,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_StayPuft-ClassicRetro-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Retro Ghostbusters,Hasbro,2020,Classic Retro,Winston Zeddemore,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=72195&figure=winstonzeddemore,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_WinstonZeddemore-ClassicRetro-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Retro Ghostbusters,Hasbro,2024,Classic Retro,Winston Zeddemore (Fright Features),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=125479&figure=winstonzeddemorefrightfeatures,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_WinstonZeddemore-FrightFeatures-ClassicRetro-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_WinstonZeddemore-FrightFeatures-ClassicRetro-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Fright Features,Hasbro,2021,Fright Features,Ecto-1 Playset,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=96064&figure=ecto1playset,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Ecto1Playset-Legacy-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Ecto1Playset-Legacy-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Fright Features,Hasbro,2021,Fright Features,Egon Spengler,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=96065&figure=egonspengler,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_EgonSpengler-Legacy-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_EgonSpengler-Legacy-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Fright Features,Hasbro,2021,Fright Features,Lucky,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=96768&figure=lucky,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Lucky-Legacy-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Lucky-Legacy-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Fright Features,Hasbro,2021,Fright Features,Muncher,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=96763&figure=muncher,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Muncher-Legacy-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Muncher-Legacy-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Fright Features,Hasbro,2021,Fright Features,Peter Venkman,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=96066&figure=petervenkman,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_PeterVenkman-Legacy-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_PeterVenkman-Legacy-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Fright Features,Hasbro,2021,Fright Features,Phoebe,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=96765&figure=phoebe,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Phoebe-Legacy-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Phoebe-Legacy-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Fright Features,Hasbro,2021,Fright Features,Podcast,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=96767&figure=podcast,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Podcast-Legacy-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Podcast-Legacy-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Fright Features,Hasbro,2021,Fright Features,Ray Stantz,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=96067&figure=raystantz,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_RayStantz-Legacy-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_RayStantz-Legacy-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Fright Features,Hasbro,2021,Fright Features,Slimer,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=96778&figure=slimer,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Slimer-FrightFeatures-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Slimer-FrightFeatures-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Fright Features,Hasbro,2021,Fright Features,Stay Puft Marshmallow Man,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=96762&figure=staypuftmarshmallowman,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_StayPuftMarshmallowMan-Legacy-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_StayPuftMarshmallowMan-Legacy-Front-2.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Fright Features,Hasbro,2021,Fright Features,Stay Puft Marshmallow Man (Big),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=96764&figure=staypuftmarshmallowmanbig,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_StayPuftMarshmallowMan-Big-Legacy-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_StayPuftMarshmallowMan-Big-Legacy-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Fright Features,Hasbro,2021,Fright Features,Trevor,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=96766&figure=trevor,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Trevor-Legacy-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Trevor-Legacy-Front.jpg
Ghostbusters,The Real Ghostbusters,Hasbro Fright Features,Hasbro,2021,Fright Features,Winston Zeddemore,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=96068&figure=winstonzeddemore,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_WinstonZeddemore-Legacy-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_WinstonZeddemore-Legacy-Front.jpg
Ghostbusters,Ghostbusters,Hasbro Plasma Series,Hasbro,2020,Plasma Series,Dana Barrett,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=70960&figure=danabarrett,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_DanaBarrett-Plasma-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_DanaBarrett-Plasma-Front.jpg
Ghostbusters,Ghostbusters,Hasbro Plasma Series,Hasbro,2020,Plasma Series,Ecto-1,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=84016&figure=ecto1,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Ecto1-Plasma-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Ecto1-Plasma-Front.jpg
Ghostbusters,Ghostbusters,Hasbro Plasma Series,Hasbro,2024,Plasma Series,Ecto-1 (1984),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=127738&figure=ecto11984,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Ecto1-1984-PlasmaSeries-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Ecto1-1984-PlasmaSeries-Front.jpg
Ghostbusters,Ghostbusters,Hasbro Plasma Series,Hasbro,2025,Plasma Series,Ecto-Glow Heroes Collector's Set,accessory,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=144462&figure=ectoglowheroescollectorsset,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_EctoGlowHeroesCollectorsSet-PlasmaSeries-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_EctoGlowHeroesCollectorsSet-PlasmaSeries-Front.jpg
Ghostbusters,Ghostbusters,Hasbro Plasma Series,Hasbro,2025,Plasma Series,Ectomobile (Ecto-1) (Deluxe Edition),vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=167680&figure=ectomobileecto1deluxeedition,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Ectomobile-Ecto1-DeluxeEdition-PlasmaSeries-1.jpg,https://www.figurerealm.com/galleries/ghostbustershasbro/thumb_Ectomobile-Ecto1-DeluxeEdition-PlasmaSeries-Front.jpg
