franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,Kenner,1988,Accessories,Collector's Case,accessory,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=46635&figure=collectorscase,Item-specific Figure Realm loose image.,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_CollectorsCase1.jpg,
Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,Kenner,1986,Accessories,Ecto-Plasm,accessory,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7235&figure=ectoplasm,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_EctoPlasm-Front.jpg
Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,Kenner,1986,Accessories,Fire Station Headquarters,playset,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7236&figure=firestationheadquarters,Item-specific Figure Realm loose and packaged images.,https://www.transformerland.com/image/reference_images/56540.jpg,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_FireStation-Front.jpg
Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,Kenner,1986,Accessories,Ghost Popper,role-play,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7237&figure=ghostpopper,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_GhostPopper-Front.jpg
Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,Kenner,1986,Accessories,Ghostzapper,role-play,Access DB,,Retained Access inventory row using owned-item naming.,,
Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,Kenner,1989,Accessories,Nutrona Blaster,role-play,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=138223&figure=nutronablaster,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_NutronaBlaster-81030-1.jpg,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_NutronaBlaster-81030-Front.jpg
Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,Kenner,1986,Accessories,Proton Pack,role-play,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7238&figure=protonpack,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_ProtonPack-1.jpg,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_ProtonPack-Front.jpg
Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,Kenner,1986,Accessories,Water Zapper,role-play,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7239&figure=waterzapper,Item-specific Figure Realm loose and packaged images.,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_WaterZapper-Loose.jpg,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_WaterZapper-Front.jpg
Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,Kenner,1991,Ecto Glow Heroes,Egon Spengler,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7240&figure=egonspengler,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_Egon-EctoGlow-Front.jpg
Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,Kenner,1991,Ecto Glow Heroes,Louis Tully,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7241&figure=louistully,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_Louis-EctoGlow-Front.jpg
Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,Kenner,1991,Ecto Glow Heroes,Peter Venkman,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7242&figure=petervenkman,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_Peter-EctoGlow-Front.jpg
Ghostbusters,The Real Ghostbusters,Vintage The Real Ghostbusters,Kenner,1991,Ecto Glow Heroes,Ray Stantz,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7243&figure=raystantz,Item-specific Figure Realm packaged/front image.,,https://www.figurerealm.com/galleries/realghostbusterskenner/thumb_Ray-EctoGlow-Front.jpg
