franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
G.I. Joe,G.I. Joe,A Real American Hero,Hasbro,1982,Wave 1,Breaker,figure,YoJoe,https://www.yojoe.com/action/82/breaker.shtml,https://www.yojoe.com/images/resize/w/MAX/imagestore/6/81446.jpg,,"Vintage G.I. Joe: A Real American Hero figure entry aligned to YoJoe, using the item gallery front shot as the loose photo and the lead page image as the packaged/front display when available."
G.I. Joe,G.I. Joe,A Real American Hero,Hasbro,1982,Wave 1,Cobra Commander: Mail Away (Disney),figure,YoJoe,https://www.yojoe.com/action/82/cobracommander.shtml,https://www.yojoe.com/images/resize/w/MAX/imagestore/37/33729.jpg,,"Vintage G.I. Joe: A Real American Hero figure entry aligned to YoJoe, using the item gallery front shot as the loose photo and the lead page image as the packaged/front display when available."
G.I. Joe,G.I. Joe,A Real American Hero,Hasbro,1982,Wave 1,Cobra Officer,figure,YoJoe,https://www.yojoe.com/action/82/cobraofficer.shtml,https://www.yojoe.com/images/resize/w/MAX/imagestore/8/69071.jpg,,"Vintage G.I. Joe: A Real American Hero figure entry aligned to YoJoe, using the item gallery front shot as the loose photo and the lead page image as the packaged/front display when available."
G.I. Joe,G.I. Joe,A Real American Hero,Hasbro,1982,Wave 1,Cobra Trooper,figure,YoJoe,https://www.yojoe.com/action/82/cobra.shtml,https://www.yojoe.com/images/resize/w/MAX/imagestore/7/39895.jpg,,"Vintage G.I. Joe: A Real American Hero figure entry aligned to YoJoe, using the item gallery front shot as the loose photo and the lead page image as the packaged/front display when available."
G.I. Joe,G.I. Joe,A Real American Hero,Hasbro,1982,Wave 1,Clutch,figure,YoJoe,https://www.yojoe.com/action/82/clutch.shtml,https://www.yojoe.com/images/resize/w/MAX/imagestore/36/69625.jpg,,Vintage G.I. Joe: A Real American Hero pack-in driver or pilot listing. YoJoe confirms the individual character page and loose figure gallery. This character was sold with a vehicle in the original line and is kept as a separate catalog entry because aftermarket collectors often acquire the driver independently of the vehicle.
G.I. Joe,G.I. Joe,A Real American Hero,Hasbro,1982,Wave 1,Grand Slam,figure,YoJoe,https://www.yojoe.com/action/82/grandslam.shtml,https://www.yojoe.com/images/resize/w/MAX/imagestore/38/69091.jpg,,Vintage G.I. Joe: A Real American Hero pack-in driver or pilot listing. YoJoe confirms the individual character page and loose figure gallery. This character was sold with a vehicle in the original line and is kept as a separate catalog entry because aftermarket collectors often acquire the driver independently of the vehicle.
G.I. Joe,G.I. Joe,A Real American Hero,Hasbro,1982,Wave 1,Hawk,figure,YoJoe,https://www.yojoe.com/action/82/hawk.shtml,https://www.yojoe.com/images/resize/w/MAX/imagestore/39/81601.jpg,,Vintage G.I. Joe: A Real American Hero pack-in driver or pilot listing. YoJoe confirms the individual character page and loose figure gallery. This character was sold with a vehicle in the original line and is kept as a separate catalog entry because aftermarket collectors often acquire the driver independently of the vehicle.
G.I. Joe,G.I. Joe,A Real American Hero,Hasbro,1982,Wave 1,Steeler,figure,YoJoe,https://www.yojoe.com/action/82/steeler.shtml,https://www.yojoe.com/images/resize/w/MAX/imagestore/40/69135.jpg,,Vintage G.I. Joe: A Real American Hero pack-in driver or pilot listing. YoJoe confirms the individual character page and loose figure gallery. This character was sold with a vehicle in the original line and is kept as a separate catalog entry because aftermarket collectors often acquire the driver independently of the vehicle.
G.I. Joe,G.I. Joe,A Real American Hero,Hasbro,1982,Wave 1,FLAK,vehicle,YoJoe + Joepedia,https://www.yojoe.com/vehicles/82/flak/,https://www.yojoe.com/images/resize/w/MAX/vehicles/82/flak/flak_front.jpg,https://www.yojoe.com/images/resize/w/MAX/imagestore/1819/37856.jpg,"Vintage G.I. Joe: A Real American Hero vehicle or playset entry aligned to YoJoe. Representative loose photography comes from the YoJoe vehicle gallery, and boxed photography is used when the page explicitly includes a box image. Joepedia vehicle coverage is also used to track which releases included dedicated drivers."
G.I. Joe,G.I. Joe,A Real American Hero,Hasbro,1982,Wave 1,Flash,figure,YoJoe,https://www.yojoe.com/action/82/flash.shtml,https://www.yojoe.com/images/resize/w/MAX/imagestore/9/39693.jpg,,"Vintage G.I. Joe: A Real American Hero figure entry aligned to YoJoe, using the item gallery front shot as the loose photo and the lead page image as the packaged/front display when available."
