franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2020,1,#1 Roadblock,modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/roadblock-1362.php,,https://www.actionfigure411.com/gijoe/images/roadblock-1362.jpg,Figure Number: 01 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2020,1,#2 Snake Eyes,modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/snake-eyes-1359.php,,https://www.actionfigure411.com/gijoe/images/snake-eyes-1359.jpg,Figure Number: 02 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2020,1,#3 Destro,modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/destro-1363.php,,https://www.actionfigure411.com/gijoe/images/destro-1363.jpg,Figure Number: 03 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2020,1,#4 Duke,modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/duke-1360.php,,https://www.actionfigure411.com/gijoe/images/duke-1360.jpg,Figure Number: 04 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2020,1,#5 Scarlett,modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/scarlett-1361.php,,https://www.actionfigure411.com/gijoe/images/scarlett-1361.jpg,Figure Number: 05 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2020,2,#6 Cobra Commander,modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/cobra-commander-1466.php,,https://www.actionfigure411.com/gijoe/images/cobra-commander-1466.jpg,Figure Number: 06 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2020,2,#7 Gung Ho,modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/gung-ho-1467.php,,https://www.actionfigure411.com/gijoe/images/gung-ho-1467.jpg,Figure Number: 07 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2020,2,#8 Red Ninja,modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/red-ninja-1468.php,,https://www.actionfigure411.com/gijoe/images/red-ninja-1468.jpg,Figure Number: 08 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2020,Amazon,#14 Storm Shadow (Arctic Mission),modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/storm-shadow-arctic-mission-1471.php,,https://www.actionfigure411.com/gijoe/images/storm-shadow-arctic-mission-1471.jpg,Figure Number: 14 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2020,Fan,#15 Destro (Profit Director),modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/destro-profit-director-1470.php,,https://www.actionfigure411.com/gijoe/images/destro-profit-director-1470.jpg,Figure Number: 15 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2020,Pulse,#6 Cobra Commander (Regal),modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/cobra-commander-regal-1469.php,,https://www.actionfigure411.com/gijoe/images/cobra-commander-regal-1469.jpg,Figure Number: 06 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2020,Pulse,#9 Cobra Commander (Snake Supreme),modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/cobra-commander-snake-supreme-1486.php,,https://www.actionfigure411.com/gijoe/images/cobra-commander-snake-supreme-1486.jpg,Figure Number: 09 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2020,Pulse,Snake Eyes (Deluxe),modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/snake-eyes-deluxe-1364.php,,https://www.actionfigure411.com/gijoe/images/snake-eyes-deluxe-1364.jpg,Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2020,Target,#10 Beach Head (Cobra Island),modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/beach-head-cobra-island-1487.php,,https://www.actionfigure411.com/gijoe/images/beach-head-cobra-island-1487.jpg,Figure Number: 10 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2020,Target,#11 Roadblock (Cobra Island),modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/roadblock-cobra-island-1488.php,,https://www.actionfigure411.com/gijoe/images/roadblock-cobra-island-1488.jpg,Figure Number: 11 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2020,Target,#12 Cobra Trooper (Cobra Island),modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/cobra-trooper-cobra-island-1489.php,,https://www.actionfigure411.com/gijoe/images/cobra-trooper-cobra-island-1489.jpg,Figure Number: 12 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2020,Target,#13 Baroness with C.O.I.L. Motorcycle,modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/baroness-with-c-o-i-l-motorcycle-1490.php,,https://www.actionfigure411.com/gijoe/images/baroness-with-c-o-i-l-motorcycle-1490.jpg,Figure Number: 13 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2021,3,#23 Zartan,modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/zartan-1546.php,,https://www.actionfigure411.com/gijoe/images/zartan-1546.jpg,Figure Number: 23 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2021,3,#24 Cobra Infantry,modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/cobra-infantry-1545.php,,https://www.actionfigure411.com/gijoe/images/cobra-infantry-1545.jpg,Figure Number: 24 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2021,4,#25 Lady Jaye,modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/lady-jaye-1598.php,,https://www.actionfigure411.com/gijoe/images/lady-jaye-1598.jpg,Figure Number: 25 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2021,4,#26 Flint,modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/flint-1597.php,,https://www.actionfigure411.com/gijoe/images/flint-1597.jpg,Figure Number: 26 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2021,5,#16 Snake Eyes (Origins),modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/snake-eyes-origins-2093.php,,https://www.actionfigure411.com/gijoe/images/snake-eyes-origins-2093.jpg,Figure Number: 16 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2021,5,#17 Storm Shadow (Origins),modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/storm-shadow-origins-2094.php,,https://www.actionfigure411.com/gijoe/images/storm-shadow-origins-2094.jpg,Figure Number: 17 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2021,5,#19 Baroness (Origins),modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/baroness-origins-2092.php,,https://www.actionfigure411.com/gijoe/images/baroness-origins-2092.jpg,Figure Number: 19 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2021,6,#18 Akiko (Origins),modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/akiko-origins-2090.php,,https://www.actionfigure411.com/gijoe/images/akiko-origins-2090.jpg,Figure Number: 18 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2021,6,#20 Scarlett (Origins),modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/scarlett-origins-2091.php,,https://www.actionfigure411.com/gijoe/images/scarlett-origins-2091.jpg,Figure Number: 20 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
G.I. Joe,G.I. Joe,Classified Series,Hasbro,2021,Amazon,#28 Roadblock (Heavy Artillery),modern,ActionFigure411,https://www.actionfigure411.com/gijoe/6-classified-series/classified/roadblock-heavy-artillery-2471.php,,https://www.actionfigure411.com/gijoe/images/roadblock-heavy-artillery-2471.jpg,Figure Number: 28 | Subgroup: Classified | Packaged image from ActionFigure411 visual guide.
