franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
G.I. Joe,G.I. Joe,2006 G.I.Joe Convention Exclusives,Hasbro,2006,2006 G.I.Joe Convention Exclusives,COIL Trooper,modern,YoJoe,https://www.yojoe.com/action/06/coiltrooper.shtml,https://www.yojoe.com/images/resize/h/375/action/06/images/coiltrooper-s.jpg,https://www.yojoe.com/images/resize/h/375/action/06/images/coiltrooper-s.jpg,YoJoe section: 2006 G.I.Joe Convention Exclusives. Exclusive or convention subset. Loose photo uses YoJoe All Geared Up image.
G.I. Joe,G.I. Joe,2006 G.I.Joe Convention Exclusives,Hasbro,2006,2006 G.I.Joe Convention Exclusives,Cobra Mortal,modern,YoJoe,https://www.yojoe.com/action/06/cobramortal.shtml,https://www.yojoe.com/images/resize/h/375/action/06/images/cobramortal-s.jpg,https://www.yojoe.com/images/resize/h/375/action/06/images/cobramortal-s.jpg,YoJoe section: 2006 G.I.Joe Convention Exclusives. Exclusive or convention subset. Loose photo uses YoJoe All Geared Up image.
G.I. Joe,G.I. Joe,2006 G.I.Joe Convention Exclusives,Hasbro,2006,2006 G.I.Joe Convention Exclusives,"David ""Red Dog"" Taputapu",modern,YoJoe,https://www.yojoe.com/action/06/reddog2.shtml,https://www.yojoe.com/images/resize/w/MAX/action/06/allgearedup/renegades.jpg,https://www.yojoe.com/images/resize/h/375/action/06/images/reddog2-s.jpg,YoJoe section: 2006 G.I.Joe Convention Exclusives. Exclusive or convention subset. Loose photo uses YoJoe All Geared Up image.
G.I. Joe,G.I. Joe,2006 G.I.Joe Convention Exclusives,Hasbro,2006,2006 G.I.Joe Convention Exclusives,"Felix ""Mercer"" Stratton",modern,YoJoe,https://www.yojoe.com/action/06/mercer3.shtml,https://www.yojoe.com/images/resize/w/MAX/action/06/allgearedup/renegades.jpg,https://www.yojoe.com/images/resize/h/375/action/06/images/mercer3-s.jpg,YoJoe section: 2006 G.I.Joe Convention Exclusives. Exclusive or convention subset. Loose photo uses YoJoe All Geared Up image.
G.I. Joe,G.I. Joe,2006 G.I.Joe Convention Exclusives,Hasbro,2006,2006 G.I.Joe Convention Exclusives,Major Bludd,modern,YoJoe,https://www.yojoe.com/action/06/majorbludd7.shtml,https://www.yojoe.com/images/resize/w/MAX/action/06/allgearedup/majorbludd7_agu.jpg,https://www.yojoe.com/images/resize/h/375/action/06/images/majorbludd7-s.jpg,YoJoe section: 2006 G.I.Joe Convention Exclusives. Exclusive or convention subset. Loose photo uses YoJoe All Geared Up image.
G.I. Joe,G.I. Joe,2006 G.I.Joe Convention Exclusives,Hasbro,2006,2006 G.I.Joe Convention Exclusives,Nullifier,modern,YoJoe,https://www.yojoe.com/action/06/nullifier4.shtml,https://www.yojoe.com/images/resize/w/MAX/action/06/allgearedup/nullifier4_agu.jpg,https://www.yojoe.com/images/resize/h/375/action/06/images/nullifier4-s.jpg,YoJoe section: 2006 G.I.Joe Convention Exclusives. Exclusive or convention subset. Loose photo uses YoJoe All Geared Up image.
G.I. Joe,G.I. Joe,2006 G.I.Joe Convention Exclusives,Hasbro,2006,2006 G.I.Joe Convention Exclusives,Overlord,modern,YoJoe,https://www.yojoe.com/action/06/overlord2.shtml,https://www.yojoe.com/images/resize/h/375/action/06/images/overlord2-s.jpg,https://www.yojoe.com/images/resize/h/375/action/06/images/overlord2-s.jpg,YoJoe section: 2006 G.I.Joe Convention Exclusives. Exclusive or convention subset. Loose photo uses YoJoe All Geared Up image.
G.I. Joe,G.I. Joe,2006 G.I.Joe Convention Exclusives,Hasbro,2006,2006 G.I.Joe Convention Exclusives,Sgt. Slaughter,modern,YoJoe,https://www.yojoe.com/action/06/sgtslaughter5.shtml,https://www.yojoe.com/images/resize/w/MAX/action/06/allgearedup/sgtslaughter5_agu.jpg,https://www.yojoe.com/images/resize/h/375/action/06/images/sgtslaughter5-s.jpg,YoJoe section: 2006 G.I.Joe Convention Exclusives. Exclusive or convention subset. Loose photo uses YoJoe All Geared Up image.
G.I. Joe,G.I. Joe,2006 G.I.Joe Convention Exclusives,Hasbro,2006,2006 G.I.Joe Convention Exclusives,Skull Squad Trooper,modern,YoJoe,https://www.yojoe.com/action/06/skullsquadtrooper.shtml,https://www.yojoe.com/images/resize/w/MAX/action/06/allgearedup/skullsquadtrooper_agu.jpg,https://www.yojoe.com/images/resize/h/375/action/06/images/skullsquadtrooper-s.jpg,YoJoe section: 2006 G.I.Joe Convention Exclusives. Exclusive or convention subset. Loose photo uses YoJoe All Geared Up image.
G.I. Joe,G.I. Joe,2006 G.I.Joe Convention Exclusives,Hasbro,2006,2006 G.I.Joe Convention Exclusives,"Varujan ""Taurus"" Ayvazyan",modern,YoJoe,https://www.yojoe.com/action/06/taurus2.shtml,https://www.yojoe.com/images/resize/w/MAX/action/06/allgearedup/renegades.jpg,https://www.yojoe.com/images/resize/h/375/action/06/images/taurus2-s.jpg,YoJoe section: 2006 G.I.Joe Convention Exclusives. Exclusive or convention subset. Loose photo uses YoJoe All Geared Up image.
