franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1997,Mission Packs,Duke,modern,YoJoe,https://www.yojoe.com/action/97/duke7.shtml,,https://www.yojoe.com/images/resize/h/375/action/97/97images/duke7.jpg,YoJoe section: Mission Packs. No separate YoJoe loose photo was exposed; packaged/front image retained only.
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1997,Mission Packs,Torpedo,modern,YoJoe,https://www.yojoe.com/action/97/torpedo2.shtml,,https://www.yojoe.com/images/resize/h/375/action/97/97images/torpedo2.jpg,YoJoe section: Mission Packs. No separate YoJoe loose photo was exposed; packaged/front image retained only.
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1997,Mission Packs,Viper,modern,YoJoe,https://www.yojoe.com/action/97/viper5.shtml,,https://www.yojoe.com/images/resize/h/375/action/97/97images/viper5.jpg,YoJoe section: Mission Packs. No separate YoJoe loose photo was exposed; packaged/front image retained only.
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1997,Team Packs,Baroness,modern,YoJoe,https://www.yojoe.com/action/97/baroness2.shtml,,https://www.yojoe.com/images/resize/h/375/action/97/97images/baroness2.jpg,YoJoe section: Team Packs. No separate YoJoe loose photo was exposed; packaged/front image retained only.
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1997,Team Packs,Blizzard,modern,YoJoe,https://www.yojoe.com/action/97/blizzard2.shtml,,https://www.yojoe.com/images/resize/h/375/action/97/97images/blizzard2.jpg,YoJoe section: Team Packs. No separate YoJoe loose photo was exposed; packaged/front image retained only.
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1997,Team Packs,Cobra Commander,modern,YoJoe,https://www.yojoe.com/action/97/cobracommander8.shtml,,https://www.yojoe.com/images/resize/h/375/action/97/97images/cobracommander8.jpg,YoJoe section: Team Packs. No separate YoJoe loose photo was exposed; packaged/front image retained only.
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1997,Team Packs,Destro,modern,YoJoe,https://www.yojoe.com/action/97/destro5.shtml,,https://www.yojoe.com/images/resize/h/375/imagestore/543/75995.jpg,YoJoe section: Team Packs. No separate YoJoe loose photo was exposed; packaged/front image retained only.
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1997,Team Packs,Iceberg,modern,YoJoe,https://www.yojoe.com/action/97/iceberg3.shtml,,https://www.yojoe.com/images/resize/h/375/action/97/97images/iceberg3.jpg,YoJoe section: Team Packs. No separate YoJoe loose photo was exposed; packaged/front image retained only.
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1997,Team Packs,Lady Jaye,modern,YoJoe,https://www.yojoe.com/action/97/ladyjaye2.shtml,,https://www.yojoe.com/images/resize/h/375/action/97/97images/ladyjaye2.jpg,YoJoe section: Team Packs. No separate YoJoe loose photo was exposed; packaged/front image retained only.
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1997,Team Packs,Snake Eyes,modern,YoJoe,https://www.yojoe.com/action/97/snakeeyes8.shtml,,https://www.yojoe.com/images/resize/h/375/action/97/97images/snakeeyes8.jpg,YoJoe section: Team Packs. No separate YoJoe loose photo was exposed; packaged/front image retained only.
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1997,Team Packs,Snow Job,modern,YoJoe,https://www.yojoe.com/action/97/snowjob2.shtml,,https://www.yojoe.com/images/resize/h/375/action/97/97images/snowjob2.jpg,YoJoe section: Team Packs. No separate YoJoe loose photo was exposed; packaged/front image retained only.
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1997,Team Packs,Storm Shadow,modern,YoJoe,https://www.yojoe.com/action/97/stormshadow5.shtml,,https://www.yojoe.com/images/resize/h/375/action/97/97images/stormshadow5.jpg,YoJoe section: Team Packs. No separate YoJoe loose photo was exposed; packaged/front image retained only.
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1997,Vehicle Drivers,Ace,modern,YoJoe,https://www.yojoe.com/action/97/ace4.shtml,,https://www.yojoe.com/images/resize/h/375/action/97/97images/ace4.jpg,YoJoe section: Vehicle Drivers. Standalone vehicle driver or pilot listing kept separate for aftermarket tracking. No separate YoJoe loose photo was exposed; packaged/front image retained only.
