franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1997,Vehicles,A-10 Thunderbolt,modern,YoJoe,https://www.yojoe.com/vehicles/97/thunderbolt/,https://www.yojoe.com/images/resize/w/350/imagestore/2509/81959.jpg,,Dedicated vehicle/playset entry from YoJoe vehicle index. Secondary image pulled from YoJoe vehicle gallery. No separate packaged image was verified on the YoJoe vehicle page.
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1997,Vehicles,Cobra Rage,modern,YoJoe,https://www.yojoe.com/vehicles/97/rage/,https://www.yojoe.com/images/resize/w/350/vehicles/97/rage/rage_title.jpg,,Dedicated vehicle/playset entry from YoJoe vehicle index. Secondary image pulled from YoJoe vehicle gallery. No separate packaged image was verified on the YoJoe vehicle page.
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1997,Vehicles,Flight Pod,modern,YoJoe,https://www.yojoe.com/vehicles/97/flightpod/,https://www.yojoe.com/images/resize/w/350/imagestore/2513/82364.jpg,,Dedicated vehicle/playset entry from YoJoe vehicle index. Secondary image pulled from YoJoe vehicle gallery. No separate packaged image was verified on the YoJoe vehicle page.
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1997,Vehicles,Night Landing S.E.A.L. Raft,modern,YoJoe,https://www.yojoe.com/vehicles/97/nightlanding/,https://www.yojoe.com/images/resize/w/350/vehicles/97/nightlanding/nightlanding_title.jpg,,Dedicated vehicle/playset entry from YoJoe vehicle index. Secondary image pulled from YoJoe vehicle gallery. No separate packaged image was verified on the YoJoe vehicle page.
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1997,Vehicles,Silver Mirage Motorcycle,modern,YoJoe,https://www.yojoe.com/vehicles/97/silvermirage/,https://www.yojoe.com/images/resize/w/350/vehicles/97/silvermirage/silvermirage_title.jpg,,Dedicated vehicle/playset entry from YoJoe vehicle index. Secondary image pulled from YoJoe vehicle gallery. No separate packaged image was verified on the YoJoe vehicle page.
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1997,Vehicles,Slugger,modern,YoJoe,https://www.yojoe.com/vehicles/97/slugger/,https://www.yojoe.com/images/resize/w/350/imagestore/2510/81933.jpg,,Dedicated vehicle/playset entry from YoJoe vehicle index. Secondary image pulled from YoJoe vehicle gallery. No separate packaged image was verified on the YoJoe vehicle page.
G.I. Joe,G.I. Joe,Stars and Stripes Forever,Hasbro,1997,Boxed Set,Stars and Stripes Forever,modern,YoJoe,https://www.yojoe.com/vehicles/97/starsandstripes.shtml/,,,Dedicated vehicle/playset entry from YoJoe vehicle index. No separate packaged image was exposed on the YoJoe vehicle page.
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1998,Vehicles,Cobra Rattler 4-WD,modern,YoJoe,https://www.yojoe.com/vehicles/98/rattler/,https://www.yojoe.com/images/resize/w/350/vehicles/98/rattler/rattler_title.jpg,,Dedicated vehicle/playset entry from YoJoe vehicle index. Secondary image pulled from YoJoe vehicle gallery. No separate packaged image was verified on the YoJoe vehicle page.
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1998,Vehicles,Conquest X-30,modern,YoJoe,https://www.yojoe.com/vehicles/98/conquest/,https://www.yojoe.com/images/resize/w/350/vehicles/98/conquest/conquest_title.jpg,,Dedicated vehicle/playset entry from YoJoe vehicle index. Secondary image pulled from YoJoe vehicle gallery. No separate packaged image was verified on the YoJoe vehicle page.
G.I. Joe,G.I. Joe,A Real American Hero Collection,Hasbro,1998,Vehicles,MOBAT,modern,YoJoe,https://www.yojoe.com/vehicles/98/mobat/,https://www.yojoe.com/images/resize/w/350/vehicles/98/mobat/mobat_title.jpg,,Dedicated vehicle/playset entry from YoJoe vehicle index. Secondary image pulled from YoJoe vehicle gallery. No separate packaged image was verified on the YoJoe vehicle page.
