franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
G.I. Joe x TMNT,G.I. Joe x TMNT,TMNT x G.I. Joe,Playmates,2026,Wave 1,Leonardo as Snake Eyes,figure,Toy Habits,https://toyhabits.com/teenage-mutant-ninja-turtles-x-gi-joe-crossover-officially-revealed/,https://toyhabits.com/wp-content/uploads/2026/02/TMNT-GI-Joe-Crossover-Snake-Eyes-x-Leo-2.jpg,,Revealed at New York Toy Fair 2026 as a joint Playmates/Hasbro mashup line; single-carded release window given as "coming this summer" 2026. Photo is an official studio/product shot; not an on-card packaging photo; packaging pass is still needed.
G.I. Joe x TMNT,G.I. Joe x TMNT,TMNT x G.I. Joe,Playmates,2026,Wave 1,Michelangelo as Shipwreck,figure,Toy Habits,https://toyhabits.com/teenage-mutant-ninja-turtles-x-gi-joe-crossover-officially-revealed/,https://toyhabits.com/wp-content/uploads/2026/02/TMNT-GI-Joe-Crossover-Shipwreck-x-Mikey-2.jpg,,Revealed at New York Toy Fair 2026 as a joint Playmates/Hasbro mashup line; single-carded release window given as "coming this summer" 2026. Photo is an official studio/product shot; not an on-card packaging photo; packaging pass is still needed.
G.I. Joe x TMNT,G.I. Joe x TMNT,TMNT x G.I. Joe,Playmates,2026,Wave 1,Raphael as Roadblock,figure,Toy Habits,https://toyhabits.com/teenage-mutant-ninja-turtles-x-gi-joe-crossover-officially-revealed/,https://toyhabits.com/wp-content/uploads/2026/02/TMNT-GI-Joe-Crossover-Roadblock-X-Raph-2.jpg,,Revealed at New York Toy Fair 2026 as a joint Playmates/Hasbro mashup line; single-carded release window given as "coming this summer" 2026. Photo is an official studio/product shot; not an on-card packaging photo; packaging pass is still needed.
G.I. Joe x TMNT,G.I. Joe x TMNT,TMNT x G.I. Joe,Playmates,2026,Wave 1,Donatello as Dial-Tone,figure,Toy Habits,https://toyhabits.com/teenage-mutant-ninja-turtles-x-gi-joe-crossover-officially-revealed/,https://toyhabits.com/wp-content/uploads/2026/02/TMNT-GI-Joe-Crossover-Dial-Tone-x-Donnie-2.jpg,,Revealed at New York Toy Fair 2026 as a joint Playmates/Hasbro mashup line; single-carded release window given as "coming this summer" 2026. Photo is an official studio/product shot; not an on-card packaging photo; packaging pass is still needed.
G.I. Joe x TMNT,G.I. Joe x TMNT,TMNT x G.I. Joe,Playmates,2026,Wave 1,April O'Neil as Scarlett,figure,Toy Habits,https://toyhabits.com/teenage-mutant-ninja-turtles-x-gi-joe-crossover-officially-revealed/,https://toyhabits.com/wp-content/uploads/2026/02/TMNT-GI-Joe-Crossover-Storm-Scarlett-x-April-2.jpg,,Revealed at New York Toy Fair 2026 as a joint Playmates/Hasbro mashup line; single-carded release window given as "coming this summer" 2026. Photo is an official studio/product shot; not an on-card packaging photo; packaging pass is still needed.
G.I. Joe x TMNT,G.I. Joe x TMNT,TMNT x G.I. Joe,Playmates,2026,Wave 1,Bebop as Ripper,figure,Toy Habits,https://toyhabits.com/teenage-mutant-ninja-turtles-x-gi-joe-crossover-officially-revealed/,https://toyhabits.com/wp-content/uploads/2026/02/TMNT-GI-Joe-Crossover-Ripper-X-Bebop-2.jpg,,Revealed at New York Toy Fair 2026 as a joint Playmates/Hasbro mashup line; single-carded release window given as "coming this summer" 2026. Photo is an official studio/product shot; not an on-card packaging photo; packaging pass is still needed.
G.I. Joe x TMNT,G.I. Joe x TMNT,TMNT x G.I. Joe,Playmates,2026,Wave 1,Rocksteady as Buzzer,figure,Toy Habits,https://toyhabits.com/teenage-mutant-ninja-turtles-x-gi-joe-crossover-officially-revealed/,https://toyhabits.com/wp-content/uploads/2026/02/TMNT-GI-Joe-Crossover-Buzzer-x-Rocksteady-2.jpg,,Revealed at New York Toy Fair 2026 as a joint Playmates/Hasbro mashup line; single-carded release window given as "coming this summer" 2026. Photo is an official studio/product shot; not an on-card packaging photo; packaging pass is still needed.
G.I. Joe x TMNT,G.I. Joe x TMNT,TMNT x G.I. Joe,Playmates,2026,Wave 1,Slash as Storm Shadow,figure,Toy Habits,https://toyhabits.com/teenage-mutant-ninja-turtles-x-gi-joe-crossover-officially-revealed/,https://toyhabits.com/wp-content/uploads/2026/02/TMNT-GI-Joe-Crossover-Storm-Sahdow-x-Slash-2.jpg,,Revealed at New York Toy Fair 2026 as a joint Playmates/Hasbro mashup line; single-carded release window given as "coming this summer" 2026. Photo is an official studio/product shot; not an on-card packaging photo; packaging pass is still needed.
G.I. Joe x TMNT,G.I. Joe x TMNT,TMNT x G.I. Joe,Playmates,2026,Wave 1,Krang as Destro,figure,Toy Habits,https://toyhabits.com/teenage-mutant-ninja-turtles-x-gi-joe-crossover-officially-revealed/,https://toyhabits.com/wp-content/uploads/2026/02/TMNT-GI-Joe-Crossover-Destro-x-Krang-2.jpg,,Revealed at New York Toy Fair 2026 as a joint Playmates/Hasbro mashup line; single-carded release window given as "coming this summer" 2026. Photo is an official studio/product shot; not an on-card packaging photo; packaging pass is still needed.
G.I. Joe x TMNT,G.I. Joe x TMNT,TMNT x G.I. Joe,Playmates,2026,Wave 1,Shredder as Cobra Commander,figure,Toy Habits,https://toyhabits.com/teenage-mutant-ninja-turtles-x-gi-joe-crossover-officially-revealed/,https://toyhabits.com/wp-content/uploads/2026/02/TMNT-GI-Joe-Crossover-Cobra-Commander-X-Shredder-2.jpg,,Revealed at New York Toy Fair 2026 as a joint Playmates/Hasbro mashup line; single-carded release window given as "coming this summer" 2026. Photo is an official studio/product shot; not an on-card packaging photo; packaging pass is still needed.
