franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
GoBots,GoBots,Go-Bots,Tonka,1985,Monsterous,Fangs,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7450&figure=fangs7301,,https://www.figurerealm.com/galleries/gobots/thumb_Fangs-Front.jpg,Figure Realm subseries: Monsterous. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
GoBots,GoBots,Go-Bots,Tonka,1985,Monsterous,Fright Face,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7451&figure=frightface7301,https://www.transformerland.com/image/reference_images/200179.jpg,https://www.figurerealm.com/galleries/gobots/thumb_FrightFace-Front.jpg,Figure Realm subseries: Monsterous. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
GoBots,GoBots,Go-Bots,Tonka,1985,Monsterous,Gore Jaw,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7454&figure=gorejaw7301,,https://www.figurerealm.com/galleries/gobots/thumb_GoreJaw-Front.jpg,Figure Realm subseries: Monsterous. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
GoBots,GoBots,Go-Bots,Tonka,1985,Monsterous,Heart Attack,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7455&figure=heartattack7301,https://www.transformerland.com/image/reference_images/200183.jpg,https://www.figurerealm.com/galleries/gobots/thumb_HeartAttack-Front.jpg,Figure Realm subseries: Monsterous. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
GoBots,GoBots,Go-Bots,Tonka,1985,Monsterous,South Claw,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7456&figure=southclaw7301,https://www.transformerland.com/image/reference_images/200209.jpg,https://www.figurerealm.com/galleries/gobots/thumb_SouthClaw-Front.jpg,Figure Realm subseries: Monsterous. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
GoBots,GoBots,Go-Bots,Tonka,1985,Monsterous,Weird Wing,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7457&figure=weirdwing7301,,https://www.figurerealm.com/galleries/gobots/thumb_WeirdWing-Front.jpg,Figure Realm subseries: Monsterous. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
GoBots,GoBots,Go-Bots,Tonka,1983,1983 Series,Buggyman (Blue),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7360&figure=buggymanblue08,https://www.figurerealm.com/galleries/gobots/thumb_BuggymanBlue1.jpg,https://www.figurerealm.com/galleries/gobots/thumb_BuggymanBlue-Front.jpg,Figure Realm subseries: 1983 Series. Enemy Robot Car. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
GoBots,GoBots,Go-Bots,Tonka,1983,1983 Series,Cop-Tur,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7361&figure=coptur04,https://www.figurerealm.com/galleries/gobots/thumb_Coptur1.jpg,https://www.figurerealm.com/galleries/gobots/thumb_CopTur-Front.jpg,Figure Realm subseries: 1983 Series. Enemy Robot Helicopter. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
GoBots,GoBots,Go-Bots,Tonka,1983,1983 Series,Cy-Kill,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7362&figure=cykill01,https://www.figurerealm.com/galleries/gobots/thumb_CyKill1.jpg,https://www.figurerealm.com/galleries/gobots/thumb_CyKill83-Front.jpg,Figure Realm subseries: 1983 Series. Enemy Robot Leader. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
GoBots,GoBots,Go-Bots,Tonka,1983,1983 Series,Dozer,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7363&figure=dozer11,https://www.figurerealm.com/galleries/gobots/thumb_Dozer1.jpg,https://www.figurerealm.com/galleries/gobots/thumb_Dozer83-Front.jpg,Figure Realm subseries: 1983 Series. Friendly Robot Bulldozer. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
GoBots,GoBots,Go-Bots,Tonka,1983,1983 Series,Dumper,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7364&figure=dumper09,https://www.figurerealm.com/galleries/gobots/thumb_Dumper1.jpg,https://www.figurerealm.com/galleries/gobots/thumb_Dumper83-Front.jpg,Figure Realm subseries: 1983 Series. Friendly Robot Dump Truck. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
GoBots,GoBots,Go-Bots,Tonka,1983,1983 Series,Fitor,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7365&figure=fitor03,https://www.figurerealm.com/galleries/gobots/thumb_Fitor1.jpg,https://www.figurerealm.com/galleries/gobots/thumb_Fitor83-Front.jpg,Figure Realm subseries: 1983 Series. Enemy Robot Jet. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
