franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Gold Lightan,Golden Warrior Gold Lightan,Vintage Gold Lightan,Popy,1981,Chogokin,Cutter Lightan GB-84,figure,The Old Robots,https://www.theoldrobots.com/Ultimate2.html,The Old Robots individual vintage item page. Main image uses the first item-specific photo from the dedicated Cutter Lightan page.,https://www.theoldrobots.com/images68/CutterLightan-15a.JPG,
Gold Lightan,Golden Warrior Gold Lightan,Vintage Gold Lightan,Popy,1981,Chogokin,Denji Lightan GB-41,figure,The Old Robots,https://www.theoldrobots.com/Ultimate3.html,The Old Robots individual vintage item page. Main image uses the first item-specific photo from the dedicated Denji Lightan page.,https://www.theoldrobots.com/images68/DenjiLightan-1a.JPG,
Gold Lightan,Golden Warrior Gold Lightan,Vintage Gold Lightan,Popy,1981,Chogokin,Golden Lightan GB-37,figure,The Old Robots,https://www.theoldrobots.com/Ultimate4.html,The Old Robots individual vintage item page. Main image uses the first item-specific photo from the dedicated Golden Lightan page.,https://www.theoldrobots.com/images68/GoldenLightan-1a.JPG,
Gold Lightan,Golden Warrior Gold Lightan,Vintage Gold Lightan,Popy,1981,Chogokin,Golden Lightan GX-32,figure,The Old Robots,https://www.theoldrobots.com/Ultimate5.html,The Old Robots individual vintage item page. Main image uses the first item-specific photo from the dedicated Golden Lightan GX-32 page.,https://www.theoldrobots.com/images121/Gold_Lightan-8a.JPG,
Gold Lightan,Golden Warrior Gold Lightan,Vintage Gold Lightan,Popy,1981,Chogokin,Meter Lightan GB-85,figure,The Old Robots,https://www.theoldrobots.com/Ultimate6.html,The Old Robots individual vintage item page. Main image uses the first item-specific photo from the dedicated Meter Lightan page.,https://www.theoldrobots.com/images68/Lightan_85-q8a.JPG,
Gold Lightan,Golden Warrior Gold Lightan,Vintage Gold Lightan,Popy,1981,Chogokin,Time Lightan GB-40,figure,The Old Robots,https://www.theoldrobots.com/Ultimate7.html,The Old Robots individual vintage item page. Main image uses the first item-specific photo from the dedicated Time Lightan page.,https://www.theoldrobots.com/images68/TimeLightan-12a.JPG,
Gold Lightan,Golden Warrior Gold Lightan,Vintage Gold Lightan,Popy,1981,Chogokin,Light Lightan GB-83,figure,The Old Robots,https://www.theoldrobots.com/Ultimate8.html,The Old Robots individual vintage item page. Main image uses the first item-specific photo from the dedicated Light Lightan page.,https://www.theoldrobots.com/images67/Ultimate-3a.JPG,
Gold Lightan,Golden Warrior Gold Lightan,Vintage Gold Lightan,Popy,1981,Chogokin,Print Lightan GB-82,figure,The Old Robots,https://www.theoldrobots.com/Ultimate9.html,The Old Robots individual vintage item page. Main image uses the first item-specific photo from the dedicated Print Lightan page.,https://www.theoldrobots.com/images68/PrintLightan-1a.JPG,
Gold Lightan,Golden Warrior Gold Lightan,Vintage Gold Lightan,Popy,1981,Chogokin,IC Lightan GB-86,figure,The Old Robots,https://www.theoldrobots.com/Ultimate10.html,The Old Robots individual vintage item page. Main image uses the first item-specific photo from the dedicated IC Lightan page.,https://www.theoldrobots.com/images68/ICLightan-1a.JPG,
Gold Lightan,Golden Warrior Gold Lightan,Vintage Gold Lightan,Popy,1981,Chogokin,Scope Lightan GB-38,figure,The Old Robots,https://www.theoldrobots.com/Ultimate11.html,The Old Robots individual vintage item page. Main image uses the first item-specific photo from the dedicated Scope Lightan page.,https://www.theoldrobots.com/images68/ScopeLightan-1a.JPG,
Gold Lightan,Golden Warrior Gold Lightan,Vintage Gold Lightan,Popy,1981,Chogokin,Coin Lightan GB-81,figure,The Old Robots,https://www.theoldrobots.com/Ultimate12.html,The Old Robots individual vintage item page. Main image uses the first item-specific photo from the dedicated Coin Lightan page.,https://www.theoldrobots.com/images68/CoinLightan-1a.JPG,
Gold Lightan,Golden Warrior Gold Lightan,Vintage Gold Lightan,Popy,1981,Chogokin,Mechanic Lightan GB-42,figure,The Old Robots,https://www.theoldrobots.com/Ultimate13.html,The Old Robots individual vintage item page. Main image uses the first item-specific photo from the dedicated Mechanic Lightan page.,https://www.theoldrobots.com/images68/MechanicLightan-1a.JPG,
Gold Lightan,Golden Warrior Gold Lightan,Soul of Chogokin,Bandai Spirits,2024,GX-32SP,Gold Lightan (Chogokin 50th Anniversary Ver.),figure,LegendsVerse,https://legendsverse.com/checklist/soul-of-chogokin/figures/golden-warrior-gold-lightan-gx-32sp-gold-lightan-chogokin-50th-anniversary-ver-250703024353,Item-specific LegendsVerse modern collector release. Main image uses the description/gallery image; packaged image uses the checklist card image.,https://media.legendsverse.com/313770/conversions/v1-description.jpg,https://media.legendsverse.com/313770/conversions/v1-card.jpg
