franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Golden Girl,Golden Girl,Golden Girl,Galoob,1984,Basic Series,Dragon Queen,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7595&figure=dragonqueen,https://www.figurerealm.com/galleries/goldengirl/thumb_DragonQueen1.jpg,,Figure Realm subseries: Basic Series. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Golden Girl,Golden Girl,Golden Girl,Galoob,1984,Basic Series,Golden Girl,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7596&figure=goldengirl,https://www.figurerealm.com/galleries/goldengirl/thumb_GoldenGirl1.jpg,,Figure Realm subseries: Basic Series. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Golden Girl,Golden Girl,Golden Girl,Galoob,1984,Basic Series,Jade,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7597&figure=jade,https://www.figurerealm.com/galleries/goldengirl/thumb_Jade1.jpg,,Figure Realm subseries: Basic Series. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Golden Girl,Golden Girl,Golden Girl,Galoob,1984,Basic Series,Moth Lady,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7598&figure=mothlady,https://www.figurerealm.com/galleries/goldengirl/thumb_MothLady1.jpg,,Figure Realm subseries: Basic Series. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Golden Girl,Golden Girl,Golden Girl,Galoob,1984,Basic Series,Ogra,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7599&figure=ogra,,https://www.figurerealm.com/galleries/goldengirl/thumb_Ogra-Front.jpg,Figure Realm subseries: Basic Series. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Golden Girl,Golden Girl,Golden Girl,Galoob,1984,Basic Series,Onyx,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7600&figure=onyx,,https://www.figurerealm.com/galleries/goldengirl/thumb_Onyx-Front.jpg,Figure Realm subseries: Basic Series. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Golden Girl,Golden Girl,Golden Girl,Galoob,1984,Basic Series,Prince Kroma,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7601&figure=princekroma,,https://www.figurerealm.com/galleries/goldengirl/thumb_PrinceKroma-Front.jpg,Figure Realm subseries: Basic Series. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Golden Girl,Golden Girl,Golden Girl,Galoob,1984,Basic Series,Rubee,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7602&figure=rubee,https://www.figurerealm.com/galleries/goldengirl/thumb_Rubee1.jpg,,Figure Realm subseries: Basic Series. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Golden Girl,Golden Girl,Golden Girl,Galoob,1984,Basic Series,Saphire,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7603&figure=saphire,https://www.figurerealm.com/galleries/goldengirl/thumb_Saphire1.jpg,,Figure Realm subseries: Basic Series. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Golden Girl,Golden Girl,Golden Girl,Galoob,1984,Basic Series,Vultura,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7604&figure=vultura,https://www.figurerealm.com/galleries/goldengirl/thumb_Vultura1.jpg,,Figure Realm subseries: Basic Series. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Golden Girl,Golden Girl,Golden Girl,Galoob,1984,Basic Series,Wild One,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7605&figure=wildone,https://www.figurerealm.com/galleries/goldengirl/thumb_WildOne1.jpg,,Figure Realm subseries: Basic Series. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Golden Girl,Golden Girl,Golden Girl,Galoob,1984,Evening Enchantment Outfits,Dragon Queen,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7606&figure=dragonqueen,,https://www.figurerealm.com/galleries/goldengirl/thumb_DragonQueen-EEO-Front.jpg,Figure Realm subseries: Evening Enchantment Outfits. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Golden Girl,Golden Girl,Golden Girl,Galoob,1984,Evening Enchantment Outfits,Golden Girl,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7607&figure=goldengirl,,https://www.figurerealm.com/galleries/goldengirl/thumb_GoldenGirl-EEO-Front.jpg,Figure Realm subseries: Evening Enchantment Outfits. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Golden Girl,Golden Girl,Golden Girl,Galoob,1984,Evening Enchantment Outfits,Jade,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=7608&figure=jade,,https://www.figurerealm.com/galleries/goldengirl/thumb_Jade-EEO-Front.jpg,Figure Realm subseries: Evening Enchantment Outfits. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
