franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Inhumanoids,Inhumanoids,Inhumanoids,Hasbro,1986,"14"" Figures",D. Compose,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=8554&figure=dcompose,https://www.figurerealm.com/galleries/inhumanoids/thumb_DCompose1.jpg,https://www.figurerealm.com/galleries/inhumanoids/thumb_DCompose-Front.jpg,"Figure Realm subseries: 14"" Figures. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image."
Inhumanoids,Inhumanoids,Inhumanoids,Hasbro,1986,"14"" Figures",Metlar,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=8552&figure=metlar,https://www.figurerealm.com/galleries/inhumanoids/thumb_Metlar1.jpg,https://www.figurerealm.com/galleries/inhumanoids/thumb_Metlar-Front.jpg,"Figure Realm subseries: 14"" Figures. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image."
Inhumanoids,Inhumanoids,Inhumanoids,Hasbro,1986,"14"" Figures",Tendril,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=8553&figure=tendril,https://www.figurerealm.com/galleries/inhumanoids/thumb_Tendril1.jpg,https://www.figurerealm.com/galleries/inhumanoids/thumb_Tendril-Front.jpg,"Figure Realm subseries: 14"" Figures. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image."
Inhumanoids,Inhumanoids,Inhumanoids,Hasbro,1986,"6"" Figures",Auger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=8542&figure=auger,https://www.figurerealm.com/galleries/inhumanoids/thumb_Auger1.jpg,https://www.figurerealm.com/galleries/inhumanoids/thumb_Auger-Front.jpg,"Figure Realm subseries: 6"" Figures. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image."
Inhumanoids,Inhumanoids,Inhumanoids,Hasbro,1986,"6"" Figures",Dr. Derek Bright,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=8543&figure=drderekbright7641,https://www.figurerealm.com/galleries/inhumanoids/thumb_Bright1.jpg,https://www.figurerealm.com/galleries/inhumanoids/thumb_Bright-Front.jpg,"Figure Realm subseries: 6"" Figures. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image."
Inhumanoids,Inhumanoids,Inhumanoids,Hasbro,1986,"6"" Figures",Herc Armstrong,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=8544&figure=hercarmstrong7640,https://www.figurerealm.com/galleries/inhumanoids/thumb_Herc1.jpg,https://www.figurerealm.com/galleries/inhumanoids/thumb_Herc-Front.jpg,"Figure Realm subseries: 6"" Figures. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image."
Inhumanoids,Inhumanoids,Inhumanoids,Hasbro,1986,"6"" Figures",Liquidator,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=8545&figure=liquidator,https://www.figurerealm.com/galleries/inhumanoids/thumb_Liquidator1.jpg,https://www.figurerealm.com/galleries/inhumanoids/thumb_Liquidator-Front.jpg,"Figure Realm subseries: 6"" Figures. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image."
Inhumanoids,Inhumanoids,Inhumanoids,Hasbro,1986,"7"" Figures",Granites,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=8546&figure=granites,https://www.figurerealm.com/galleries/inhumanoids/thumb_Granites1.jpg,,"Figure Realm subseries: 7"" Figures. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image."
Inhumanoids,Inhumanoids,Inhumanoids,Hasbro,1986,"7"" Figures",Granok Mutore,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=8547&figure=granokmutore,https://www.figurerealm.com/galleries/inhumanoids/thumb_Granok1.jpg,https://www.figurerealm.com/galleries/inhumanoids/thumb_Granok-Front.jpg,"Figure Realm subseries: 7"" Figures. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image."
Inhumanoids,Inhumanoids,Inhumanoids,Hasbro,1986,"7"" Figures",Magnokor,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=8548&figure=magnokor,https://www.figurerealm.com/galleries/inhumanoids/thumb_Magnokor1.jpg,,"Figure Realm subseries: 7"" Figures. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image."
