franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Jem,Jem and the Holograms,Vintage Jem,Hasbro,1986,Wave 1,Aja,vintage,RockJem,https://rockjem.com/dolls1986.html#aja,https://rockjem.com/images/dolls/dollajab.png,https://rockjem.com/images/dolls/dollajab.png,Loose photo matched from RockJem title: Aja. Packaged/front photo matched from Figure Realm title: Aja.
Jem,Jem and the Holograms,Vintage Jem,Hasbro,1986,Wave 1,Award Night,vintage,RockJem,https://rockjem.com/fashions1986.html#osan,https://rockjem.com/images/dolls/fashionos10.png,,Loose photo matched from RockJem title: Award Night. No verified packaged/front photo match found during Figure Realm pass.
Jem,Jem and the Holograms,Vintage Jem,Hasbro,1986,Wave 1,City Lights,vintage,RockJem,https://rockjem.com/fashions1986.html#fscl,https://rockjem.com/images/dolls/fashionfs13.png,,Loose photo matched from RockJem title: City Lights. No verified packaged/front photo match found during Figure Realm pass.
Jem,Jem and the Holograms,Vintage Jem,Hasbro,1986,Wave 1,Command Performance,vintage,RockJem,https://rockjem.com/fashions1986.html#oscp,https://rockjem.com/images/dolls/fashionos4.png,,Loose photo matched from RockJem title: Command Performance. No verified packaged/front photo match found during Figure Realm pass.
Jem,Jem and the Holograms,Vintage Jem,Hasbro,1986,Wave 1,Dancin' the Night Away,vintage,RockJem,https://rockjem.com/fashions1986.html#osdtna,https://rockjem.com/images/dolls/fashionos6.png,,Loose photo matched from RockJem title: Dancin' The Night Away. No verified packaged/front photo match found during Figure Realm pass.
Jem,Jem and the Holograms,Vintage Jem,Hasbro,1986,Wave 1,Encore,vintage,RockJem,https://rockjem.com/fashions1986.html#ose,https://rockjem.com/images/dolls/fashionos9.png,,Loose photo matched from RockJem title: Encore. No verified packaged/front photo match found during Figure Realm pass.
Jem,Jem and the Holograms,Vintage Jem,Hasbro,1986,Wave 1,Gettin' Down To Business,vintage,RockJem,https://rockjem.com/fashions1986.html#fsgdtb,https://rockjem.com/images/dolls/fashionfs12.png,,Loose photo matched from RockJem title: Gettin' Down To Business. No verified packaged/front photo match found during Figure Realm pass. Normalized name from Access entry: Gettin Down to Business.
Jem,Jem and the Holograms,Vintage Jem,Hasbro,1986,Wave 1,Glitter 'n Gold Roadster,vintage,RockJem,https://rockjem.com/images/dolls/playsetrockinroadstergng2.jpg,https://rockjem.com/images/dolls/playsetrockinroadstergng2.jpg,,Loose photo matched from RockJem title: Glitter 'n Gold Roadster. No verified packaged/front photo match found during Figure Realm pass. Normalized name from Access entry: Glitter and Gold Roadster.
Jem,Jem and the Holograms,Vintage Jem,Hasbro,1986,Wave 1,Jem/Jerrica,vintage,RockJem,https://rockjem.com/dolls1986.html#jem,https://rockjem.com/images/dolls/dolljemc.png,https://rockjem.com/images/dolls/dolljemc.png,Loose photo matched from RockJem title: Jem/Jerrica. Packaged/front photo matched from Figure Realm title: Jem / Jerrica. Normalized name from Access entry: Jem / Jerica.
Jem,Jem and the Holograms,Vintage Jem,Hasbro,1986,Wave 1,Just Misbehavin',vintage,RockJem,https://rockjem.com/fashions1986.html#sjm,https://rockjem.com/images/dolls/fashions11.png,,Loose photo matched from RockJem title: Just Misbehavin'. No verified packaged/front photo match found during Figure Realm pass. Normalized name from Access entry: Just Misbehavin.
Jem,Jem and the Holograms,Vintage Jem,Hasbro,1986,Wave 1,KJEM Rock On Guitar,vintage,Collectables Access DB / RockJem,https://rockjem.com/dollsidentify.html,,,No verified loose photo match found during RockJem pass. No verified packaged/front photo match found during Figure Realm pass.
Jem,Jem and the Holograms,Vintage Jem,Hasbro,1986,Wave 1,Kimber,vintage,RockJem,https://rockjem.com/dolls1986.html#kimber,https://rockjem.com/images/dolls/dollkimberb.png,https://rockjem.com/images/dolls/dollkimberb.png,Loose photo matched from RockJem title: Kimber. Packaged/front photo matched from Figure Realm title: Kimber.
Jem,Jem and the Holograms,Vintage Jem,Hasbro,1986,Wave 1,Let the Music Play,vintage,RockJem,https://rockjem.com/fashions1986.html#sltmp,https://rockjem.com/images/dolls/fashions12.png,,Loose photo matched from RockJem title: Let the Music Play. No verified packaged/front photo match found during Figure Realm pass.
Jem,Jem and the Holograms,Vintage Jem,Hasbro,1986,Wave 1,Let's Rock this Town,vintage,RockJem,https://rockjem.com/fashions1986.html#fslrtt,https://rockjem.com/images/dolls/fashionfs10.png,,Loose photo matched from RockJem title: Let's Rock This Town. No verified packaged/front photo match found during Figure Realm pass.
Jem,Jem and the Holograms,Vintage Jem,Hasbro,1986,Wave 1,Like a Dream,vintage,RockJem,https://rockjem.com/fashions1986.html#fslad,https://rockjem.com/images/dolls/fashionfs.png,,Loose photo matched from RockJem title: Like A Dream. No verified packaged/front photo match found during Figure Realm pass.
Jem,Jem and the Holograms,Vintage Jem,Hasbro,1986,Wave 1,Mail In: MTV Jacket,vintage,Collectables Access DB / RockJem,https://rockjem.com/dollsidentify.html,,,No verified loose photo match found during RockJem pass. No verified packaged/front photo match found during Figure Realm pass.
Jem,Jem and the Holograms,Vintage Jem,Hasbro,1986,Wave 1,Mail In: Rama Llama,vintage,Collectables Access DB / RockJem,https://rockjem.com/dollsidentify.html,,,No verified loose photo match found during RockJem pass. No verified packaged/front photo match found during Figure Realm pass.
Jem,Jem and the Holograms,Vintage Jem,Hasbro,1986,Wave 1,Makin' Mischief,vintage,RockJem,https://rockjem.com/fashions1986.html#smm,https://rockjem.com/images/dolls/fashions.png,,Loose photo matched from RockJem title: Makin' Mischief. No verified packaged/front photo match found during Figure Realm pass. Normalized name from Access entry: Makin Mischief.
Jem,Jem and the Holograms,Vintage Jem,Hasbro,1986,Wave 1,Music in the Air,vintage,RockJem,https://rockjem.com/fashions1986.html#fsmita,https://rockjem.com/images/dolls/fashionfs6.png,,Loose photo matched from RockJem title: Music In the Air. No verified packaged/front photo match found during Figure Realm pass.
Jem,Jem and the Holograms,Vintage Jem,Hasbro,1986,Wave 1,Music is Magic,vintage,RockJem,https://rockjem.com/fashions1986.html#osmim,https://rockjem.com/images/dolls/fashionos5.png,,Loose photo matched from RockJem title: Music Is Magic. No verified packaged/front photo match found during Figure Realm pass.
Jem,Jem and the Holograms,Vintage Jem,Hasbro,1986,Wave 1,New Wave Waterbed,vintage,Collectables Access DB / RockJem,https://rockjem.com/dollsidentify.html,,,No verified loose photo match found during RockJem pass. No verified packaged/front photo match found during Figure Realm pass.
