franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Karate Kid,Karate Kid,Karate Kid,Remco,1986,Accessories,Attack Alley & Training Center,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=9092&figure=attackalleyamptrainingcenter,https://www.figurerealm.com/galleries/karatekid/thumb_TrainingCenter1.jpg,https://www.figurerealm.com/galleries/karatekid/thumb_TrainingCenter-Front.jpg,Figure Realm subseries: Accessories. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Karate Kid,Karate Kid,Karate Kid,Remco,1986,Accessories,Break-Away Challenge Playset,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=161191&figure=breakawaychallengeplayset,,https://www.figurerealm.com/galleries/karatekid/thumb_BreakAwayChallengePlayset-Front.jpg,Figure Realm subseries: Accessories. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Karate Kid,Karate Kid,Karate Kid,Remco,1986,Accessories,Competition Center,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=9091&figure=competitioncenter,,https://www.figurerealm.com/galleries/karatekid/thumb_CompetitionCenter-Front.jpg,Figure Realm subseries: Accessories. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Karate Kid,Karate Kid,Karate Kid,Re,1986,Accessories,Corner Challenge Playset,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=161190&figure=cornerchallengeplayset,,https://www.figurerealm.com/galleries/karatekid/thumb_CornerChallengePlayset-Front.jpg,Figure Realm subseries: Accessories. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Karate Kid,Karate Kid,Karate Kid,Remco,1986,Accessories,Sato's Cannery,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=9093&figure=satoscannery,,https://www.figurerealm.com/galleries/karatekid/thumb_SatosCannery-Front.jpg,Figure Realm subseries: Accessories. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Karate Kid,Karate Kid,Karate Kid,Remco,1986,Basic Series,Chozen (Break-Away Fighting Poles),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=30915&figure=chozentoguchibreakawayfightingpoles,,https://www.figurerealm.com/galleries/karatekid/thumb_ChozenFightingPoles-Front.jpg,Figure Realm subseries: Basic Series. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Karate Kid,Karate Kid,Karate Kid,Remco,1986,Basic Series,Chozen (Break-Away Wood),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=9090&figure=chozentoguchibreakawaywood320,,https://www.figurerealm.com/galleries/karatekid/thumb_ChozenBoard-Front.jpg,Figure Realm subseries: Basic Series. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Karate Kid,Karate Kid,Karate Kid,Remco,1986,Basic Series,Daniel-san (Break-Away Board),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=30912&figure=danielsanbreakawayboard,,https://www.figurerealm.com/galleries/karatekid/thumb_DanielBoard-Front.jpg,Figure Realm subseries: Basic Series. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Karate Kid,Karate Kid,Karate Kid,Remco,1986,Basic Series,Daniel-san (Break-Away Ice) (Gold Shirt),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=167210&figure=danielsanbreakawayicegoldshirt,,https://www.figurerealm.com/galleries/karatekid/thumb_DanielSan-BreakAwayIce-GoldShirt-Front.jpg,Figure Realm subseries: Basic Series. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Karate Kid,Karate Kid,Karate Kid,Remco,1986,Basic Series,Daniel-san (Break-Away Ice) (Red Shirt),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=9084&figure=danielsanbreakawayiceredshirt,,https://www.figurerealm.com/galleries/karatekid/thumb_DanielIce-Front.jpg,Figure Realm subseries: Basic Series. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
