franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
GoBots,Machine Robo,Machine Robo,Bandai,1982,600 Series,Battle Robo (MR-02),vintage,Transformerland,https://www.transformerland.com/wiki/toy-info/gobots-machine-robo-600-series-battle-robo-mr-02-/114830/,https://www.transformerland.com/image/reference_images/114836.jpg,,Japanese original Machine Robo release from Transformerland. Transformerland subgroup: 600 Series. User-facing name stored in romaji. Main image from Transformerland item page. Transformerland did not expose a distinct packaged image separate from the main photo.
GoBots,Machine Robo,Machine Robo,Bandai,1982,600 Series,Bike Robo (MR-01),vintage,Transformerland,https://www.transformerland.com/wiki/toy-info/gobots-machine-robo-600-series-bike-robo-mr-01-/114823/,https://www.transformerland.com/image/reference_images/114829.jpg,,Japanese original Machine Robo release from Transformerland. Transformerland subgroup: 600 Series. User-facing name stored in romaji. Main image from Transformerland item page. Transformerland did not expose a distinct packaged image separate from the main photo.
GoBots,Machine Robo,Machine Robo,Bandai,1982,600 Series,Buggy Robo (MR-08),vintage,Transformerland,https://www.transformerland.com/wiki/toy-info/gobots-machine-robo-600-series-buggy-robo-mr-08-/114872/,https://www.transformerland.com/image/reference_images/200140.jpg,,Japanese original Machine Robo release from Transformerland. Transformerland subgroup: 600 Series. User-facing name stored in romaji. Main image from Transformerland item page. Transformerland did not expose a distinct packaged image separate from the main photo.
GoBots,Machine Robo,Machine Robo,Bandai,1982,600 Series,Bulldozer Robo (MR-11),vintage,Transformerland,https://www.transformerland.com/wiki/toy-info/gobots-machine-robo-600-series-bulldozer-robo-mr-11-/114893/,https://static.wikia.nocookie.net/gobots/images/0/0a/Bulldozer_Robo.png/revision/latest/scale-to-width-down/247?cb=20150409153407,,Japanese original Machine Robo release from Transformerland. Transformerland subgroup: 600 Series. User-facing name stored in romaji. No separate main image exposed on Transformerland item page. No packaged image exposed on Transformerland item page. Main image from Machine Robo Wiki (Fandom) page: Bulldozer Robo.
GoBots,Machine Robo,Machine Robo,Bandai,1982,600 Series,Dump Robo (MR-09),vintage,Transformerland,https://www.transformerland.com/wiki/toy-info/gobots-machine-robo-600-series-dump-robo-mr-09-/114879/,,,Japanese original Machine Robo release from Transformerland. Transformerland subgroup: 600 Series. User-facing name stored in romaji. No separate main image exposed on Transformerland item page. No packaged image exposed on Transformerland item page.
GoBots,Machine Robo,Machine Robo,Bandai,1982,600 Series,Fire Robo (MR-10),vintage,Transformerland,https://www.transformerland.com/wiki/toy-info/gobots-machine-robo-600-series-fire-robo-mr-10-/114886/,https://www.transformerland.com/image/reference_images/200111.jpg,,Japanese original Machine Robo release from Transformerland. Transformerland subgroup: 600 Series. User-facing name stored in romaji. Main image from Transformerland item page. Transformerland did not expose a distinct packaged image separate from the main photo.
GoBots,Machine Robo,Machine Robo,Bandai,1982,600 Series,Gyro Robo (MR-04),vintage,Transformerland,https://www.transformerland.com/wiki/toy-info/gobots-machine-robo-600-series-gyro-robo-mr-04-/114844/,https://www.transformerland.com/image/reference_images/114850.jpg,,Japanese original Machine Robo release from Transformerland. Transformerland subgroup: 600 Series. User-facing name stored in romaji. Main image from Transformerland item page. Transformerland did not expose a distinct packaged image separate from the main photo.
GoBots,Machine Robo,Machine Robo,Bandai,1982,600 Series,Highway Robo (MR-06),vintage,Transformerland,https://www.transformerland.com/wiki/toy-info/gobots-machine-robo-600-series-highway-robo-mr-06-/114858/,https://www.transformerland.com/image/reference_images/114864.jpg,,Japanese original Machine Robo release from Transformerland. Transformerland subgroup: 600 Series. User-facing name stored in romaji. Main image from Transformerland item page. Transformerland did not expose a distinct packaged image separate from the main photo.
GoBots,Machine Robo,Machine Robo,Bandai,1982,600 Series,Jet Robo (MR-03),vintage,Transformerland,https://www.transformerland.com/wiki/toy-info/gobots-machine-robo-600-series-jet-robo-mr-03-/114837/,https://www.transformerland.com/image/reference_images/200002.jpg,,Japanese original Machine Robo release from Transformerland. Transformerland subgroup: 600 Series. User-facing name stored in romaji. Main image from Transformerland item page. Transformerland did not expose a distinct packaged image separate from the main photo.
GoBots,Machine Robo,Machine Robo,Bandai,1982,600 Series,Shinkansen Robo (blue) (MR-12),vintage,Transformerland,https://www.transformerland.com/wiki/toy-info/gobots-machine-robo-600-series-shinkansen-robo-blue-mr-12-/116568/,,,Japanese original Machine Robo release from Transformerland. Transformerland subgroup: 600 Series. User-facing name stored in romaji. No separate main image exposed on Transformerland item page. No packaged image exposed on Transformerland item page.
