franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Madballs,Madballs,Madballs,AmToy,1986,Head Popping,Bruise Brother,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40446&figure=bruisebrother,https://www.figurerealm.com/galleries/madballs/thumb_BruiseBrother1-HP.jpg,,Figure Realm subseries: Head Popping. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Head Popping,Dust Brain,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40445&figure=dustbrain,https://www.figurerealm.com/galleries/madballs/thumb_DustBrain1-HP.jpg,,Figure Realm subseries: Head Popping. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Head Popping,Horn Head,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=50785&figure=hornhead,https://www.figurerealm.com/galleries/madballs/thumb_HornHead-HP-1.jpg,,Figure Realm subseries: Head Popping. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Head Popping,Lock Lips,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=51032&figure=locklips4700,,https://www.figurerealm.com/galleries/madballs/thumb_LockLips-HP-Front.jpg,Figure Realm subseries: Head Popping. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Head Popping,Oculus Orbus,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=20629&figure=oculusorbus,https://www.figurerealm.com/galleries/madballs/thumb_OculusOrbus1-HP.jpg,,Figure Realm subseries: Head Popping. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Head Popping,Screamin' Meemie,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40447&figure=screaminmeemie,https://www.figurerealm.com/galleries/madballs/thumb_ScreaminMeemie1-HP.jpg,,Figure Realm subseries: Head Popping. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Head Popping,Skull Face,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=20827&figure=skullface,https://www.figurerealm.com/galleries/madballs/thumb_SkullFace1-HP.jpg,,Figure Realm subseries: Head Popping. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Head Popping,Slobulus,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=50786&figure=slobulus,https://www.figurerealm.com/galleries/madballs/thumb_Slobulus-HP-1.jpg,,Figure Realm subseries: Head Popping. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Head Popping,Wolf Breath,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=21094&figure=wolfbreath,https://www.figurerealm.com/galleries/madballs/thumb_WolfBreath1-HP.jpg,,Figure Realm subseries: Head Popping. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Series 1,Aargh,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40451&figure=aargh,https://www.figurerealm.com/galleries/madballs/thumb_Aargh1.jpg,,Figure Realm subseries: Series 1. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Series 1,Bash Brain,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40453&figure=bashbrain,https://www.figurerealm.com/galleries/madballs/thumb_BashBrain1.jpg,,Figure Realm subseries: Series 1. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Series 1,Crack Head,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40465&figure=crackhead,https://www.figurerealm.com/galleries/madballs/thumb_CrackHead1.jpg,https://www.figurerealm.com/galleries/madballs/thumb_CrackHead-Front.jpg,Figure Realm subseries: Series 1. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Series 1,Dust Brain,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40457&figure=dustbrain,https://www.figurerealm.com/galleries/madballs/thumb_DustBrain1.jpg,https://www.figurerealm.com/galleries/madballs/thumb_DustBrain-Front.jpg,Figure Realm subseries: Series 1. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Series 1,Horn Head,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40452&figure=hornhead,https://www.figurerealm.com/galleries/madballs/thumb_HornHead1.jpg,,Figure Realm subseries: Series 1. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Series 1,Oculus Orbus,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40455&figure=oculusorbus,https://www.figurerealm.com/galleries/madballs/thumb_OculusOrbus1.jpg,,Figure Realm subseries: Series 1. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Series 1,Screamin' Meemie,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40454&figure=screaminmeemie,https://www.figurerealm.com/galleries/madballs/thumb_ScreaminMeemie1.jpg,,Figure Realm subseries: Series 1. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Series 1,Skull Face,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40456&figure=skullface,https://www.figurerealm.com/galleries/madballs/thumb_SkullFace1.jpg,,Figure Realm subseries: Series 1. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Series 1,Slobulus,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40450&figure=slobulus,https://www.figurerealm.com/galleries/madballs/thumb_Slobulus1.jpg,,Figure Realm subseries: Series 1. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Series 2,Bruise Brother,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40462&figure=bruisebrother,https://www.figurerealm.com/galleries/madballs/thumb_BruiseBrother1.jpg,https://www.figurerealm.com/galleries/madballs/thumb_BruiseBrother-Front.jpg,Figure Realm subseries: Series 2. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Series 2,Fist Face,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40458&figure=fistface,https://www.figurerealm.com/galleries/madballs/thumb_FistFace1.jpg,https://www.figurerealm.com/galleries/madballs/thumb_FistFace-Front.jpg,Figure Realm subseries: Series 2. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Series 2,Freaky Fullback,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40461&figure=freakyfullback,https://www.figurerealm.com/galleries/madballs/thumb_FreakyFullback1.jpg,https://www.figurerealm.com/galleries/madballs/thumb_FreakyFullback-Front.jpg,Figure Realm subseries: Series 2. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Series 2,Lock Lips,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40460&figure=locklips,https://www.figurerealm.com/galleries/madballs/thumb_LockLips1.jpg,https://www.figurerealm.com/galleries/madballs/thumb_LockLips-Front.jpg,Figure Realm subseries: Series 2. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Series 2,Snake Bait,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40463&figure=snakebait,,https://www.figurerealm.com/galleries/madballs/thumb_SnakeBait-Front.jpg,Figure Realm subseries: Series 2. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Series 2,Splitting Headache,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40459&figure=splittingheadache,https://www.figurerealm.com/galleries/madballs/thumb_SplittingHeadache1.jpg,,Figure Realm subseries: Series 2. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Series 2,Swine Sucker,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40449&figure=swinesucker,https://www.figurerealm.com/galleries/madballs/thumb_SwineSucker1.jpg,https://www.figurerealm.com/galleries/madballs/thumb_SwineSucker-Front.jpg,Figure Realm subseries: Series 2. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Series 2,Wolf Breath,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40464&figure=wolfbreath,https://www.figurerealm.com/galleries/madballs/thumb_WolfBreath1.jpg,https://www.figurerealm.com/galleries/madballs/thumb_WolfBreath-Front.jpg,Figure Realm subseries: Series 2. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Super Madballs,Foul Shot,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40484&figure=foulshot,https://www.figurerealm.com/galleries/madballs/thumb_FoulShot1-Super.jpg,,Figure Realm subseries: Super Madballs. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Super Madballs,Goal Eater,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40483&figure=goaleater,https://www.figurerealm.com/galleries/madballs/thumb_GoalEater1-Super.jpg,,Figure Realm subseries: Super Madballs. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Super Madballs,Touchdown Terror,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40466&figure=touchdownterror,https://www.figurerealm.com/galleries/madballs/thumb_TouchDownTerror1-Super.jpg,,Figure Realm subseries: Super Madballs. Loose photo from Figure Realm checklist image. No packaged/front photo exposed on Figure Realm checklist image.
Madballs,Madballs,Madballs,AmToy,1986,Vehicles,Mad Rollercycle,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=40448&figure=madrollercycle,https://www.figurerealm.com/galleries/madballs/thumb_MadRollercycle1.jpg,https://www.figurerealm.com/galleries/madballs/thumb_MadRollercycle-Front.jpg,Figure Realm subseries: Vehicles. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
