franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1985,Series 1,Condor,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10532&figure=condor,https://www.transformerland.com/image/reference_images/38570.jpg,https://www.figurerealm.com/galleries/mask/thumb_Condor-Front.jpg,Figure Realm subseries: Series 1. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1985,Series 1,Firecracker,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10533&figure=firecracker,https://www.transformerland.com/image/reference_images/38585.jpg,https://www.figurerealm.com/galleries/mask/thumb_Firecracker-Front.jpg,Figure Realm subseries: Series 1. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1985,Series 1,Gator,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10529&figure=gator,https://www.transformerland.com/image/reference_images/38602.jpg,https://www.figurerealm.com/galleries/mask/thumb_Gator-Front.jpg,Figure Realm subseries: Series 1. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1985,Series 1,Jackhammer,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10530&figure=jackhammer,https://www.transformerland.com/image/reference_images/38668.jpg,https://www.figurerealm.com/galleries/mask/thumb_Jackhammer-Front.jpg,Figure Realm subseries: Series 1. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1985,Series 1,Piranha,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10534&figure=piranha,https://www.transformerland.com/image/reference_images/38683.jpg,https://www.figurerealm.com/galleries/mask/thumb_Piranha-Front.jpg,Figure Realm subseries: Series 1. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1985,Series 1,Rhino,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10535&figure=rhino,https://www.transformerland.com/image/reference_images/38621.jpg,https://www.figurerealm.com/galleries/mask/thumb_Rhino-Front.jpg,Figure Realm subseries: Series 1. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1985,Series 1,Switchblade,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10531&figure=switchblade,https://www.transformerland.com/image/reference_images/38796.jpg,https://www.figurerealm.com/galleries/mask/thumb_Switchblade-Front.jpg,Figure Realm subseries: Series 1. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1985,Series 1,Thunder Hawk,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10536&figure=thunderhawk,https://www.figurerealm.com/galleries/mask/thumb_Thunderhawk1.jpg,https://www.figurerealm.com/galleries/mask/thumb_Thunderhawk-Front.jpg,Figure Realm subseries: Series 1. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1986,2-Packs,Alex Sector / Buddie Hawks,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10545&figure=alexsectorbuddiehawks,,https://www.figurerealm.com/galleries/mask/thumb_SectorHawks-Front.jpg,Figure Realm subseries: 2-Packs. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1986,2-Packs,Bruce Sato / Brad Turner,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10546&figure=brucesatobradturner,,https://www.figurerealm.com/galleries/mask/thumb_SatoTurner-Front.jpg,Figure Realm subseries: 2-Packs. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1986,2-Packs,Cliff Dagger / Sly Rax,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10547&figure=cliffdaggerslyrax,,https://www.figurerealm.com/galleries/mask/thumb_DaggerRaxx-Front.jpg,Figure Realm subseries: 2-Packs. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1986,2-Packs,Matt Trakker / Hondo Mac Lean,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10548&figure=matttrakkerhondomaclean,,https://www.figurerealm.com/galleries/mask/thumb_TrakkerLean-Front.jpg,Figure Realm subseries: 2-Packs. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1986,2-Packs,Matt Trakker / Miles Mayhem,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10549&figure=matttrakkermilesmayhem,,https://www.figurerealm.com/galleries/mask/thumb_TrakkerMayhem-Front.jpg,Figure Realm subseries: 2-Packs. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1986,2-Packs,T-Bob / Scott Trakker,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10550&figure=tbobscotttrakker,,https://www.figurerealm.com/galleries/mask/thumb_TBob-Front.jpg,Figure Realm subseries: 2-Packs. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1986,Adventure Packs,Bruce Sato (Rescue Mission),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10551&figure=brucesatorescuemission,,https://www.figurerealm.com/galleries/mask/thumb_RescueMission-Front.jpg,Figure Realm subseries: Adventure Packs. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1986,Adventure Packs,Matt Trakker (Coast Patrol),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10552&figure=matttrakkercoastpatrol,,https://www.figurerealm.com/galleries/mask/thumb_CoastPatrol-Front.jpg,Figure Realm subseries: Adventure Packs. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1986,Adventure Packs,Matt Trakker (Jungle Challenge),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10553&figure=matttrakkerjunglechallenge,,https://www.figurerealm.com/galleries/mask/thumb_JungleChallenge-Front.jpg,Figure Realm subseries: Adventure Packs. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1986,Adventure Packs,Miles Mayhem (Venom's Revenge),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10554&figure=milesmayhemvenomsrevenge,,https://www.figurerealm.com/galleries/mask/thumb_VenomsRevenge-Front.jpg,Figure Realm subseries: Adventure Packs. No separate loose photo exposed on Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1986,Die Cast,Thunder Hawk,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=88030&figure=thunderhawk,https://www.figurerealm.com/galleries/mask/thumb_ThunderHawk-Diecast-1.jpg,https://www.figurerealm.com/galleries/mask/thumb_ThunderHawk-Diecast-Front.jpg,Figure Realm subseries: Die Cast. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1986,Series 2,Firefly,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10537&figure=firefly,https://www.transformerland.com/image/reference_images/38698.jpg,https://www.figurerealm.com/galleries/mask/thumb_Firefly-Front.jpg,Figure Realm subseries: Series 2. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1986,Series 2,Hurricane,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10538&figure=hurricane,https://www.transformerland.com/image/reference_images/38713.jpg,https://www.figurerealm.com/galleries/mask/thumb_Hurricane-Front.jpg,Figure Realm subseries: Series 2. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1986,Series 2,Outlaw,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10539&figure=outlaw,https://www.transformerland.com/image/reference_images/38780.jpg,https://www.figurerealm.com/galleries/mask/thumb_Outlaw-Front.jpg,Figure Realm subseries: Series 2. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1986,Series 2,Raven,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10540&figure=raven,https://www.transformerland.com/image/reference_images/38728.jpg,https://www.figurerealm.com/galleries/mask/thumb_Raven-Front.jpg,Figure Realm subseries: Series 2. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1986,Series 2,Slingshot,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10541&figure=slingshot,https://www.transformerland.com/image/reference_images/38745.jpg,https://www.figurerealm.com/galleries/mask/thumb_Slingshot-Front.jpg,Figure Realm subseries: Series 2. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1986,Series 2,Stinger,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10544&figure=stinger,https://www.transformerland.com/image/reference_images/38811.jpg,https://www.figurerealm.com/galleries/mask/thumb_Stinger-Front.jpg,Figure Realm subseries: Series 2. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1986,Series 2,Vampire,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10542&figure=vampire,https://www.transformerland.com/image/reference_images/38826.jpg,https://www.figurerealm.com/galleries/mask/thumb_Vampire-Front.jpg,Figure Realm subseries: Series 2. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1986,Series 2,Volcano,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10543&figure=volcano,https://www.transformerland.com/image/reference_images/38763.jpg,https://www.figurerealm.com/galleries/mask/thumb_Volcano-Front.jpg,Figure Realm subseries: Series 2. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1987,Playsets,Boulder Hill,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=29048&figure=boulderhill,https://www.transformerland.com/image/reference_images/40145.jpg,https://www.figurerealm.com/galleries/mask/thumb_BoulderHill-Playset-Front.jpg,Figure Realm subseries: Playsets. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1987,Racing Series,Billboard Blast,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=36271&figure=billboardblast,https://www.transformerland.com/image/reference_images/38841.jpg,https://www.figurerealm.com/galleries/mask/thumb_BillboardBlast-Front.jpg,Figure Realm subseries: Racing Series. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1987,Racing Series,Bulldog (Boris Bushkin),vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10555&figure=bulldogborisbushkin,https://www.figurerealm.com/galleries/mask/thumb_Bulldog1.jpg,https://www.figurerealm.com/galleries/mask/thumb_Bulldog-Front.jpg,Figure Realm subseries: Racing Series. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1987,Racing Series,Bullet,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10556&figure=bullet,https://www.transformerland.com/image/reference_images/38871.jpg,https://www.figurerealm.com/galleries/mask/thumb_Bullet2-Front.jpg,Figure Realm subseries: Racing Series. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1987,Racing Series,Buzzard,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10557&figure=buzzard,https://www.transformerland.com/image/reference_images/38973.jpg,https://www.figurerealm.com/galleries/mask/thumb_Buzzard-Front.jpg,Figure Realm subseries: Racing Series. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1987,Racing Series,Collector,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=36272&figure=collector,https://www.figurerealm.com/galleries/mask/thumb_Collector1.jpg,https://www.figurerealm.com/galleries/mask/thumb_Collector-Front.jpg,Figure Realm subseries: Racing Series. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1987,Racing Series,Goliath,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10558&figure=goliath,https://www.transformerland.com/image/reference_images/38888.jpg,https://www.figurerealm.com/galleries/mask/thumb_Goliath-Front.jpg,Figure Realm subseries: Racing Series. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1987,Racing Series,Iguana,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10559&figure=iguana,https://www.transformerland.com/image/reference_images/38992.jpg,https://www.figurerealm.com/galleries/mask/thumb_Iguana-Front.jpg,Figure Realm subseries: Racing Series. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1987,Racing Series,Manta,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10560&figure=manta,https://www.transformerland.com/image/reference_images/39007.jpg,https://www.figurerealm.com/galleries/mask/thumb_Manta-Front.jpg,Figure Realm subseries: Racing Series. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1987,Racing Series,Meteor,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10561&figure=meteor,https://www.transformerland.com/image/reference_images/38907.jpg,https://www.figurerealm.com/galleries/mask/thumb_Meteor-Front.jpg,Figure Realm subseries: Racing Series. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1987,Racing Series,Pit Stop Catapult,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=36273&figure=pitstopcatapult,https://www.transformerland.com/image/reference_images/39022.jpg,https://www.figurerealm.com/galleries/mask/thumb_PitStopCatapult-Front.jpg,Figure Realm subseries: Racing Series. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
M.A.S.K.,M.A.S.K.,M.A.S.K.,Kenner,1987,Racing Series,Razorback,vintage,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=10562&figure=razorback,https://www.transformerland.com/image/reference_images/38924.jpg,https://www.figurerealm.com/galleries/mask/thumb_Razorback-Front.jpg,Figure Realm subseries: Racing Series. Loose photo from Figure Realm checklist image. Packaged/front photo from Figure Realm checklist image.
