franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Mego Dolls,Action Jackson,Action Jackson Accessories,Mego,1971,,Fire Rescue Pack,accessory,The Toy Collectors Guide,https://thetoycollectorsguide.com/action-jackson/,Curated from The Toy Collectors Guide Action Jackson page.,https://thetoycollectorsguide.com/wp-content/uploads/2024/12/img_9567-1.jpg,
Mego Dolls,Action Jackson,Action Jackson Accessories,Mego,1971,,Parachute Plunge,figure,The Toy Collectors Guide,https://thetoycollectorsguide.com/action-jackson/,Curated from The Toy Collectors Guide Action Jackson page.,https://thetoycollectorsguide.com/wp-content/uploads/2020/11/img_3986.jpg,
Mego Dolls,Action Jackson,Action Jackson Figures,Mego,1971,,Action Jackson African American,figure,The Toy Collectors Guide,https://thetoycollectorsguide.com/action-jackson/,Curated from The Toy Collectors Guide Action Jackson page.,https://thetoycollectorsguide.com/wp-content/uploads/2020/11/img_3947-1.jpg,
Mego Dolls,Action Jackson,Action Jackson Figures,Mego,1971,,Action Jackson Bearded (Dark Blue),figure,The Toy Collectors Guide,https://thetoycollectorsguide.com/action-jackson/,Curated from The Toy Collectors Guide Action Jackson page.,https://thetoycollectorsguide.com/wp-content/uploads/2020/11/img_3944.jpg,
Mego Dolls,Action Jackson,Action Jackson Figures,Mego,1971,,Action Jackson Bearded (Light Blue),figure,The Toy Collectors Guide,https://thetoycollectorsguide.com/action-jackson/,Curated from The Toy Collectors Guide Action Jackson page.,https://thetoycollectorsguide.com/wp-content/uploads/2020/11/img_3949.jpg,
Mego Dolls,Action Jackson,Action Jackson Figures,Mego,1971,,Action Jackson Red/Blonde Hair (Dark Blue),figure,The Toy Collectors Guide,https://thetoycollectorsguide.com/action-jackson/,Curated from The Toy Collectors Guide Action Jackson page.,https://thetoycollectorsguide.com/wp-content/uploads/2020/11/img_3943.jpg,
Mego Dolls,Action Jackson,Action Jackson Figures,Mego,1971,,Action Jackson Red/Blonde Hair (Light Blue),figure,The Toy Collectors Guide,https://thetoycollectorsguide.com/action-jackson/,Curated from The Toy Collectors Guide Action Jackson page.,https://thetoycollectorsguide.com/wp-content/uploads/2020/11/img_3948.jpg,
Mego Dolls,Action Jackson,Action Jackson Figures,Mego,1971,,Action Jackson White (Dark Blue),figure,The Toy Collectors Guide,https://thetoycollectorsguide.com/action-jackson/,Curated from The Toy Collectors Guide Action Jackson page.,https://thetoycollectorsguide.com/wp-content/uploads/2020/11/img_3946.jpg,
Mego Dolls,Action Jackson,Action Jackson Figures,Mego,1971,,Action Jackson White (Light Blue),figure,The Toy Collectors Guide,https://thetoycollectorsguide.com/action-jackson/,Curated from The Toy Collectors Guide Action Jackson page.,https://thetoycollectorsguide.com/wp-content/uploads/2020/11/img_3970.jpg,
Mego Dolls,Action Jackson,Action Jackson Outfit Sets,Mego,1971,,Air Force Outfit,accessory,The Toy Collectors Guide,https://thetoycollectorsguide.com/action-jackson/,Curated from The Toy Collectors Guide Action Jackson page.,https://thetoycollectorsguide.com/wp-content/uploads/2020/11/img_4061.jpg,
Mego Dolls,Action Jackson,Action Jackson Outfit Sets,Mego,1971,,Aussie Marine Outfit,accessory,The Toy Collectors Guide,https://thetoycollectorsguide.com/action-jackson/,Curated from The Toy Collectors Guide Action Jackson page.,https://thetoycollectorsguide.com/wp-content/uploads/2020/11/img_4071.jpg,
Mego Dolls,Action Jackson,Action Jackson Outfit Sets,Mego,1971,,Golf Outfit,accessory,The Toy Collectors Guide,https://thetoycollectorsguide.com/action-jackson/,Curated from The Toy Collectors Guide Action Jackson page.,https://thetoycollectorsguide.com/wp-content/uploads/2020/11/img_4028.jpg,
Mego Dolls,Action Jackson,Action Jackson Outfit Sets,Mego,1971,,Marine Outfit,accessory,The Toy Collectors Guide,https://thetoycollectorsguide.com/action-jackson/,Curated from The Toy Collectors Guide Action Jackson page.,https://thetoycollectorsguide.com/wp-content/uploads/2020/11/img_4060.jpg,
Mego Dolls,Action Jackson,Action Jackson Outfit Sets,Mego,1971,,Ski Patrol Outfit,accessory,The Toy Collectors Guide,https://thetoycollectorsguide.com/action-jackson/,Curated from The Toy Collectors Guide Action Jackson page.,https://thetoycollectorsguide.com/wp-content/uploads/2020/11/img_4075.jpg,
Mego Dolls,Action Jackson,Action Jackson Playsets,Mego,1971,,Jungle House,playset,The Toy Collectors Guide,https://thetoycollectorsguide.com/action-jackson/,Curated from The Toy Collectors Guide Action Jackson page.,https://thetoycollectorsguide.com/wp-content/uploads/2024/12/img_9577-1.jpg,
Mego Dolls,Action Jackson,Action Jackson Playsets,Mego,1971,,The Lost Continent,playset,The Toy Collectors Guide,https://thetoycollectorsguide.com/action-jackson/,Curated from The Toy Collectors Guide Action Jackson page.,https://thetoycollectorsguide.com/wp-content/uploads/2020/11/img_3976.jpg,
Mego Dolls,Action Jackson,Action Jackson Vehicles,Mego,1971,,Amphicat,vehicle,The Toy Collectors Guide,https://thetoycollectorsguide.com/action-jackson/,Curated from The Toy Collectors Guide Action Jackson page.,https://thetoycollectorsguide.com/wp-content/uploads/2020/11/img_4053.jpg,
Mego Dolls,Action Jackson,Action Jackson Vehicles,Mego,1971,,Campmobile,vehicle,The Toy Collectors Guide,https://thetoycollectorsguide.com/action-jackson/,Curated from The Toy Collectors Guide Action Jackson page.,https://thetoycollectorsguide.com/wp-content/uploads/2020/11/img_4051.jpg,
