franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Microman,Microman,Microman Command Series,Takara,1977,Command 1,M151 East,vintage,Micropola,https://micropola.org/archived/1977.html,"Command 1. Main image uses the Micropola Command 1 group photo; packaged image uses the Command 1 capsule group photo. Separate Japanese Microman line, not a Micronauts subline.",https://micropola.org/archived/images/microman/M15X.jpg,https://micropola.org/archived/images/microman/M15XCapsule.jpg
Microman,Microman,Microman Command Series,Takara,1977,Command 1,M152 Eric,vintage,Micropola,https://micropola.org/archived/1977.html,Command 1. Main image uses the Micropola Command 1 group photo; packaged image uses the Command 1 capsule group photo.,https://micropola.org/archived/images/microman/M15X.jpg,https://micropola.org/archived/images/microman/M15XCapsule.jpg
Microman,Microman,Microman Command Series,Takara,1977,Command 1,M153 Elder,vintage,Micropola,https://micropola.org/archived/1977.html,Command 1. Main image uses the Micropola Command 1 group photo; packaged image uses the Command 1 capsule group photo.,https://micropola.org/archived/images/microman/M15X.jpg,https://micropola.org/archived/images/microman/M15XCapsule.jpg
Microman,Microman,Microman Command Series,Takara,1977,Command 1,M154 Evans,vintage,Micropola,https://micropola.org/archived/1977.html,Command 1. Micropola lists Evans; some secondary sources shorten this to Evan. Main image uses the Micropola Command 1 group photo; packaged image uses the Command 1 capsule group photo.,https://micropola.org/archived/images/microman/M15X.jpg,https://micropola.org/archived/images/microman/M15XCapsule.jpg
Microman,Microman,Microman Command Series,Takara,1977,Command 2,M161 Sheriff,vintage,Microman Forever + Micropola,https://micromanforever.org/M16X.htm,Command 2. Individual vintage figure shot from Microman Forever; packaged image uses the Micropola Command 2 capsule group photo. Corresponds to Pharoid lineage in Micronauts.,https://micromanforever.org/images/M16X-1.jpg,https://micropola.org/archived/images/microman/M16XCapsule.jpg
Microman,Microman,Microman Command Series,Takara,1977,Command 2,M162 Sunda,vintage,Microman Forever + Micropola,https://micromanforever.org/M16X.htm,Command 2. Micropola uses Sunda; some sites render the name as Thunder or Sander. Individual vintage figure shot from Microman Forever; packaged image uses the Micropola Command 2 capsule group photo.,https://micromanforever.org/images/M16X-2.jpg,https://micropola.org/archived/images/microman/M16XCapsule.jpg
Microman,Microman,Microman Command Series,Takara,1977,Command 2,M163 Smith,vintage,Microman Forever + Micropola,https://micromanforever.org/M16X.htm,Command 2. Individual vintage figure shot from Microman Forever; packaged image uses the Micropola Command 2 capsule group photo.,https://micromanforever.org/images/M16X-3.jpg,https://micropola.org/archived/images/microman/M16XCapsule.jpg
Microman,Microman,Microman Command Series,Takara,1977,Command 2,M164 Sammy,vintage,Microman Forever + Micropola,https://micromanforever.org/M16X.htm,Command 2. Individual vintage figure shot from Microman Forever; packaged image uses the Micropola Command 2 capsule group photo.,https://micromanforever.org/images/M16X-4.jpg,https://micropola.org/archived/images/microman/M16XCapsule.jpg
Microman,Microman,Microman Command Series,Takara,1977,Command 3,M171 Takuma,vintage,Microman Forever + Micropola,https://micromanforever.org/M17X.htm,Command 3. Individual vintage figure shot from Microman Forever; packaged image uses the Micropola Command 3 capsule group photo. Corresponds to Galactic Defender lineage in Micronauts.,https://micromanforever.org/images/M17X-1.JPG,https://micropola.org/archived/images/microman/M17XCapsule.jpg
Microman,Microman,Microman Command Series,Takara,1977,Command 3,M172 Tetsuya,vintage,Micropola,https://micropola.org/archived/1977.html,Command 3. Main image uses the Micropola Command 3 group photo because a separate individual shot was not verified from the current sources; packaged image uses the Command 3 capsule group photo.,https://micropola.org/archived/images/microman/M17X.jpg,https://micropola.org/archived/images/microman/M17XCapsule.jpg
Microman,Microman,Microman Command Series,Takara,1977,Command 3,M173 Tatsuya,vintage,Microman Forever + Micropola,https://micromanforever.org/M17X.htm,Command 3. Individual vintage figure shot from Microman Forever; packaged image uses the Micropola Command 3 capsule group photo.,https://micromanforever.org/images/M17X-2.JPG,https://micropola.org/archived/images/microman/M17XCapsule.jpg
Microman,Microman,Microman Command Series,Takara,1977,Command 3,M174 Tsuyoshi,vintage,Microman Forever + Micropola,https://micromanforever.org/M17X.htm,Command 3. Individual vintage figure shot from Microman Forever; packaged image uses the Micropola Command 3 capsule group photo.,https://micromanforever.org/images/M17X-5.jpg,https://micropola.org/archived/images/microman/M17XCapsule.jpg
Microman,Microman,Microman Lady Command,Takara,1977,Lady Command,M181 Ann,vintage,Microman Forever + Micropola,https://micromanforever.org/M18X.htm,Lady Command. Individual vintage figure shot from Microman Forever; packaged image uses the Micropola Lady Command capsule group photo.,https://micromanforever.org/images/M18X-2.jpg,https://micropola.org/archived/images/microman/M18XCapsule.jpg
Microman,Microman,Microman Lady Command,Takara,1977,Lady Command,M182 Alice,vintage,Micropola,https://micropola.org/archived/1977.html,Lady Command. Micropola confirms Alice as the M182 name. Main image uses the Lady Command group photo because a separate item-specific Alice photo was not verified from the current sources; packaged image uses the Lady Command capsule group photo.,https://micropola.org/archived/images/microman/M18X.jpg,https://micropola.org/archived/images/microman/M18XCapsule.jpg
Microman,Microman,Microman Lady Command,Takara,1977,Lady Command,M183 Annie,vintage,Microman Forever + Micropola,https://micromanforever.org/M18X.htm,Lady Command. Individual vintage figure shot from Microman Forever; packaged image uses the Micropola Lady Command capsule group photo.,https://micromanforever.org/images/M18X-6.jpg,https://micropola.org/archived/images/microman/M18XCapsule.jpg
Microman,Microman,Microman Lady Command,Takara,1977,Lady Command,M184 Ai,vintage,Microman Forever + Micropola,https://micromanforever.org/M18X.htm,Lady Command. Individual vintage figure shot from Microman Forever; packaged image uses the Micropola Lady Command capsule group photo.,https://micromanforever.org/images/M18X-5.jpg,https://micropola.org/archived/images/microman/M18XCapsule.jpg
Microman,Microman,Command Car,Takara,1977,Command Car,Earth Jet,vintage,Micropola,https://micropola.org/archived/1977.html,"Command Car vehicle. No item-specific vehicle photo was verified from the current sources, so image fields are left blank.",,
Microman,Microman,Command Car,Takara,1977,Command Car,Tyrell Machine,vintage,Micropola,https://micropola.org/archived/1977.html,"Command Car vehicle. No item-specific vehicle photo was verified from the current sources, so image fields are left blank.",,
Microman,Microman,Command Car,Takara,1977,Command Car,Twin Racer,vintage,Micropola,https://micropola.org/archived/1977.html,"Command Car vehicle. No item-specific vehicle photo was verified from the current sources, so image fields are left blank.",,
Microman,Microman,Command Car,Takara,1977,Command Car,Racing Buggy,vintage,Micropola,https://micropola.org/archived/1977.html,"Command Car vehicle. No item-specific vehicle photo was verified from the current sources, so image fields are left blank.",,
Microman,Microman,Surveyor,Takara,1977,Surveyor,Surveyor 1,vintage,Micropola,https://micropola.org/archived/1977.html,Micropola notes Surveyor 1 is also known as Star Searcher in the Micronauts line.,https://micropola.org/archived/images/microman/surveyor_1.jpg,
Microman,Microman,Surveyor,Takara,1977,Surveyor,Surveyor 2,vintage,Micropola,https://micropola.org/archived/1977.html,Vintage Takara Microman support item.,https://micropola.org/archived/images/microman/surveyor_2.jpg,
Microman,Microman,Surveyor,Takara,1977,Surveyor,Surveyor 3,vintage,Micropola,https://micropola.org/archived/1977.html,Micropola notes Surveyor 3 is also known as Star Defender in the Micronauts line.,https://micropola.org/archived/images/microman/surveyor_3.jpg,
Microman,Microman,Titan Command Base,Takara,1977,Titan Command Base,Titan Command Base,vintage,Micropola,https://micropola.org/archived/1977.html,"Vintage Takara Microman base/playset item. No item-specific image was verified from the current sources, so image fields are left blank.",,
Microman,Microman,Cosmo Car,Takara,1977,Cosmo Car,Cosmo Countach,vintage,Micropola,https://micropola.org/archived/1977.html,"Micropola notes color variants in red, blue, and yellow.",https://micropola.org/archived/images/microman/cosmocountach.jpg,
Microman,Microman,Cosmo Car,Takara,1977,Cosmo Car,Cosmo Porsche,vintage,Micropola,https://micropola.org/archived/1977.html,"Micropola notes color variants in red, white, and blue.",https://micropola.org/archived/images/microman/cosmoporsche.jpg,
Microman,Microman,Titan Command,Takara,1977,Titan Command,T451 Jupiter,vintage,Micropola,https://micropola.org/archived/1977.html,Vintage Takara Microman Titan Command release. Main image uses the shared Titan Command group photo from Micropola.,https://micropola.org/archived/images/microman/T45x.jpg,
Microman,Microman,Titan Command,Takara,1977,Titan Command,T452 Poseiden,vintage,Micropola,https://micropola.org/archived/1977.html,Vintage Takara Microman Titan Command release. Main image uses the shared Titan Command group photo from Micropola.,https://micropola.org/archived/images/microman/T45x.jpg,
