franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Acroyear (Blue),figure,MicroHeritage + Micronauts Wiki,https://micronauts.fandom.com/wiki/Acroyear,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts repack era group image from MicroHeritage. Item-specific Micronauts Wiki lead image.,https://static.wikia.nocookie.net/micronauts/images/f/fb/Acroyear.jpg/revision/latest/scale-to-width-down/225?cb=20100626023823,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Acroyear (Red),figure,MicroHeritage + Micronauts Wiki,https://micronauts.fandom.com/wiki/Acroyear,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts repack era group image from MicroHeritage. Item-specific Micronauts Wiki lead image used for the Acroyear color variants.,https://static.wikia.nocookie.net/micronauts/images/f/fb/Acroyear.jpg/revision/latest/scale-to-width-down/225?cb=20100626023823,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Acroyear (Yellow),figure,MicroHeritage + Micronauts Wiki,https://micronauts.fandom.com/wiki/Acroyear,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts repack era group image from MicroHeritage. Item-specific Micronauts Wiki lead image used for the Acroyear color variants.,https://static.wikia.nocookie.net/micronauts/images/f/fb/Acroyear.jpg/revision/latest/scale-to-width-down/225?cb=20100626023823,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Astro Station,vehicle,MicroHeritage,https://micromanforever.org/microheritage_micronauts.htm,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts vehicles and support-items group image from MicroHeritage.,https://micromanforever.org/images/micronauts3.jpg,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Biotron,vehicle,MicroHeritage + Micronauts Wiki,https://micronauts.fandom.com/wiki/Biotron,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts vehicles and support-items group image from MicroHeritage. Item-specific Micronauts Wiki lead image.,https://static.wikia.nocookie.net/micronauts/images/d/d8/Biotron.jpg/revision/latest/scale-to-width-down/250?cb=20100626023824,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Crater Cruncher,vehicle,MicroHeritage,https://micromanforever.org/microheritage_micronauts.htm,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts vehicles and support-items group image from MicroHeritage.,https://micromanforever.org/images/micronauts3.jpg,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Galactic Cruiser,vehicle,MicroHeritage,https://micromanforever.org/microheritage_micronauts.htm,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts vehicles and support-items group image from MicroHeritage.,https://micromanforever.org/images/micronauts3.jpg,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Galactic Warrior (Blue),figure,MicroHeritage + Micronauts Wiki,https://micronauts.fandom.com/wiki/Galactic_Warrior,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts repack era group image from MicroHeritage. Item-specific Micronauts Wiki lead image used for Galactic Warrior color variants.,https://static.wikia.nocookie.net/micronauts/images/9/9a/Galactic_Warrior.jpg/revision/latest/scale-to-width-down/225?cb=20100626053514,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Galactic Warrior (Green),figure,MicroHeritage + Micronauts Wiki,https://micronauts.fandom.com/wiki/Galactic_Warrior,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts repack era group image from MicroHeritage. Item-specific Micronauts Wiki lead image used for Galactic Warrior color variants.,https://static.wikia.nocookie.net/micronauts/images/9/9a/Galactic_Warrior.jpg/revision/latest/scale-to-width-down/225?cb=20100626053514,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Galactic Warrior (Red),figure,MicroHeritage + Micronauts Wiki,https://micronauts.fandom.com/wiki/Galactic_Warrior,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts repack era group image from MicroHeritage. Item-specific Micronauts Wiki lead image used for Galactic Warrior color variants.,https://static.wikia.nocookie.net/micronauts/images/9/9a/Galactic_Warrior.jpg/revision/latest/scale-to-width-down/225?cb=20100626053514,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Hydra,vehicle,MicroHeritage + Micronauts Wiki,https://micronauts.fandom.com/wiki/Hydra,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts vehicles and support-items group image from MicroHeritage. Item-specific Micronauts Wiki lead image.,https://static.wikia.nocookie.net/micronauts/images/9/99/Hydra.jpg/revision/latest/scale-to-width-down/300?cb=20100626041947,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Hydro Copter,vehicle,MicroHeritage,https://micromanforever.org/microheritage_micronauts.htm,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts vehicles and support-items group image from MicroHeritage.,https://micromanforever.org/images/micronauts3.jpg,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Microtron,vehicle,MicroHeritage + Micronauts Wiki,https://micronauts.fandom.com/wiki/Microtron,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts vehicles and support-items group image from MicroHeritage. Item-specific Micronauts Wiki lead image.,https://static.wikia.nocookie.net/micronauts/images/7/72/Microtron.jpg/revision/latest/scale-to-width-down/300?cb=20100626023825,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Mobile Exploration Lab,vehicle,MicroHeritage + Micronauts Wiki,https://micronauts.fandom.com/wiki/Mobile_Exploration_Lab,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts vehicles and support-items group image from MicroHeritage. Item-specific Micronauts Wiki lead image.,https://static.wikia.nocookie.net/micronauts/images/7/7d/MEL.jpg/revision/latest/scale-to-width-down/300?cb=20100626023824,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Space Glider (Blue),figure,MicroHeritage,https://micromanforever.org/microheritage_micronauts.htm,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts repack era group image from MicroHeritage.,https://micromanforever.org/images/micronauts2.jpg,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Space Glider (Gold),figure,MicroHeritage,https://micromanforever.org/microheritage_micronauts.htm,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts repack era group image from MicroHeritage.,https://micromanforever.org/images/micronauts2.jpg,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Space Glider (Green),figure,MicroHeritage,https://micromanforever.org/microheritage_micronauts.htm,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts repack era group image from MicroHeritage.,https://micromanforever.org/images/micronauts2.jpg,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Stratastation,playset,MicroHeritage,https://micromanforever.org/microheritage_micronauts.htm,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts vehicles and support-items group image from MicroHeritage.,https://micromanforever.org/images/micronauts3.jpg,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Time Traveler (Blue),figure,MicroHeritage + Micronauts Wiki,https://micronauts.fandom.com/wiki/Time_Traveler,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts repack era group image from MicroHeritage. Item-specific Micronauts Wiki lead image used for Time Traveler color variants.,https://static.wikia.nocookie.net/micronauts/images/c/c4/Time-traveller.jpg/revision/latest?cb=20100624210630,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Time Traveler (Green),figure,MicroHeritage + Micronauts Wiki,https://micronauts.fandom.com/wiki/Time_Traveler,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts repack era group image from MicroHeritage. Item-specific Micronauts Wiki lead image used for Time Traveler color variants.,https://static.wikia.nocookie.net/micronauts/images/c/c4/Time-traveller.jpg/revision/latest?cb=20100624210630,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Time Traveler (Yellow),figure,MicroHeritage + Micronauts Wiki,https://micronauts.fandom.com/wiki/Time_Traveler,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts repack era group image from MicroHeritage. Item-specific Micronauts Wiki lead image used for Time Traveler color variants.,https://static.wikia.nocookie.net/micronauts/images/c/c4/Time-traveller.jpg/revision/latest?cb=20100624210630,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Ultronic Scooter,vehicle,MicroHeritage,https://micromanforever.org/microheritage_micronauts.htm,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts vehicles and support-items group image from MicroHeritage.,https://micromanforever.org/images/micronauts3.jpg,
Micronauts,Micronauts,Vintage Micronauts,Mego,1976,Wave 1,Warp Racer,vehicle,MicroHeritage + Micronauts Wiki,https://micronauts.fandom.com/wiki/Warp_Racer,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts vehicles and support-items group image from MicroHeritage. Item-specific Micronauts Wiki lead image.,https://static.wikia.nocookie.net/micronauts/images/4/44/Warp_Racer.jpg/revision/latest/scale-to-width-down/300?cb=20100626023825,
Micronauts,Micronauts,Vintage Micronauts,Mego,1977,Wave 2,Acroyear II (Blue),figure,MicroHeritage,https://micromanforever.org/microheritage_micronauts.htm,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts repack era group image from MicroHeritage.,https://micromanforever.org/images/micronauts2.jpg,
Micronauts,Micronauts,Vintage Micronauts,Mego,1977,Wave 2,Acroyear II (Red),figure,MicroHeritage,https://micromanforever.org/microheritage_micronauts.htm,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts repack era group image from MicroHeritage.,https://micromanforever.org/images/micronauts2.jpg,
Micronauts,Micronauts,Vintage Micronauts,Mego,1977,Wave 2,Acroyear II (Silver/Black),figure,MicroHeritage,https://micromanforever.org/microheritage_micronauts.htm,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts repack era group image from MicroHeritage.,https://micromanforever.org/images/micronauts2.jpg,
Micronauts,Micronauts,Vintage Micronauts,Mego,1977,Wave 2,Andromeda,vehicle,MicroHeritage,https://micromanforever.org/microheritage_micronauts.htm,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts vehicles and support-items group image from MicroHeritage.,https://micromanforever.org/images/micronauts3.jpg,
Micronauts,Micronauts,Vintage Micronauts,Mego,1977,Wave 2,Aquatron,vehicle,MicroHeritage,https://micromanforever.org/microheritage_micronauts.htm,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts vehicles and support-items group image from MicroHeritage.,https://micromanforever.org/images/micronauts3.jpg,
Micronauts,Micronauts,Vintage Micronauts,Mego,1977,Wave 2,Baron Karza,figure,MicroHeritage + Micronauts Wiki,https://micronauts.fandom.com/wiki/Baron_Karza,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts mixed overview image from MicroHeritage. Item-specific Micronauts Wiki lead image.,https://static.wikia.nocookie.net/micronauts/images/b/b8/Baron_Karza_and_Andromeda.jpg/revision/latest/scale-to-width-down/180?cb=20111029134954,
Micronauts,Micronauts,Vintage Micronauts,Mego,1977,Wave 2,Battle Cruiser,vehicle,MicroHeritage + Micronauts Wiki,https://micronauts.fandom.com/wiki/Battle_Cruiser,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts vehicles and support-items group image from MicroHeritage. Item-specific Micronauts Wiki lead image.,https://static.wikia.nocookie.net/micronauts/images/b/b1/IMG_20180914_150454095.jpg/revision/latest/scale-to-width-down/300?cb=20190208182347,
Micronauts,Micronauts,Vintage Micronauts,Mego,1977,Wave 2,Force Commander,figure,MicroHeritage,https://micromanforever.org/microheritage_micronauts.htm,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts vehicles and support-items group image from MicroHeritage.,https://micromanforever.org/images/micronauts3.jpg,
Micronauts,Micronauts,Vintage Micronauts,Mego,1977,Wave 2,Giant Acroyear,vehicle,MicroHeritage,https://micromanforever.org/microheritage_micronauts.htm,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts repack era group image from MicroHeritage.,https://micromanforever.org/images/micronauts2.jpg,
Micronauts,Micronauts,Vintage Micronauts,Mego,1977,Wave 2,Neon Orbiter,vehicle,MicroHeritage,https://micromanforever.org/microheritage_micronauts.htm,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts vehicles and support-items group image from MicroHeritage.,https://micromanforever.org/images/micronauts3.jpg,
Micronauts,Micronauts,Vintage Micronauts,Mego,1977,Wave 2,Oberon,vehicle,MicroHeritage,https://micromanforever.org/microheritage_micronauts.htm,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts vehicles and support-items group image from MicroHeritage.,https://micromanforever.org/images/micronauts3.jpg,
Micronauts,Micronauts,Vintage Micronauts,Mego,1977,Wave 2,Pharoid (With Time Chamber - Blue),figure,MicroHeritage + Micronauts Wiki,https://micronauts.fandom.com/wiki/Pharoid,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts repack era group image from MicroHeritage. Micronauts Wiki lead image showing the Pharoid variants with time chambers.,https://static.wikia.nocookie.net/micronauts/images/1/1d/Pharoid-trio-w-chambers.jpg/revision/latest/scale-to-width-down/225?cb=20100624210023,
Micronauts,Micronauts,Vintage Micronauts,Mego,1977,Wave 2,Pharoid (With Time Chamber - Gray),figure,MicroHeritage + Micronauts Wiki,https://micronauts.fandom.com/wiki/Pharoid,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts repack era group image from MicroHeritage. Micronauts Wiki lead image showing the Pharoid variants with time chambers.,https://static.wikia.nocookie.net/micronauts/images/1/1d/Pharoid-trio-w-chambers.jpg/revision/latest/scale-to-width-down/225?cb=20100624210023,
Micronauts,Micronauts,Vintage Micronauts,Mego,1977,Wave 2,Pharoid (With Time Chamber - Orange),figure,MicroHeritage + Micronauts Wiki,https://micronauts.fandom.com/wiki/Pharoid,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts repack era group image from MicroHeritage. Micronauts Wiki lead image showing the Pharoid variants with time chambers.,https://static.wikia.nocookie.net/micronauts/images/1/1d/Pharoid-trio-w-chambers.jpg/revision/latest/scale-to-width-down/225?cb=20100624210023,
Micronauts,Micronauts,Vintage Micronauts,Mego,1977,Wave 2,Rhodium Orbiter,vehicle,MicroHeritage,https://micromanforever.org/microheritage_micronauts.htm,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts vehicles and support-items group image from MicroHeritage.,https://micromanforever.org/images/micronauts3.jpg,
Micronauts,Micronauts,Vintage Micronauts,Mego,1977,Wave 2,Thorium Orbiter,vehicle,MicroHeritage,https://micromanforever.org/microheritage_micronauts.htm,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Early Micronauts vehicles and support-items group image from MicroHeritage.,https://micromanforever.org/images/micronauts3.jpg,
Micronauts,Micronauts,Vintage Micronauts,Mego,1978,Wave 3,Galactic Command Center,playset,MicroHeritage,https://micromanforever.org/microheritage_micronauts.htm,Curated Micronauts row sourced from MicroHeritage chronology and current local checklist. Late Mego Micronauts overview image from MicroHeritage.,https://micromanforever.org/images/micronauts4.jpg,
