franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Mighty Max,Mighty Max,Mighty Max,Bluebird Toys,1992,Series 1,Mighty Max Slays the Doom Dragon,playset,Wikipedia,https://en.wikipedia.org/wiki/Mighty_Max_(toyline),Mighty Max toyline playset from the Series 1 Doom Zones range.,,
Mighty Max,Mighty Max,Mighty Max,Bluebird Toys,1992,Series 1,Mighty Max Trapped by Arachnoid,playset,Wikipedia,https://en.wikipedia.org/wiki/Mighty_Max_(toyline),Mighty Max toyline playset from the Series 1 Doom Zones range.,,
Mighty Max,Mighty Max,Mighty Max,Bluebird Toys,1992,Series 1,Mighty Max Terminates Wolfship 7,playset,Wikipedia,https://en.wikipedia.org/wiki/Mighty_Max_(toyline),Mighty Max toyline playset from the Series 1 Doom Zones range.,,
Mighty Max,Mighty Max,Mighty Max,Bluebird Toys,1992,Series 1,Mighty Max Liquidates the Ice Alien,playset,Wikipedia,https://en.wikipedia.org/wiki/Mighty_Max_(toyline),Mighty Max toyline playset from the Series 1 Doom Zones range.,,
Mighty Max,Mighty Max,Mighty Max,Bluebird Toys,1992,Series 1,Mighty Max Escapes from Skull Dungeon,playset,Wikipedia,https://en.wikipedia.org/wiki/Mighty_Max_(toyline),Mighty Max toyline playset from the Series 1 Doom Zones range.,,
Mighty Max,Mighty Max,Mighty Max,Bluebird Toys,1992,Series 1,Mighty Max Conquers the Temple of Venom,playset,Wikipedia,https://en.wikipedia.org/wiki/Mighty_Max_(toyline),Mighty Max toyline playset from the Series 1 Doom Zones range.,,
Mighty Max,Mighty Max,Mighty Max,Bluebird Toys,1992,Series 2,Mighty Max Saves the Kingdom of Gargantua,playset,Wikipedia,https://en.wikipedia.org/wiki/Mighty_Max_(toyline),Mighty Max toyline playset from the Series 2 Doom Zones range.,,
Mighty Max,Mighty Max,Mighty Max,Bluebird Toys,1992,Series 2,Mighty Max Grapples with Hellcat,playset,Wikipedia,https://en.wikipedia.org/wiki/Mighty_Max_(toyline),Mighty Max toyline playset from the Series 2 Doom Zones range.,,
Mighty Max,Mighty Max,Mighty Max,Bluebird Toys,1992,Series 2,Mighty Max Outwits Cyclops,playset,Wikipedia,https://en.wikipedia.org/wiki/Mighty_Max_(toyline),Mighty Max toyline playset from the Series 2 Doom Zones range.,,
Mighty Max,Mighty Max,Mighty Max,Bluebird Toys,1992,Series 2,Mighty Max Stings Scorpion,playset,Wikipedia,https://en.wikipedia.org/wiki/Mighty_Max_(toyline),Mighty Max toyline playset from the Series 2 Doom Zones range.,,
Mighty Max,Mighty Max,Mighty Max,Bluebird Toys,1992,Series 2,Mighty Max Blows Up Mutasaurus,playset,Wikipedia,https://en.wikipedia.org/wiki/Mighty_Max_(toyline),Mighty Max toyline playset from the Series 2 Doom Zones range.,,
Mighty Max,Mighty Max,Mighty Max,Bluebird Toys,1992,Series 2,Mighty Max Caught in the Jaws of Doom,playset,Wikipedia,https://en.wikipedia.org/wiki/Mighty_Max_(toyline),Mighty Max toyline playset from the Series 2 Doom Zones range.,,
Mighty Max,Mighty Max,Mighty Max,Bluebird Toys,1993,Series 3,Mighty Max Sinks the Nautilus,playset,Wikipedia,https://en.wikipedia.org/wiki/Mighty_Max_(toyline),Mighty Max toyline playset from the Series 3 range.,,
Mighty Max,Mighty Max,Mighty Max,Bluebird Toys,1993,Series 3,Mighty Max Bytes Cyberskull,playset,Wikipedia,https://en.wikipedia.org/wiki/Mighty_Max_(toyline),Mighty Max toyline playset from the Series 3 range.,,
Mighty Max,Mighty Max,Mighty Max,Bluebird Toys,1993,Series 3,Mighty Max Squishes Fly,playset,Wikipedia,https://en.wikipedia.org/wiki/Mighty_Max_(toyline),Mighty Max toyline playset from the Series 3 range.,,
Mighty Max,Mighty Max,Mighty Max,Bluebird Toys,1993,Series 3,Mighty Max Traps Rattus,playset,Wikipedia,https://en.wikipedia.org/wiki/Mighty_Max_(toyline),Mighty Max toyline playset from the Series 3 range.,,
Mighty Max,Mighty Max,Mighty Max,Bluebird Toys,1993,Series 3,Mighty Max Lashes Lizard,playset,Wikipedia,https://en.wikipedia.org/wiki/Mighty_Max_(toyline),Mighty Max toyline playset from the Series 3 range.,,
Mighty Max,Mighty Max,Mighty Max,Bluebird Toys,1993,Series 3,Mighty Max Grips the Hand,playset,Wikipedia,https://en.wikipedia.org/wiki/Mighty_Max_(toyline),Mighty Max toyline playset from the Series 3 range.,,
Mighty Max,Mighty Max,Mighty Max,Bluebird Toys,1993,Series 1,Mighty Max Against Droid Invader,playset,Wikipedia,https://en.wikipedia.org/wiki/Mighty_Max_(toyline),Mighty Max toyline playset from the later TV-tie-in series.,,
Mighty Max,Mighty Max,Mighty Max,Bluebird Toys,1993,Series 1,Mighty Max Battles Skull Warrior,playset,Wikipedia,https://en.wikipedia.org/wiki/Mighty_Max_(toyline),Mighty Max toyline playset from the later TV-tie-in series.,,
