franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Masters of the Universe,Masters of the Universe,Masterverse,Mattel,2021,Revelation Action Figures Checklist - 1,Evil-Lyn,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/masterverse/revelation-action-figures/evil-lyn-2745.php,,https://www.actionfigure411.com/masters-of-the-universe/images/evil-lyn-2745.jpg,ActionFigure411 checklist section: Revelation Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $26.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Masterverse,Mattel,2021,Revelation Action Figures Checklist - 1,He-Man,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/masterverse/revelation-action-figures/he-man-2741.php,,https://www.actionfigure411.com/masters-of-the-universe/images/he-man-2741.jpg,ActionFigure411 checklist section: Revelation Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $26.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Masterverse,Mattel,2021,Revelation Action Figures Checklist - 1,Moss Man,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/masterverse/revelation-action-figures/moss-man-2744.php,,https://www.actionfigure411.com/masters-of-the-universe/images/moss-man-2744.jpg,ActionFigure411 checklist section: Revelation Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $26.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Masterverse,Mattel,2021,Revelation Action Figures Checklist - 1,Skeletor,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/masterverse/revelation-action-figures/skeletor-2743.php,,https://www.actionfigure411.com/masters-of-the-universe/images/skeletor-2743.jpg,ActionFigure411 checklist section: Revelation Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $26.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Masterverse,Mattel,2021,Revelation Action Figures Checklist - 2,Beast Man,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/masterverse/revelation-action-figures/beast-man-2746.php,,https://www.actionfigure411.com/masters-of-the-universe/images/beast-man-2746.jpg,ActionFigure411 checklist section: Revelation Action Figures Checklist. Checklist wave/store slot: 2. Checklist retail: $26.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Masterverse,Mattel,2021,Revelation Action Figures Checklist - 2,Man-at-Arms,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/masterverse/revelation-action-figures/man-at-arms-2747.php,,https://www.actionfigure411.com/masters-of-the-universe/images/man-at-arms-2747.jpg,ActionFigure411 checklist section: Revelation Action Figures Checklist. Checklist wave/store slot: 2. Checklist retail: $26.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Masterverse,Mattel,2021,Revelation Action Figures Checklist - 2,Scare Glow (SDCC),modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/masterverse/revelation-action-figures/scare-glow-sdcc-2868.php,,https://www.actionfigure411.com/masters-of-the-universe/images/scare-glow-sdcc-2868.jpg,ActionFigure411 checklist section: Revelation Action Figures Checklist. Checklist wave/store slot: 2. Checklist retail: $34.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Masterverse,Mattel,2021,Revelation Action Figures Checklist - 2,Spikor,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/masterverse/revelation-action-figures/spikor-2749.php,,https://www.actionfigure411.com/masters-of-the-universe/images/spikor-2749.jpg,ActionFigure411 checklist section: Revelation Action Figures Checklist. Checklist wave/store slot: 2. Checklist retail: $26.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Masterverse,Mattel,2021,Revelation Action Figures Checklist - 2,Teela,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/masterverse/revelation-action-figures/teela-2748.php,,https://www.actionfigure411.com/masters-of-the-universe/images/teela-2748.jpg,ActionFigure411 checklist section: Revelation Action Figures Checklist. Checklist wave/store slot: 2. Checklist retail: $26.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Masterverse,Mattel,2021,Revelation Action Figures Checklist - 3,Andra,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/masterverse/revelation-action-figures/andra-3478.php,,https://www.actionfigure411.com/masters-of-the-universe/images/andra-3478.jpg,ActionFigure411 checklist section: Revelation Action Figures Checklist. Checklist wave/store slot: 3. Checklist retail: $23.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Masterverse,Mattel,2021,Revelation Action Figures Checklist - 3,Fisto,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/masterverse/revelation-action-figures/fisto-3346.php,,https://www.actionfigure411.com/masters-of-the-universe/images/fisto-3346.jpg,ActionFigure411 checklist section: Revelation Action Figures Checklist. Checklist wave/store slot: 3. Checklist retail: $23.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Masterverse,Mattel,2021,Revelation Action Figures Checklist - 3,Scareglow,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/masterverse/revelation-action-figures/scareglow-4078.php,,https://www.actionfigure411.com/masters-of-the-universe/images/scareglow-4078.jpg,ActionFigure411 checklist section: Revelation Action Figures Checklist. Checklist wave/store slot: 3. Checklist retail: $23.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
