franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Masters of the Universe,Masters of the Universe,New Adventures of He-Man,Mattel,1989,Action Figures Checklist - 1,Flipshot,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/the-new-adventures-of-he-man/action-figures/flipshot-12951.php,,https://www.actionfigure411.com/masters-of-the-universe/images/flipshot-12951.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $5.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,New Adventures of He-Man,Mattel,1989,Action Figures Checklist - 1,Flogg,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/the-new-adventures-of-he-man/action-figures/flogg-12938.php,,https://www.actionfigure411.com/masters-of-the-universe/images/flogg-12938.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $5.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,New Adventures of He-Man,Mattel,1989,Action Figures Checklist - 1,He-Man,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/the-new-adventures-of-he-man/action-figures/he-man-12935.php,,https://www.actionfigure411.com/masters-of-the-universe/images/he-man-12935.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $5.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,New Adventures of He-Man,Mattel,1989,Action Figures Checklist - 1,Hydron,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/the-new-adventures-of-he-man/action-figures/hydron-12937.php,,https://www.actionfigure411.com/masters-of-the-universe/images/hydron-12937.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $5.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,New Adventures of He-Man,Mattel,1989,Action Figures Checklist - 1,Kalamarr,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/the-new-adventures-of-he-man/action-figures/kalamarr-12952.php,,https://www.actionfigure411.com/masters-of-the-universe/images/kalamarr-12952.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $5.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,New Adventures of He-Man,Mattel,1989,Action Figures Checklist - 1,Kayo,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/the-new-adventures-of-he-man/action-figures/kayo-12953.php,,https://www.actionfigure411.com/masters-of-the-universe/images/kayo-12953.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $5.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,New Adventures of He-Man,Mattel,1989,Action Figures Checklist - 1,Optikk,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/the-new-adventures-of-he-man/action-figures/optikk-12954.php,,https://www.actionfigure411.com/masters-of-the-universe/images/optikk-12954.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $5.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,New Adventures of He-Man,Mattel,1989,Action Figures Checklist - 1,Skeletor,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/the-new-adventures-of-he-man/action-figures/skeletor-12936.php,,https://www.actionfigure411.com/masters-of-the-universe/images/skeletor-12936.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $5.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,New Adventures of He-Man,Mattel,1989,Action Figures Checklist - 2,Karatti,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/the-new-adventures-of-he-man/action-figures/karatti-12956.php,,https://www.actionfigure411.com/masters-of-the-universe/images/karatti-12956.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 2. Checklist retail: $6.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,New Adventures of He-Man,Mattel,1989,Action Figures Checklist - 2,Lizorr,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/the-new-adventures-of-he-man/action-figures/lizorr-12955.php,,https://www.actionfigure411.com/masters-of-the-universe/images/lizorr-12955.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 2. Checklist retail: $6.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,New Adventures of He-Man,Mattel,1989,Action Figures Checklist - 2,Vizar,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/the-new-adventures-of-he-man/action-figures/vizar-12957.php,,https://www.actionfigure411.com/masters-of-the-universe/images/vizar-12957.jpg,ActionFigure411 checklist section: Action Figures Checklist. Checklist wave/store slot: 2. Checklist retail: $6.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,New Adventures of He-Man,Mattel,1989,Vehicles Checklist,Shuttle Pod,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/the-new-adventures-of-he-man/vehicles/shuttle-pod-12969.php,,https://www.actionfigure411.com/masters-of-the-universe/images/shuttle-pod-12969.jpg,ActionFigure411 checklist section: Vehicles Checklist. Checklist retail: $9.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,New Adventures of He-Man,Mattel,1989,Vehicles Checklist,Starship Eternia,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/the-new-adventures-of-he-man/vehicles/starship-eternia-12970.php,,https://www.actionfigure411.com/masters-of-the-universe/images/starship-eternia-12970.jpg,ActionFigure411 checklist section: Vehicles Checklist. Checklist retail: $24.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,New Adventures of He-Man,Mattel,1989,Vehicles Checklist,Terroclaw,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/the-new-adventures-of-he-man/vehicles/terroclaw-12971.php,,https://www.actionfigure411.com/masters-of-the-universe/images/terroclaw-12971.jpg,ActionFigure411 checklist section: Vehicles Checklist. Checklist retail: $11.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
