franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Masters of the Universe,Masters of the Universe,Vintage MOTU,Mattel,1981,Original Action Figures Checklist - MailIn,He-Man (Wonder Bread),vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/original/original-action-figures/he-man-wonder-bread-7811.php,,https://www.actionfigure411.com/masters-of-the-universe/images/he-man-wonder-bread-7811.jpg,ActionFigure411 checklist section: Original Action Figures Checklist. Checklist wave/store slot: MailIn. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Vintage MOTU,Mattel,1982,JC Penney Two Packs Checklist,Skeletor & Beast Man,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/original/jc-penney-two-packs/skeletor-beast-man-12471.php,,https://www.actionfigure411.com/masters-of-the-universe/images/skeletor-beast-man-12471.jpg,ActionFigure411 checklist section: JC Penney Two Packs Checklist. Checklist retail: $8.49. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Vintage MOTU,Mattel,1982,JC Penney Two Packs Checklist,Skeletor & Mer-Man,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/original/jc-penney-two-packs/skeletor-mer-man-11333.php,,https://www.actionfigure411.com/masters-of-the-universe/images/skeletor-mer-man-11333.jpg,ActionFigure411 checklist section: JC Penney Two Packs Checklist. Checklist retail: $8.49. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Vintage MOTU,Mattel,1982,Original Action Figures Checklist - 1,Beast Man,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/original/original-action-figures/beast-man-2436.php,,https://www.actionfigure411.com/masters-of-the-universe/images/beast-man-2436.jpg,ActionFigure411 checklist section: Original Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $4.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Vintage MOTU,Mattel,1982,Original Action Figures Checklist - 1,He-Man,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/original/original-action-figures/he-man-2435.php,,https://www.actionfigure411.com/masters-of-the-universe/images/he-man-2435.jpg,ActionFigure411 checklist section: Original Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $4.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Vintage MOTU,Mattel,1982,Original Action Figures Checklist - 1,Man-at-Arms,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/original/original-action-figures/man-at-arms-2437.php,,https://www.actionfigure411.com/masters-of-the-universe/images/man-at-arms-2437.jpg,ActionFigure411 checklist section: Original Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $4.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Vintage MOTU,Mattel,1982,Original Action Figures Checklist - 1,Mer-Man,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/original/original-action-figures/mer-man-2438.php,,https://www.actionfigure411.com/masters-of-the-universe/images/mer-man-2438.jpg,ActionFigure411 checklist section: Original Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $4.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Vintage MOTU,Mattel,1982,Original Action Figures Checklist - 1,Skeletor,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/original/original-action-figures/skeletor-2439.php,,https://www.actionfigure411.com/masters-of-the-universe/images/skeletor-2439.jpg,ActionFigure411 checklist section: Original Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $4.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Vintage MOTU,Mattel,1982,Original Action Figures Checklist - 1,Stratos,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/original/original-action-figures/stratos-2440.php,,https://www.actionfigure411.com/masters-of-the-universe/images/stratos-2440.jpg,ActionFigure411 checklist section: Original Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $4.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Vintage MOTU,Mattel,1982,Original Action Figures Checklist - 1,Teela,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/original/original-action-figures/teela-2441.php,,https://www.actionfigure411.com/masters-of-the-universe/images/teela-2441.jpg,ActionFigure411 checklist section: Original Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $4.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Vintage MOTU,Mattel,1982,Original Action Figures Checklist - 1,Zodac,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/original/original-action-figures/zodac-2442.php,,https://www.actionfigure411.com/masters-of-the-universe/images/zodac-2442.jpg,ActionFigure411 checklist section: Original Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $4.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Vintage MOTU,Mattel,1982,Original Vehicles and Playsets Checklist - 1,Battle Cat,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/original/original-vehicles-and-playsets/battle-cat-2429.php,,https://www.actionfigure411.com/masters-of-the-universe/images/battle-cat-2429.jpg,ActionFigure411 checklist section: Original Vehicles and Playsets Checklist. Checklist wave/store slot: 1. Checklist retail: $5.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Vintage MOTU,Mattel,1982,Original Vehicles and Playsets Checklist - 1,Battle Cat and He-Man,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/original/original-vehicles-and-playsets/battle-cat-and-he-man-2430.php,,https://www.actionfigure411.com/masters-of-the-universe/images/battle-cat-and-he-man-2430.jpg,ActionFigure411 checklist section: Original Vehicles and Playsets Checklist. Checklist wave/store slot: 1. Checklist retail: $10.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Vintage MOTU,Mattel,1982,Original Vehicles and Playsets Checklist - 1,Battle Ram,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/original/original-vehicles-and-playsets/battle-ram-2431.php,,https://www.actionfigure411.com/masters-of-the-universe/images/battle-ram-2431.jpg,ActionFigure411 checklist section: Original Vehicles and Playsets Checklist. Checklist wave/store slot: 1. Checklist retail: $14.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Vintage MOTU,Mattel,1982,Original Vehicles and Playsets Checklist - 1,Castle Grayskull,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/original/original-vehicles-and-playsets/castle-grayskull-2432.php,,https://www.actionfigure411.com/masters-of-the-universe/images/castle-grayskull-2432.jpg,ActionFigure411 checklist section: Original Vehicles and Playsets Checklist. Checklist wave/store slot: 1. Checklist retail: $24.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Vintage MOTU,Mattel,1982,Original Vehicles and Playsets Checklist - 1,Wind Raider,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/original/original-vehicles-and-playsets/wind-raider-2433.php,,https://www.actionfigure411.com/masters-of-the-universe/images/wind-raider-2433.jpg,ActionFigure411 checklist section: Original Vehicles and Playsets Checklist. Checklist wave/store slot: 1. Checklist retail: $8.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Vintage MOTU,Mattel,1982,Original Vehicles and Playsets Checklist - 1,Wind Raider and He-Man,vintage,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/original/original-vehicles-and-playsets/wind-raider-and-he-man-2434.php,,https://www.actionfigure411.com/masters-of-the-universe/images/wind-raider-and-he-man-2434.jpg,ActionFigure411 checklist section: Original Vehicles and Playsets Checklist. Checklist wave/store slot: 1. Checklist retail: $14.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
