franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,image_url,packaged_image_url,notes
Masters of the Universe,Masters of the Universe,Masters of the WWE Universe,Mattel,2019,Action Figures - 1,Finn Balor,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/origins/masters-of-the-wwe-universe-action-figures/finn-balor-12003.php,,https://www.actionfigure411.com/masters-of-the-universe/images/finn-balor-12003.jpg,ActionFigure411 checklist section: Masters of the WWE Universe Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $19.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Masters of the WWE Universe,Mattel,2019,Action Figures - 1,Sting,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/origins/masters-of-the-wwe-universe-action-figures/sting-12005.php,,https://www.actionfigure411.com/masters-of-the-universe/images/sting-12005.jpg,ActionFigure411 checklist section: Masters of the WWE Universe Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $19.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Masters of the WWE Universe,Mattel,2019,Action Figures - 1,Triple H,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/origins/masters-of-the-wwe-universe-action-figures/triple-h-12004.php,,https://www.actionfigure411.com/masters-of-the-universe/images/triple-h-12004.jpg,ActionFigure411 checklist section: Masters of the WWE Universe Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $19.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Masters of the WWE Universe,Mattel,2019,Action Figures - 1,Ultimate Warrior,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/origins/masters-of-the-wwe-universe-action-figures/ultimate-warrior-12006.php,,https://www.actionfigure411.com/masters-of-the-universe/images/ultimate-warrior-12006.jpg,ActionFigure411 checklist section: Masters of the WWE Universe Action Figures Checklist. Checklist wave/store slot: 1. Checklist retail: $19.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Masters of the WWE Universe,Mattel,2019,Rings,Grayskull Ring,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/origins/masters-of-the-wwe-universe-rings/grayskull-ring-12034.php,,https://www.actionfigure411.com/masters-of-the-universe/images/grayskull-ring-12034.jpg,ActionFigure411 checklist section: Masters of the WWE Universe Rings Checklist. Checklist retail: $39.95. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Origins,Mattel,2019,Exclusives - SDCC,Prince Adam and He-Man 2 Pack,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/origins/origins-exclusives/prince-adam-and-he-man-2-pack-2424.php,,https://www.actionfigure411.com/masters-of-the-universe/images/prince-adam-and-he-man-2-pack-2424.jpg,ActionFigure411 checklist section: Origins Exclusives Checklist. Checklist wave/store slot: SDCC. Checklist retail: $39.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Masters of the WWE Universe,Mattel,2020,Action Figures - 2,Faker John Cena,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/origins/masters-of-the-wwe-universe-action-figures/faker-john-cena-12007.php,,https://www.actionfigure411.com/masters-of-the-universe/images/faker-john-cena-12007.jpg,ActionFigure411 checklist section: Masters of the WWE Universe Action Figures Checklist. Checklist wave/store slot: 2. Checklist retail: $19.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Masters of the WWE Universe,Mattel,2020,Action Figures - 2,Rey Mysterio,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/origins/masters-of-the-wwe-universe-action-figures/rey-mysterio-12009.php,,https://www.actionfigure411.com/masters-of-the-universe/images/rey-mysterio-12009.jpg,ActionFigure411 checklist section: Masters of the WWE Universe Action Figures Checklist. Checklist wave/store slot: 2. Checklist retail: $19.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Masters of the WWE Universe,Mattel,2020,Action Figures - 2,Roman Reigns,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/origins/masters-of-the-wwe-universe-action-figures/roman-reigns-12010.php,,https://www.actionfigure411.com/masters-of-the-universe/images/roman-reigns-12010.jpg,ActionFigure411 checklist section: Masters of the WWE Universe Action Figures Checklist. Checklist wave/store slot: 2. Checklist retail: $19.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
Masters of the Universe,Masters of the Universe,Masters of the WWE Universe,Mattel,2020,Action Figures - 2,“Macho Man” Randy Savage,modern,ActionFigure411,https://www.actionfigure411.com/masters-of-the-universe/origins/masters-of-the-wwe-universe-action-figures/macho-man-randy-savage-12008.php,,https://www.actionfigure411.com/masters-of-the-universe/images/macho-man-randy-savage-12008.jpg,ActionFigure411 checklist section: Masters of the WWE Universe Action Figures Checklist. Checklist wave/store slot: 2. Checklist retail: $19.99. Packaged image URL inferred from ActionFigure411 item slug pattern and checklist entry.
