franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Pee-Wee's Playhouse,Pee-Wee's Playhouse,Vintage Matchbox,Matchbox,1988,Basic Series,Chairry,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12096&figure=chairry,Released in two versions with a dark blue card with orange letters and a pink card with turquoise letters.,https://www.figurerealm.com/galleries/peeweesplayhouse/thumb_Chairry-1.jpg,https://www.figurerealm.com/galleries/peeweesplayhouse/thumb_Chairry-Front.jpg
Pee-Wee's Playhouse,Pee-Wee's Playhouse,Vintage Matchbox,Matchbox,1988,Basic Series,Cowboy Curtis,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12097&figure=cowboycurtis,Released in two versions with a dark blue card with orange lettering and a pink card with turquoise lettering.,https://www.figurerealm.com/galleries/peeweesplayhouse/thumb_CowboyCurtis-1.jpg,https://www.figurerealm.com/galleries/peeweesplayhouse/thumb_CowboyCurtis-Front.jpg
Pee-Wee's Playhouse,Pee-Wee's Playhouse,Vintage Matchbox,Matchbox,1988,Basic Series,King of Cartoons,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12098&figure=kingofcartoons,,https://www.figurerealm.com/galleries/peeweesplayhouse/thumb_KingOfCartoons-1.jpg,https://www.figurerealm.com/galleries/peeweesplayhouse/thumb_KingOfCartoons-Front.jpg
Pee-Wee's Playhouse,Pee-Wee's Playhouse,Vintage Matchbox,Matchbox,1988,Basic Series,Miss Yvonne,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12099&figure=missyvonne,Two versions were released: one with a dark blue backer card and orange lettering and one with a pink card and turquoise lettering.,https://www.figurerealm.com/galleries/peeweesplayhouse/thumb_Yvonne-1.jpg,https://www.figurerealm.com/galleries/peeweesplayhouse/thumb_Yvonne-BlueCard-Front.jpg
Pee-Wee's Playhouse,Pee-Wee's Playhouse,Vintage Matchbox,Matchbox,1988,Basic Series,Pee-Wee Herman (Printed On Handkerchief),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=2769&figure=peeweehermanprintedonhandkerchief,Variant with the handkerchief printed on the figure's chest cardback presentation.,https://www.figurerealm.com/galleries/peeweesplayhouse/thumb_PeeWeeHerman-PinkCard-1.jpg,https://www.figurerealm.com/galleries/peeweesplayhouse/thumb_PeeWeeHerman-PinkCard-Front.jpg
Pee-Wee's Playhouse,Pee-Wee's Playhouse,Vintage Matchbox,Matchbox,1988,Basic Series,Pee-Wee Herman (Sewn-In Handkerchief),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12100&figure=peeweehermansewninhandkerchief,Variant with the sewn-in handkerchief release.,https://www.figurerealm.com/galleries/peeweesplayhouse/thumb_PeeWeeHerman-SewnIn-1.jpg,https://www.figurerealm.com/galleries/peeweesplayhouse/thumb_PeeWeeHerman-Front.jpg
Pee-Wee's Playhouse,Pee-Wee's Playhouse,Vintage Matchbox,Matchbox,1988,Basic Series,Pee-Wee Herman with Scooter,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12101&figure=peeweehermanwithscooter,,https://www.figurerealm.com/galleries/peeweesplayhouse/thumb_PeeWeeHermanScooter-1.jpg,https://www.figurerealm.com/galleries/peeweesplayhouse/thumb_PeeWeeHermanScooter-Front.jpg
Pee-Wee's Playhouse,Pee-Wee's Playhouse,Vintage Matchbox,Matchbox,1988,Basic Series,Reba,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12103&figure=reba,,https://www.figurerealm.com/galleries/peeweesplayhouse/thumb_Reba-1.jpg,https://www.figurerealm.com/galleries/peeweesplayhouse/thumb_Reba-Front.jpg
Pee-Wee's Playhouse,Pee-Wee's Playhouse,Vintage Matchbox,Matchbox,1988,Basic Series,Ricardo,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12104&figure=ricardo,,https://www.figurerealm.com/galleries/peeweesplayhouse/thumb_Ricardo-1.jpg,https://www.figurerealm.com/galleries/peeweesplayhouse/thumb_Ricardo-Front.jpg
Pee-Wee's Playhouse,Pee-Wee's Playhouse,Vintage Matchbox,Matchbox,1988,Large Figures,Chairry #3530,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12086&figure=chairry3530,Pee-Wee's Friends Collection large Chairry puppet release.,https://www.figurerealm.com/galleries/peeweesplayhouse/thumb_Chairy1.jpg,https://www.figurerealm.com/galleries/peeweesplayhouse/thumb_Chairy-Front.jpg
