franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Police Academy,Police Academy,Police Academy,Kenner,1988,Wave 1,Cadet Set,role-play,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=37358&figure=cadetset,Packaged front photo only from Figure Realm.,,https://www.figurerealm.com/galleries/policeacademy/thumb_CadetSet-Front.jpg
Police Academy,Police Academy,Police Academy,Kenner,1988,Wave 1,Carey Mahoney (Samson Dog),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12286&figure=careymahoneysamsondog,Packaged front photo only from Figure Realm.,,https://www.figurerealm.com/galleries/policeacademy/thumb_Carey-Front.jpg
Police Academy,Police Academy,Police Academy,Kenner,1988,Wave 1,Claw (Mouser Cat),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12287&figure=clawmousercat,Packaged front photo only from Figure Realm.,,https://www.figurerealm.com/galleries/policeacademy/thumb_Claw-Front.jpg
Police Academy,Police Academy,Police Academy,Kenner,1988,Wave 1,Crash Cycle,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12304&figure=crashcycle,Packaged front photo only from Figure Realm.,,https://www.figurerealm.com/galleries/policeacademy/thumb_CrashCycle-Front.jpg
Police Academy,Police Academy,Police Academy,Kenner,1988,Wave 1,Crazy Cruiser,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12305&figure=crazycruiser,Packaged front photo only from Figure Realm.,,https://www.figurerealm.com/galleries/policeacademy/thumb_CrazyCruiser-Front.jpg
Police Academy,Police Academy,Police Academy,Kenner,1988,Wave 1,Eugene Tackleberry (Armed Flak Vest),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12288&figure=eugenetackleberryarmedflakvest,Packaged front photo only from Figure Realm.,,https://www.figurerealm.com/galleries/policeacademy/thumb_Eugene-Front.jpg
Police Academy,Police Academy,Police Academy,Kenner,1988,Wave 1,Gas Gushers,role-play,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=37359&figure=gasgushers,Packaged front photo only from Figure Realm.,,https://www.figurerealm.com/galleries/policeacademy/thumb_GasGushers-Front.jpg
Police Academy,Police Academy,Police Academy,Kenner,1988,Wave 1,Handcuffers,role-play,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=37356&figure=handcuffers,Packaged front photo only from Figure Realm.,,https://www.figurerealm.com/galleries/policeacademy/thumb_Handcuffers-Front.jpg
Police Academy,Police Academy,Police Academy,Kenner,1988,Wave 1,Larvell Jones (Bullhorn),figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12289&figure=larvelljonesbullhorn,Packaged front photo only from Figure Realm.,,https://www.figurerealm.com/galleries/policeacademy/thumb_LarvellJones-Front.jpg
Police Academy,Police Academy,Police Academy,Kenner,1988,Wave 1,Loudmouth Bullhorn,role-play,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=37357&figure=loudmouthbullhorn,Packaged front photo only from Figure Realm.,,https://www.figurerealm.com/galleries/policeacademy/thumb_Bullhorn-Front.jpg
