franchise,property_name,product_line,manufacturer,release_year,wave,item_name,release_type,source_name,source_url,notes,image_url,packaged_image_url
Power Lords,Power Lords,Basic Series,Revell,1982,Basic Series,Adam Power,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12319&figure=adampower,Loose and packaged photos from Figure Realm.,https://www.figurerealm.com/galleries/powerlords/thumb_AdamPower1.jpg,https://www.figurerealm.com/galleries/powerlords/thumb_AdamPower-Front.jpg
Power Lords,Power Lords,Basic Series,Revell,1982,Basic Series,Arkus,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12320&figure=arkus,Packaged front photo only from Figure Realm.,,https://www.figurerealm.com/galleries/powerlords/thumb_Arkus-Front.jpg
Power Lords,Power Lords,Basic Series,Revell,1982,Basic Series,Bakatak,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12321&figure=bakatak,Loose and packaged photos from Figure Realm.,https://www.figurerealm.com/galleries/powerlords/thumb_Bakatak1.jpg,https://www.figurerealm.com/galleries/powerlords/thumb_Bakatak-Front.jpg
Power Lords,Power Lords,Basic Series,Revell,1982,Basic Series,Disguyzor,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12322&figure=disguyzor,Loose and packaged photos from Figure Realm.,https://www.figurerealm.com/galleries/powerlords/thumb_Disguyzor1.jpg,https://www.figurerealm.com/galleries/powerlords/thumb_Disguyzor-Front.jpg
Power Lords,Power Lords,Basic Series,Revell,1982,Basic Series,Drrench,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12323&figure=drrench,Loose and packaged photos from Figure Realm.,https://www.figurerealm.com/galleries/powerlords/thumb_Drrench1.jpg,https://www.figurerealm.com/galleries/powerlords/thumb_Drrench-Front.jpg
Power Lords,Power Lords,Basic Series,Revell,1982,Basic Series,Ggripptogg,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12324&figure=ggripptogg,Loose and packaged photos from Figure Realm.,https://www.figurerealm.com/galleries/powerlords/thumb_Ggripptogg1.jpg,https://www.figurerealm.com/galleries/powerlords/thumb_Ggripptogg-Front.jpg
Power Lords,Power Lords,Basic Series,Revell,1982,Basic Series,Raygoth,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12325&figure=raygoth,Packaged front photo only from Figure Realm.,,https://www.figurerealm.com/galleries/powerlords/thumb_Raygoth-Front.jpg
Power Lords,Power Lords,Basic Series,Revell,1982,Basic Series,Shaya,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12326&figure=shaya,Packaged front photo only from Figure Realm.,,https://www.figurerealm.com/galleries/powerlords/thumb_Shaya-Front.jpg
Power Lords,Power Lords,Basic Series,Revell,1982,Basic Series,Sydot,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12327&figure=sydot,Loose and packaged photos from Figure Realm. Figure Realm uses the shorter sourced name Sydot.,https://www.figurerealm.com/galleries/powerlords/thumb_Sydot3.jpg,https://www.figurerealm.com/galleries/powerlords/thumb_Sydot-Front.jpg
Power Lords,Power Lords,Basic Series,Revell,1982,Basic Series,Tork,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12328&figure=tork,Loose and packaged photos from Figure Realm.,https://www.figurerealm.com/galleries/powerlords/thumb_Tork1.jpg,https://www.figurerealm.com/galleries/powerlords/thumb_Tork-Front.jpg
Power Lords,Power Lords,Basic Series,Revell,1982,Basic Series,Trigore,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12329&figure=trigore,Loose photo only from Figure Realm.,https://www.figurerealm.com/galleries/powerlords/thumb_Trigore1.jpg,
Power Lords,Power Lords,Basic Series,Revell,1982,Basic Series,Trigore & Arkus,figure,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=27258&figure=trigoreamparkus,Packaged front photo only from Figure Realm two-pack entry.,,https://www.figurerealm.com/galleries/powerlords/thumb_TrigoreArkus-Front.jpg
Power Lords,Power Lords,Basic Series,Revell,1982,Basic Series,Volcan Rock,playset,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12331&figure=volcanrock,Packaged front photo only from Figure Realm.,,https://www.figurerealm.com/galleries/powerlords/thumb_VolcanRock-Front.jpg
Power Lords,Power Lords,Beast Machines,Revell,1982,Beast Machines,Evol,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=27248&figure=evol,Packaged front photo only from Figure Realm.,,https://www.figurerealm.com/galleries/powerlords/thumb_Evol-Front.jpg
Power Lords,Power Lords,Beast Machines,Revell,1982,Beast Machines,Savor,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=12330&figure=savor,Loose and packaged photos from Figure Realm.,https://www.figurerealm.com/galleries/powerlords/thumb_Savor1.jpg,https://www.figurerealm.com/galleries/powerlords/thumb_Savor-Front.jpg
Power Lords,Power Lords,Beast Machines,Revell,1982,Beast Machines,Thrash,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=27249&figure=thrash,Packaged front photo only from Figure Realm.,,https://www.figurerealm.com/galleries/powerlords/thumb_Thrash-BeastMachines-Front.jpg
Power Lords,Power Lords,Beast Machines,Revell,1982,Beast Machines,Warbot,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=27245&figure=warbot,Loose photo only from Figure Realm.,https://www.figurerealm.com/galleries/powerlords/thumb_Warbot1.jpg,
Power Lords,Power Lords,Vehicles,Revell,1982,Vehicles,Power Patroller,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=27246&figure=powerpatroller,Packaged front photo only from Figure Realm.,,https://www.figurerealm.com/galleries/powerlords/thumb_PowerPatroller-Front.jpg
Power Lords,Power Lords,Vehicles,Revell,1982,Vehicles,Powership Alien Cruiser,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=21956&figure=powershipaliencruiser,Loose photo only from Figure Realm. Replaces the old generic Power Ship label with the sourced name.,https://www.figurerealm.com/galleries/powerlords/thumb_Powership1.jpg,
Power Lords,Power Lords,Vehicles,Revell,1982,Vehicles,Spyzor,vehicle,Figure Realm,https://www.figurerealm.com/actionfigure?action=actionfigure&id=27247&figure=spyzor,Packaged front photo only from Figure Realm.,,https://www.figurerealm.com/galleries/powerlords/thumb_Spyzor-Front.jpg
Power Lords,Power Lords,Four Horsemen Studios,Four Horsemen Studios,2013,Convention Exclusives,Power Soldier,figure,Four Horsemen Studios,https://sourcehorsemen.com/updates/blog/blast-from-the-past-power-lords,Released as a Power-Con 2013 shared exclusive according to the official Four Horsemen retrospective. Group photo from the official article.,https://sourcehorsemen.com/images/blog/pl13.jpg,
